id,paragraph,problems,question_plus
generation-for-nlp-426,"(가)은/는 의병계열과 애국계몽 운동 계열의 비밀결사가 모여 결성된 조직으로, 총사령 박상진을 중심으로 독립군 양성을 목적으로 하였다.","{'question': '(가)에 대한 설명으로 옳지 않은 것은?', 'choices': ['고려 문종 때에 남경(南京)으로 승격되었다.', '종루(鐘樓), 이현, 칠패 등에서 상업활동이 이루어졌다.', '정도전은 궁궐 전각(殿閣)과도성성문 등의 이름을 지었다.', '성곽은 거중기 등을 이용하여 약 2년 만에 완성되었다.'], 'answer': 1}",
generation-for-nlp-432,(가)신라의 한강 유역 확보 (나)관산성 전투(다) 백제의 웅진 천도 (라)고구려의 평양 천도,"{'question': '다음 사건을 시기 순으로 바르게 나열한 것은?', 'choices': ['(가)→(라)→(나)→(다)', '(나)→(다)→(가)→(라)', '(다)→(나)→(가)→(라)', '(라)→(다)→(가)→(나) '], 'answer': 4}",
generation-for-nlp-434,(가) 황제가 영원히 가시던 길에 엎드려 크게 통곡하던 우리는 …(중략) … 우리민족의 새로운 기백과 책동이 발발하기를 간절히 기대하는 바이다.－동아일보 1926년 6월 12일－,"{'question': '(가) 재위 기간에 있었던 사실이 아닌 것은?', 'choices': ['일본은 동양척식 주식회사를 설립하였다.', '일본이 간도를 청에 귀속하는 협약을 체결하였다.', '유생의 병장 중심으로 13도 창의군을 결성하였다.', '대한제국의 외교권을 박탈하고 통감부를 설치하였다.'], 'answer': 1}",
generation-for-nlp-436,"(가)은/는 의병계열과 애국계몽 운동 계열의 비밀결사가 모여 결성된 조직으로, 총사령 박상진을 중심으로 독립군 양성을 목적으로 하였다.","{'question': '(가)에 대한 설명으로 옳지 않은 것은?', 'choices': ['공화제 국가 수립을 지향하였다.', '군자금을 모집하고 친일파를 공격하였다.', '북간도에서 무장독립단체인 중광단을 조직하였다.', '경상도 일대에서 결성되어 전국 조직으로 확대하였다.'], 'answer': 3}",
generation-for-nlp-440,(가) 도쿄에서 2․8 독립선언 발표 국내에서 6․10만 세 운동 발발,"{'question': '(가) 시기에 있었던 사실로 옳은 것은?', 'choices': ['박상진 이 대한광복회를 조직하였다.', '일제가 국가총동원법 을 적용하였다.', '임병찬이 독립의 군부를 만들었다.', '상하이에서 대한민국 임시정부가 수립되었다.'], 'answer': 4}",
generation-for-nlp-441,고종은 연호를 ‘광무’로 바꾸고 환구단을 세워 이곳에서 황제로 즉위하였으며 나라 이름을 (가)으로/로 선포하고 자주 독립 국가임을 알렸다.,"{'question': '(가) 시기에 있었던 사실로 옳은 것은?', 'choices': ['별 기군을 창설하였다 .', '교육입국조서를 발표하였다 .', '통리기무아문을 설치하였다 .', '지계 발급 사업을 추진하였다 .'], 'answer': 4}",
generation-for-nlp-448,○장수왕은 남 진 정책의 일환으로 수도를 이곳으로 천도 하였다. ○묘청은 이곳으로 수도를 옮길 것을 주장하였다.,"{'question': '밑줄 친 ‘이곳’에 대한 설명으로 옳은 것은?', 'choices': ['쌍성총관부가 설치되었다 .', '망이 ㆍ망소이가 반란을 일으켰다 .', '제너럴 셔먼호 사건이 발생하였다 .', '1923년 조선 형평사가 결성되었다 .'], 'answer': 3}",
generation-for-nlp-461,(가)신라의 우산국 복속 (나)고구려의 서 안평 점령(다) 백제의 대야성 점령 (라)신라의 금관가야 병합,"{'question': '다음 사건을 시기 순으로 바르게 나열한 것은?', 'choices': ['(가)→(나)→(다)→(라)', '(가)→(라)→(나)→(다)', '(나)→(가)→(라)→(다)', '(나)→(다)→(가)→(라)'], 'answer': 3}",
generation-for-nlp-472,○불교를 수용하였다. ○태학을 설립하였다.,"{'question': '다음 정책을 시행한 국왕의 재위 기간에 있었던 사실로 옳은 것은?', 'choices': ['율령을 반포하였다 .', '이사부가 우산국을 복 속시켰다 .', '관산성 전투에서 성왕이 전사하였다 .', '국내 성에서 평양으로 도읍을 옮겼다 .'], 'answer': 1}",
generation-for-nlp-477,(가) 이종무가 대마도를 토벌하였다.(나) 김윤후가 용인에서 살리타를 사살하였다.(다) 김헌창이 공주를 근거로 반란을 일으켰다.(라) 이 시애가 길주에서 군사를 일으켰다.,"{'question': '다음의 사건을 시대 순으로 바르게 나열한 것은?', 'choices': ['(나)→(가)→(다)→(라)', '(나)→(다)→(라)→(가)', '(다)→(나)→(가)→(라)', '(다)→(나)→(라)→(가)'], 'answer': 3}",
generation-for-nlp-479,○항일민족교육의 요람인 서전 서숙을 설립하였다.○만국평화회의가 열린 헤이그에 특사로 파견되었다.,"{'question': '다음 설명에 해당하는 인물에 대한 설명으로 옳은 것은?', 'choices': ['경학사를 조직하였다.', '독립의 군부를 조직하였다.', '대한인 국민회를 조직하였다.', '대한광복 군 정부를 조직하였다.'], 'answer': 4}",
generation-for-nlp-482,(가)신라의 우산국 복속 (나)고구려의 서 안평 점령(다) 백제의 대야성 점령 (라)신라의 금관가야 병합,"{'question': '다음 사건을 시기 순으로 바르게 나열한 것은?', 'choices': ['대동여지도는 거리를 알 수 있도록 10리마다 눈금을 표시하였다 .', '혼일 강리역 대국도 지도는 중국에서 들여온 곤 여만국 전도를 참고하였다 .', '천상열차 분야 지도는 하늘을 여러 구역으로 나누고 별자리를 표시한 그림이 다 .', '동국지도는 정상기가 실제 거리 100리를 1척으로 줄인 백리척을 적용하여 제작하였다 .'], 'answer': 2}",
generation-for-nlp-486,일본군의 공세를 피해 만주와 러시아의 국경지대에 있는 밀산에 집결한 독립군 부대들은 서 일을 총재로 하는 (가)을/를 결성하였다.,"{'question': '(가)에 들어갈 군사 조직은?', 'choices': ['한국 광복군', '대한 광복회', '독립 의 군부', '대한 독립군단'], 'answer': 4}",
