id,paragraph,problems,question_plus
generation-for-nlp-395,"(가 ) 안녕하세요.  저는 올해 학생회에서 개최하는 토론 한마당에  참가하고자 하는 ○○○입니다.  토론 한마당을 담당하는 학생회  운영진에게 토론 한마당 예선 방식의 개선을 건의하고자 게시판에   글을 쓰게 되었습니다. 학생회가 진행해 온 토론 한마당은 예선과 본선에서 항상  많은 청중이 참여한 가운데 대면 토론으로 진행되어 현장감이  넘친다는 장점이 있습니다.  그런데 참가 팀이 늘면서 예선을  위한 시간과 공간 부족,  예선을 운영할 인원과 심사자 확보 곤란   등의 어려움이 발생하여 이를 해소하기 위해 작년부터 예선에  참가할 수 있는 인원을 학급당 한 팀으로 제한했습니다 . 하지만 이런 현행 예선 방식으로 인해 토론 한마당에 대한 학생 들의 불만이 매우 높아졌다는 문제가 발생하였습니다 .  학생회도   알다시피 작년 행사 이후 학교 신문이 전교생을 대상으로 실시한   설문 조사에서 토론 한마당에 불만족스럽다는 응답률이 76%로  매우 높았습니다.  불만의 원인은 예선 참가 기회가  제한되어 있는  현행 예선 방식의 한계에서 찾을 수 있습니다 . 이를 해결하기 위해 더 많은 학생들이 참여할 수 있도록 예선   방식을 개선해 주십시오 .  현행의 평가 방법인 대면 토론을 유지 하려면 예선 기간이 짧아 참여자를 제한할 수밖에 없으니 예선  기간을 연장해 주시기 바랍니다 .  예선 기간을 연장하지 않는다면   대면 토론 외의 다른 방법을 마련해 주시기 바랍니다 .  실제로,   우리 학교와 학생 수도 거의 같고 토론에 대한 관심도 높은 인근   학교 중에서도 우리와 유사한 문제를 겪다가 예선 방식을 개선 하여 이를 해결한 사례가 있습니다 .  이 학교들에서는 대면 토론의   기간을 연장하거나,  대면 토론 대신 예선에서 토론 개요서로  평가하니까 많은 학생들이 예선에 참가할 수 있었습니다 . 토론 한마당 예선의 기간을 연장하는 방식이나 평가 방법을  변경하는 방식으로 현행의 예선 방식을 개선하면 학생들이 더  많이 참가할 수 있게 되어 불만이 해소될 것입니다.  그러면  토론 한마당에 대한 학생들의 관심도 더 높아져 토론 한마당이  학생 자치 대표 행사로 자리매김하게 될 것입니다 .  읽어 주셔서   감사합니다. (나 ) 학생 1 :토론 한마당 행사의 예선 방식을 개선해 달라고 게시판에   올라온 글 봤지 ?  기간 연장은 일정상 당장 반영하기 곤란하니   참가 인원을 늘릴 수 있는 좋은 방안이 있는지 논의해 보자 . 학생 2 :응 .  예선 참가 인원을 학급당 한 팀으로 제한하다 보니 ,   토론에 참가하지 못하는 학생들이 많아져서 불만이 많다는  건데,  예선 방식을 바꿔야 되겠더라. 학생 1 :행사 운영을 위한 시간과 공간이 부족하고 심사자가  부족한 상황에서 대면 토론을 유지하다 보니 참가 인원을   제한하게 되어 불만이 많아진 거니까 대면 토론을 대신할  방안을 찾을 필요가 있어.학생 2 :그러면 토론 개요서를 도입하는 게 좋겠어 .  글에서  언급한 것이기도 하지.  논제에 대한 입장과 근거가 담긴  토론 개요서를 제출하도록 하여 예선을 치르는 거야 . 학생 3 :동영상을 활용해 보는 건 어때?  참가 신청한 팀들 중  두 팀씩 서로 찬반을 나누어 토론을 하고 ,  그 과정을 동영상 으로 촬영해 제출하게 하는 거야. 학생 1 :두 가지 방식이 여러 측면에서 달라 보이는데,  각각의  방안이 가지는 장점은 뭐라고 생각해? 학생 2 :토론 개요서로 평가하면 현행 방식일 때 예선에 참가하지   못할 학생들도 기회를 얻을 수 있어.  그리고 시간이나 장소에   구애를 덜 받고 ,  대면 토론을 운영할 인원이나 심사자를  섭외하는 부담도 많이 줄일 수 있어. 학생 3 :동영상을 제출하도록 하면 대면 토론과 달리 토론 시간 이나 장소를 참가자들이 자율적으로 정할 수 있고 ,  토론  개요서를 평가할 때와 달리 참가자들이 상대방과 서로  소통하는 토론 과정을 평가할 수 있다는 장점이 있어 . 학생 1 :두 방식의 단점이나 운영상 어려움에는 어떤 것들이  있을까?  청중이 모인 가운데 진행되는 대면 토론만큼의  현장감 있는 토론을 경험하기는 어려울 테니 그것 말고  얘기해 줄래? 학생 2 :동영상 촬영을 하려면 참가 팀들이 별도의 장비를 준비 해야 해서 번거로워.  또 토론 개요서와 다르게 대면 토론 만큼 시간이 필요하니까 많은 팀이 참가한다면 심사자의  평가 부담이 클 것 같네. 학생 3 :㉠토론 개요서로 평가하는 것보다 심사자 부담은 큰 게   맞겠네.  그런데 토론 개요서 평가는 참가자들이 소통하는  과정을 평가하긴 어려워. 학생 2 :㉡그래도 토론에서 더 중요한 건 적절한 근거를 들어  논제에 대한 자신의 입장이 타당함을 밝히는 논증 능력이니까   그걸 평가하는 건 가능하다고 생각해. 학생 3 :네 말이 맞는 것 같아. 학생 1 :나도 좋아.  토론 개요서를 평가하면 예선 참가 가능한  인원이 늘겠지 .  그러면 게시판의 글에서 말한 학생들 불만이   해소될 거야.  모두들 동의했으니 이 방안을 도입하기로 하고   오늘 논의는 마무리하자. ","{'question': '㉠ ,  ㉡의 발화에 대한 이해로 가장 적절한 것은?', 'choices': ['㉠은 ㉠ 직전의 ‘학생 2’가 말한 내용에 담긴 의견의 일부를  긍정하면서 추가로 자신의 의견을 드러낸다 .', '㉠은 ㉠ 직전의 ‘학생 2’가 말한 내용에 담긴 의견에 동의를  표하면서 그 의견에 대한 상세한 설명을 요청한다 .', '㉠은 ㉠ 직전의 ‘학생 2’가 말한 내용에 담긴 의견에 이의를  제기하면서 그 의견을 뒷받침하는 근거의 타당성을 지적한다 .', '㉡은 ㉡ 직전의 ‘학생 3’이 말한 내용에 담긴 의견을 뒷받침 할 수 있는 근거를 덧붙이면서 공감을 드러낸다 .', '㉡은 ㉡ 직전의 ‘학생 3’이 말한 내용에 담긴 의견의 핵심을  재진술하면서 그 의견에 대해 동의를 유보한다 .'], 'answer': ''}",
generation-for-nlp-1905,"MBC 예능 프로그램 ‘아빠, 어디가’는 아빠와 어린 자녀가 함께 여행을 떠나 서로 소통하고 교감하는 모습을 있는 그대로 보여주며 큰 호응을 얻고 있다. 친구 같은 아빠인 ‘프레디(friend+dad)’, 아이와 잘 놀아주는 ‘플레디(play+dad)’란 신조어도 유행이다. 주 5일제 근무가 정착되고 맞벌이 부부가 늘어나면서 가정에서 아빠의 역할과 중요성이 부각되고 있다. ‘가정으로 돌아온 아빠’들은 아이들과 보다 많은 시간을 함께하고 대화도 많이 나누고 싶은데 막막하기만 하다. 어떻게 아이들과 친해져야 하는지, 주말마다 뭘 해야 하는지 고민이다.《좋은 아빠의 자격》은 ‘좋은 아빠’가 되기 위해 끊임없이 노력한 한 아빠가 아이들과 함께 나눈 교감의 여정을 기록한 에세이다. 두 아이가 태어나기 전부터 고등학생과 중학생으로 성장한 지금까지 아빠로서, 남편으로서, 가장으로서 겪어야 했던 고민과 생각들을 진솔하게 이야기한다. 여성가족부가 주는 ‘평등 부부상’ 첫 수상자인 저자는 《얘들아, 아빠랑 놀자》등 여러 권의 육아교육서를 내며 ‘아이와 잘 놀아주는 아빠’로 유명하다. 그런 그도 처음부터 순탄했던 것은 아니다. 하지만 육아일기 쓰기, 가족신문 만들기, 아이와 함께 여행 계획 짜기 등 다양한 노력을 기울이며 아이의 생각을 읽고 한 걸음 더 다가서기 위해 애썼다.저자는 “아이를 키우고 교육하는 과정은 바로 부모가 변해가는 과정”이라고 설명한다. 아빠가 달라져야만 아이도 달라지고, 아빠와 아이가 함께 완성해가는 시간이 얼마나 중요한지 스스로 깨달아야 한다고 강조한다. 이어 ‘아이와 맨몸으로 노는 법’ ‘함께 가족문화 만들기’ 등 아이들과 유대감을 형성하고 마음의 거리를 좁힐 수 있는 다양한 방법을 알려준다. 아빠들이 공감하거나 참고할 만한 내용들이다. ‘가정으로 돌아오는 것’에서 한 걸음 더 나아가 ‘아빠의 자리’를 고민하는 이들에게 도움이 될 만하다.","{'question': '‘아빠, 어디가’ 프로그램이 보여주는 아빠와 자녀의 관계에서 강조되는 주제는 무엇인가?', 'choices': ['아빠의 역할과 중요성', '아빠의 직업적 성공', '아빠의 경제적 기여', '아빠의 외부 활동', '아빠의 개인적 취미'], 'answer': ''}",
generation-for-nlp-126,"신체의 세포 ,  조직,  장기가 손상되어 더 이상 제 기능을 하지  못할 때에 이를 대체하기 위해 이식을 실시한다 .  이때 이식으로   옮겨 붙이는 세포 ,  조직 ,  장기를 이식편이라 한다.  자신이나 일란성   쌍둥이의 이식편을 이용할 수 없다면 다른 사람의 이식편으로  ‘동종 이식’ 을 실시한다.  그런데 우리의 몸은 자신의 것이 아닌  물질이 체내로 유입될 경우 면역 반응을 일으키므로,  유전적 으로 동일하지 않은 이식편에 대해 항상 거부 반응을 일으킨다 .   면역적 거부 반응은 면역 세포가 표면에 발현하는 주조직적합  복합체(M H C )  분자의 차이에 의해 유발된다.  개체마다 MH C에  차이가 있는데 서로 간의 유전적 거리가 멀수록 MH C에 차이가   커져 거부 반응이 강해진다.  이를 막기 위해 면역 억제제를 사용 하는데 ,  이는 면역 반응을 억제하여 질병 감염의 위험성을 높인다. 이식에는 많은 비용이 소요될 뿐만 아니라 이식이 가능한 동종   이식편의 수가 매우 부족하기 때문에 이를 대체하는 방법이 개발 되고 있다 .  우선 인공 심장과 같은 ‘전자 기기 인공 장기 ’를 이용 하는 방법이 있다.  하지만 이는 장기의 기능을 일시적으로 대체 하는 데 사용되며,  추가 전력 공급 및 정기적 부품 교체 등이  요구되는 단점이 있고 ,  아직 인간의 장기를 완전히 대체할 만큼   정교한 단계에 이르지는 못했다. 다음으로는 사람의 조직 및 장기와 유사한 다른 동물의 이식편을   인간에게 이식하는 ‘이종 이식’ 이 있다 .  그런데 이종 이식은 동종   이식보다 거부 반응이 훨씬 심하게 일어난다 .  특히 사람이 가진   자연항체는 다른 종의 세포에서 발현되는 항원에 반응하는데 ,   이로 인해 이종 이식편에 대해서 초급성 거부 반응 및 급성 혈관성   거부 반응이 일어난다.  이런 거부 반응을 일으키는 유전자를  제거한 형질 전환 미니돼지에서 얻은 이식편을 이식하는 실험이   성공한 바 있다.  미니돼지는 장기의 크기가 사람의 것과 유사 하고 번식력이 높아 단시간에 많은 개체를 생산할 수 있다는  장점이 있어,  이를 이용한 이종 이식편을 개발하기 위한 연구가   진행되고 있다. 이종 이식의 또 다른 문제는 ㉠내인성 레트로바이러스 이다.   내인성 레트로바이러스는 생명체의 DN A의 일부분으로,  레트로 바이러스로부터 유래된 것으로 여겨지는 부위들이다 .  이는 바이 러스의 활성을 가지지 않으며 사람을 포함한 모든 포유류에 존재 한다.  ㉡레트로바이러스 는 자신의 유전 정보를 RN A에 담고  있고 역전사 효소를 갖고 있는 바이러스로서,  특정한 종류의  세포를 감염시킨다 .  유전 정보가 담긴 DN A로부터 RN A가 생성 되는 전사 과정만 일어날 수 있는 다른 생명체와는 달리 ,  레트로 바이러스는 다른 생명체의 세포에 들어간 후 역전사 과정을 통해   자신의 RNA를 DN A로 바꾸고 그 세포의 DN A에 끼어들어 감염 시킨다.  이후에는 다른 바이러스와 마찬가지로 자신이 속해 있는   생명체를 숙주로 삼아 숙주 세포의 시스템을 이용하여 복제 ,   증식하고 일정한 조건이 되면 숙주 세포를 파괴한다 . 그런데 정자,  난자와 같은 생식 세포가 레트로바이러스에 감염 되고도 살아남는 경우가 있었다 .  이런 세포로부터 유래된 자손의   모든 세포가 갖게 된 것이 내인성 레트로바이러스이다.  내인성  레트로바이러스는 세대가 지나면서 돌연변이로 인해 염기 서열의   변화가 일어나며 해당 세포 안에서는 바이러스로 활동하지 않는다 .  그러나 내인성 레트로바이러스를 떼어 내어 다른 종의 세포 속에   주입하면 이는 레트로바이러스로 변환되어 그 세포를 감염시키 기도 한다.  따라서 미니돼지의 DN A에 포함된 내인성 레트로 바이러스를 효과적으로 제거하는 기술이 개발 중에 있다 . 그동안의 대체 기술과 관련된 연구 성과를 토대로 ⓐ이상적인  이식편을 개발하기 위해 많은 연구가 수행되고 있다 . ","{'question': 'ⓐ가 갖추어야 할 조건으로 적절하지 않은  것은?', 'choices': ['이식편의 비용을 낮추어서 정기 교체가 용이해야 한다 .', '이식편은 대체를 하려는 장기와 크기가 유사해야 한다 .', '이식편과 수혜자 사이의 유전적 거리를 극복해야 한다 .', '이식편은 짧은 시간에 대량으로 생산이 가능해야 한다 .', '이식편이 체내에서 거부 반응을 유발하지 않아야 한다 .'], 'answer': ''}",
generation-for-nlp-278,"갑 :공화국 간에는 평화 연맹이 존재해야 한다.  평화 조약이  단지 하나의 전쟁을 종식시키기 위한 것이라면 ,  평화  연맹은 모든 전쟁을 영구히 종식시키기 위한 것이다 . 을 :평화는 폭력을 줄이거나 피하는 것과 관련된다 .  평화를 위협하는   폭력에는 직접적 폭력 외에도 구조적,  문화적 폭력이 있다.   이러한 폭력들이 제거된다면 적극적 평화가 실현될 것이다 .","{'question': '사회사상가 갑,  을의 입장으로 옳은 것은?', 'choices': ['갑 :개별 국가의 정치 체제 형태는 세계 평화의 실현과 무관하다 .', '갑 :평화 연맹은 소속 국가의 자유를 보장하는 역할을 해야 한다 .', '을 :구조적 폭력을 제거하기 위한 폭력 사용은 정당화되어야 한다 .', '을 :평화 추구의 궁극적인 목표를 전쟁의 종식에 두어야 한다 .', '갑 ,  을 :단일한 세계 정부를 창설해 적극적 평화를 이루어야 한다.'], 'answer': ''}",
generation-for-nlp-575,"기밀—귀하의 개인정보 및 지침 오스트리아-헝가리 대사는 어제 오스트리아-헝가리의 관점에서 현황을 묘사하며 빈이 고려하는 조치가 담긴 프란츠 요제프 [오스트리아-헝가리] 황제의 기밀 개인 편지를 [독일] 황제[빌헬름 2세]에게 전달했습니다. 이제 사본을 귀하에게 전달합니다. … 폐하께서는 러시아와 세르비아의 범슬라브 동요의 결과로 오스트리아-헝가리, 나아가 삼국동맹을 위협하는 위험을 눈여겨 보고 계신다고 말씀드리고 싶습니다. ... 이에 더해 폐하께서는 프란츠 요제프 황제의 뜻에 따라 카롤 왕을 움직여 부쿠레슈티의 동맹 의무를 이행하고, 세르비아를 포기하고, 오스트리아-헝가리에 대한 루마니아의 선동을 진압하도록 노력하실 것입니다. 마지막으로 세르비아에 관한 한 폐하께서는 오스트리아-헝가리와 세르비아 간 현 진행 중인 분쟁에 개입하실 수 없습니다. 폐하의 권한 밖의 문제이기 때문입니다. 그러나 프란츠 요제프 황제는 동맹 의무와 오랜 우호에 따라 오스트리아-헝가리의 편에 설 것임을 확신할 수 있습니다. 테오발트 폰 베트만홀베크(독일 총리), 주비엔나 독일 대사에게 보낸 전보, 1914년 7월 6일","{'question': '이 구절에서 베트만홀베크의 전보가 독일의 ""백지수표""라 언급되는 일이 잦은 이유를 고르십시오.', 'choices': ['독일이 삼국동맹에 가입하고 삼국협상에 맞서 오스트리아-헝가리 지원을 약속했습니다.', '이는 프란츠 페르디난트 암살, 세르비아 암살, 오스트리아-헝가리 제국 내 범슬라브주의에 오스트리아에 무제한 범위의 대응을 제공하는 것으로 이해되었습니다.', '최근 암살된 프란츠 페르디난트를 계승하려는 프란츠 요제프의 노력에 독일의 무한한 지원을 약속했습니다.', '프란츠 요제프와 오스트리아-헝가리에 대한 실질적 지원이 아무것도 없었습니다.'], 'answer': ''}",
generation-for-nlp-116,"㉠많은 전통적 인식론자 는 임의의 명제에 대해 우리가 세  가지 믿음의 태도 중 하나만을 ⓐ가질  수 있다고 본다.  가령  ‘내일 눈이 온다.’ 는 명제를 참이라고 믿거나,  거짓이라고 믿거 나 ,  참이라 믿지도 않고 거짓이라 믿지도 않을 수 있다.  반면  ㉡베이즈주의자 는 믿음은 정도의 문제라고 본다.  가령 각 인식  주체는 ‘내일 눈이 온다.’ 가 참이라는 것에 대하여 가장 강한  믿음의 정도에서 가장 약한 믿음의 정도까지 가질 수 있다.  이처럼   베이즈주의자는 믿음의 정도를 믿음의 태도에 포함함으로써 많은   전통적 인식론자들과 달리 믿음의 태도를 풍부하게 표현한다 . 우리는 종종 임의의 명제가 참인지 거짓인지 새롭게 알게 된다.   이것을 베이즈주의자의 표현으로 바꾸면 그 명제가 참인지 거짓 인지에 대해 가장 강한 믿음의 정도를 새롭게 갖는다는 것이다 .   베이즈주의는 이런 경우에 믿음의 정도가 어떤 방식으로 변해야   하는지에 대해 정교한 설명을 제공한다.  이에 따르면 ,  인식 주체가   특정 시점에 임의의 명제 A가 참이라는 것만을 또는 거짓이라는   것만을 새롭게 알게 됐을 때,  다른 임의의 명제 B에 대한 인식  주체의 기존 믿음의 정도의 변화는 조건화 원리 의 적용을 받는다.   이는 믿음의 정도의 변화에 관한 원리로서,  만약 인식 주체가  A가 참이라는 것만을 새롭게 알게 된다면,  B 가 참이라는 것에  대한 그 인식 주체의 믿음의 정도는 애초의 믿음의 정도에서  A가 참이라는 조건하에 B가 참이라는 것에 대한 믿음의 정도로   되어야 함을 의미한다.  예를 들어 갑이 ‘내일 비가 온다.’ 가 참 이라는 것을 약하게 믿고 있고 ,  ‘오늘 비가 온다.’ 가 참이라는  조건하에서는 ‘내일 비가 온다 .’가 참이라는 것을 강하게 믿는다고   해 보자 .  조건화 원리에 따르면 ,  갑이 실제로 ‘오늘 비가 온다 .’가  참이라는 것만을 새롭게 알게 될 때,  ‘ 내일 비가 온다.’ 가 참이 라는 것을 그 이전보다 더 강하게 믿는 것이 합리적이다.  조건화   원리는 새롭게 알게 된 명제가 동시에 둘 이상인 경우에도 마찬 가지로 적용된다.  다만 이 원리는 믿음의 정도에 관한 것이지  행위에 관한 것은 아니다.   명제들 중에는 위의 예에서처럼 참인지 거짓인지 새롭게 알게   된 명제와 관련된 것도 있지만 그렇지 않은 것도 있다.  조건화  원리에 ⓑ따르면 ,  어떤 명제가 참인지 거짓인지 새롭게 알게 되더 라도 그 명제와 관련 없는 명제에 대한 믿음의 정도는 변하지  않아야 한다.  예를 들어 위에서처럼 갑이 ‘오늘 비가 온다.’ 가  참이라는 것만을 새롭게 알게 되더라도 그것과 관련 없는 명제  ‘다른 은하에는 외계인이 존재한다 .’에 대한 그의 믿음의 정도는   변하지 않아야 한다 .  이처럼 베이즈주의자는 특별한 이유가 없는   한 우리의 믿음의 정도는 유지되어야 한다고 ⓒ본다 . 베이즈주의자는 이렇게 상식적으로 당연하게 여겨지는 생각을   정당화하기 위해 기존의 믿음의 정도를 유지함으로써 ⓓ얻을  수   있는 실용적 효율성에 호소할 수 있다.  특별한 이유 없이 학교를   옮기는 행위는 어떠한 방식으로든 우리의 에너지를 불필요하게  소모한다.  베이즈주의자는 특별한 이유 없이 기존의 믿음의 정도를   ⓔ바꾸는  것도 이와 유사하게 에너지를 불필요하게 소모한다고   볼 수 있다.  이 관점에서는 실용적 효율성을 추구한다면,  특별한   이유가 없는 한 기존의 믿음의 정도를 유지하는 것이 합리적이다 . ","{'question': '윗글에서 답을 찾을 수 있는 질문에 해당하지 않는  것은?', 'choices': ['믿음의 정도와 관련하여 상식적으로 당연하게 여겨지는 생각을   어떻게 정당화할 수 있을까?', '특별한 이유 없이 믿음의 정도를 바꾸어야 하는 이유는 무엇 일까?', '믿음의 정도를 어떤 경우에 바꾸고 어떤 경우에 바꾸지 말아야   할까?', '믿음의 정도를 바꾸어야 한다면 어떤 방식으로 바꾸어야 할까?', '임의의 명제에 대해 어떤 믿음의 태도를 가질 수 있을까 ?'], 'answer': ''}",
generation-for-nlp-228,"갑 (40세 )은 을(45 세 )을 폭행하여 경찰관에게 현행범으로 체포되었다 .   갑은 영장에 의해 구속되어 수사를 받았으며 ,  병에 의하여 기소되었다.   기소 이후 을에 대한 갑의 폭행 사건 관련 공판이 진행되었다 .  병은 갑에게  징역 2년을 구형하였으며,  갑은 징역 6월에 집행 유예 2년을 선고받고  석방되었다.  하지만 을은 갑에게 선고된 형이 낮다고 생각하였다 .","{'question': '다음 사례에 대한 법적 판단으로 옳은 것은 ?', 'choices': ['구속된 갑은 영장 실질 심사를 통해 구속 상태에서 벗어날 수 있다 .', '병은 수사 과정에서 구속 적부 심사를 법원에 청구할 수 있다 .', '기소 후 진행된 형사 재판의 당사자는 갑과 병이다 .', '을은 갑의 선고 결과에 불복하여 상소할 수 있다 .', '갑은 위의 판결이 확정되면 형사 보상을 청구할 수 있다 .'], 'answer': ''}",
generation-for-nlp-1076,"""내년 3월 4일 이 정당[공화당]이 정부를 장악할 것입니다. 남부는 공동 영토에서 제외되어야 하며, 사법재판소는 분할되어야 하며, 노예제가 미국 전역에서 끝날 때까지 노예제에 맞서 전쟁을 벌여야 한다고 발표했습니다. 그러면 헌법의 보장은 더 이상 존재하지 않으며 주의 평등권은 상실될 겁니다. 노예를 소유한 주는 더는 자치권이나 자기보호권을 갖지 못하게 될 것이며, 연방 정부는 적이 될 것입니다. ""따라서 우리 사우스캐롤라이나 주민들은 대회에 모인 대표를 통해 지금까지 이 주와 북아메리카의 다른 주 사이에 존재했던 연방이 해체되었으며 사우스캐롤라이나가 다시 국가 지위를 되찾아 세계 국가 간에 별도의 독립국으로서 전쟁을 일으키고, 평화 협정을 맺고, 동맹을 맺고, 상업을 확립하고, 독립국이 정당히 행할 수 있는 기타 모든 행위와 사안을 행사할 전권을 가지고 있음을 엄숙히 선언합니다."" 사우스캐롤라이나 분리독립 원인 정의, 1860년 위 감정과 가장 일치하는 이념은 다음 중 어떤 것입니까?","{'question': '이 지문에 나타난 정보는 무엇입니까?', 'choices': ['국가의 권리', '무효화', '중립', '시민불복종'], 'answer': ''}",
generation-for-nlp-1350,"베네수엘라 주권 의회는 뉴 그라나다 공화국 국민의 자발적인 지지에 따라 그에 따른 권한을 지닙니다. 고려 사항: 1. “단일 공화국으로 통일된 베네수엘라와 뉴 그라나다의 각 지역은 모두 보다 높은 단계의 권력과 번영으로 나아갈 수 있는 모든 규모와 방법을 갖추고 있습니다. 2. “별도의 공화국을 구성한다고 해도 지역들이 더 강력하게 하나로 묶인다면 이들은 이점을 활용하지 못하고 주권을 존중하고 통합하기 힘들어질 것입니다. 3. “이러한 진실은 뛰어난 재능을 지닌 사람들과 깨어난 애국심에 의해 깊이 침투되어 양 공화국의 정부를 움직여 재결합을 꾀하도록 했으며 전쟁의 우여곡절을 통해 다음과 같은 콜롬비다 공화국의 헌법을 선언하도록 했습니다. 제1조. 베네수엘라 공화국과 뉴 그라나다 공화국은 오늘부터 콜롬비아 공화국이라는 영광스러운 명칭으로 하나의 공화국으로 통합된다… 제4조. 공화국의 행정권은 대통령에게 부여되며, 대통령이 궐위된 경우에는 부통령과 그의 대체자가 임시 의회에서 임명된다.","{'question': '다음 중 본문 1의 1조에 표현된 기대를 가장 약화시키는 것은 무엇인가?', 'choices': ['라틴 아메리카 국가의 독립에 대한 미국과 유럽 세력의 개입', '라틴 아메리카의 민족주의에 의한 남미의 옛 스페인 식민지들 사이의 더욱 강력한 단결을 요구', '새로 독립된 라틴 아메리카 국가를 분열시키는 노예 반란', '새로 독립된 라틴 아메리카 국가의 다양한 영토에서 엘리트의 분파주의'], 'answer': ''}",
generation-for-nlp-1044,"""각하, 저는 아메리카 대륙의 첫 발견 이래(지금은 90년이 지났음) 스페인인과 포르투갈인이 그곳을 대대적으로 정복 및 개척한 후, 우리 영국인이 아직 사람이 차지하지 않은 비옥하고 온화한 지역에 빠른 발을 디디는 은혜가 없었음을 그리 놀라워하지 않습니다. 하지만 . . . 저는 때가 오고 있으며 이제 우리 영국이 아메리카의 일부와 아직 발견되지 않은 다른 지역에서 스페인인과 포르투갈인 모두와 (우리가 원한다면) 몫을 공유하고 나눌 수 있다는 [상금을 나눈다는] 큰 희망을 품고 있습니다. ""그리고 분명 우리에게 모든 선인에게 마땅히 있어야 할 조국의 긍지를 드높이려는 열망이 있다면, 지금까지 우리에게 공평하고 정의로운 이 땅을 소유하는 것을 [무시하지] 않았을 것입니다. 이는 이어지는 담론으로 가장 명백히 드러날 겁니다."" —리차드 해클루트, 아메리카와 인접 섬의 발견에 도달한 다이버 항해, 1582","{'question': '위 구절에 표현된 사상에서 가장 밀접하게 반영된 것은?', 'choices': ['계몽주의의 자연권 철학', '중상주의 경제 정책', '예정론의 종교철학', '사회계약론'], 'answer': ''}",
