id,paragraph,problems,question_plus
generation-for-nlp-394,"(가 ) 안녕하세요.  저는 올해 학생회에서 개최하는 토론 한마당에  참가하고자 하는 ○○○입니다.  토론 한마당을 담당하는 학생회  운영진에게 토론 한마당 예선 방식의 개선을 건의하고자 게시판에   글을 쓰게 되었습니다. 학생회가 진행해 온 토론 한마당은 예선과 본선에서 항상  많은 청중이 참여한 가운데 대면 토론으로 진행되어 현장감이  넘친다는 장점이 있습니다.  그런데 참가 팀이 늘면서 예선을  위한 시간과 공간 부족,  예선을 운영할 인원과 심사자 확보 곤란   등의 어려움이 발생하여 이를 해소하기 위해 작년부터 예선에  참가할 수 있는 인원을 학급당 한 팀으로 제한했습니다 . 하지만 이런 현행 예선 방식으로 인해 토론 한마당에 대한 학생 들의 불만이 매우 높아졌다는 문제가 발생하였습니다 .  학생회도   알다시피 작년 행사 이후 학교 신문이 전교생을 대상으로 실시한   설문 조사에서 토론 한마당에 불만족스럽다는 응답률이 76%로  매우 높았습니다.  불만의 원인은 예선 참가 기회가  제한되어 있는  현행 예선 방식의 한계에서 찾을 수 있습니다 . 이를 해결하기 위해 더 많은 학생들이 참여할 수 있도록 예선   방식을 개선해 주십시오 .  현행의 평가 방법인 대면 토론을 유지 하려면 예선 기간이 짧아 참여자를 제한할 수밖에 없으니 예선  기간을 연장해 주시기 바랍니다 .  예선 기간을 연장하지 않는다면   대면 토론 외의 다른 방법을 마련해 주시기 바랍니다 .  실제로,   우리 학교와 학생 수도 거의 같고 토론에 대한 관심도 높은 인근   학교 중에서도 우리와 유사한 문제를 겪다가 예선 방식을 개선 하여 이를 해결한 사례가 있습니다 .  이 학교들에서는 대면 토론의   기간을 연장하거나,  대면 토론 대신 예선에서 토론 개요서로  평가하니까 많은 학생들이 예선에 참가할 수 있었습니다 . 토론 한마당 예선의 기간을 연장하는 방식이나 평가 방법을  변경하는 방식으로 현행의 예선 방식을 개선하면 학생들이 더  많이 참가할 수 있게 되어 불만이 해소될 것입니다.  그러면  토론 한마당에 대한 학생들의 관심도 더 높아져 토론 한마당이  학생 자치 대표 행사로 자리매김하게 될 것입니다 .  읽어 주셔서   감사합니다. (나 ) 학생 1 :토론 한마당 행사의 예선 방식을 개선해 달라고 게시판에   올라온 글 봤지 ?  기간 연장은 일정상 당장 반영하기 곤란하니   참가 인원을 늘릴 수 있는 좋은 방안이 있는지 논의해 보자 . 학생 2 :응 .  예선 참가 인원을 학급당 한 팀으로 제한하다 보니 ,   토론에 참가하지 못하는 학생들이 많아져서 불만이 많다는  건데,  예선 방식을 바꿔야 되겠더라. 학생 1 :행사 운영을 위한 시간과 공간이 부족하고 심사자가  부족한 상황에서 대면 토론을 유지하다 보니 참가 인원을   제한하게 되어 불만이 많아진 거니까 대면 토론을 대신할  방안을 찾을 필요가 있어.학생 2 :그러면 토론 개요서를 도입하는 게 좋겠어 .  글에서  언급한 것이기도 하지.  논제에 대한 입장과 근거가 담긴  토론 개요서를 제출하도록 하여 예선을 치르는 거야 . 학생 3 :동영상을 활용해 보는 건 어때?  참가 신청한 팀들 중  두 팀씩 서로 찬반을 나누어 토론을 하고 ,  그 과정을 동영상 으로 촬영해 제출하게 하는 거야. 학생 1 :두 가지 방식이 여러 측면에서 달라 보이는데,  각각의  방안이 가지는 장점은 뭐라고 생각해? 학생 2 :토론 개요서로 평가하면 현행 방식일 때 예선에 참가하지   못할 학생들도 기회를 얻을 수 있어.  그리고 시간이나 장소에   구애를 덜 받고 ,  대면 토론을 운영할 인원이나 심사자를  섭외하는 부담도 많이 줄일 수 있어. 학생 3 :동영상을 제출하도록 하면 대면 토론과 달리 토론 시간 이나 장소를 참가자들이 자율적으로 정할 수 있고 ,  토론  개요서를 평가할 때와 달리 참가자들이 상대방과 서로  소통하는 토론 과정을 평가할 수 있다는 장점이 있어 . 학생 1 :두 방식의 단점이나 운영상 어려움에는 어떤 것들이  있을까?  청중이 모인 가운데 진행되는 대면 토론만큼의  현장감 있는 토론을 경험하기는 어려울 테니 그것 말고  얘기해 줄래? 학생 2 :동영상 촬영을 하려면 참가 팀들이 별도의 장비를 준비 해야 해서 번거로워.  또 토론 개요서와 다르게 대면 토론 만큼 시간이 필요하니까 많은 팀이 참가한다면 심사자의  평가 부담이 클 것 같네. 학생 3 :㉠토론 개요서로 평가하는 것보다 심사자 부담은 큰 게   맞겠네.  그런데 토론 개요서 평가는 참가자들이 소통하는  과정을 평가하긴 어려워. 학생 2 :㉡그래도 토론에서 더 중요한 건 적절한 근거를 들어  논제에 대한 자신의 입장이 타당함을 밝히는 논증 능력이니까   그걸 평가하는 건 가능하다고 생각해. 학생 3 :네 말이 맞는 것 같아. 학생 1 :나도 좋아.  토론 개요서를 평가하면 예선 참가 가능한  인원이 늘겠지 .  그러면 게시판의 글에서 말한 학생들 불만이   해소될 거야.  모두들 동의했으니 이 방안을 도입하기로 하고   오늘 논의는 마무리하자. ","{'question': '(나 )의 ‘학생 1’에 대한 설명으로 적절하지 않은  것은?', 'choices': ['(가 )에서 토론 한마당 예선 방식 개선을 요구한 것을 논의의  계기로 삼고 있다.', '(가 )에서 서술한 예선 참가 인원 제한의 배경을 언급하며  논의의 필요성을 제시하고 있다.', '(가 )에서 예선 방식 개선을 위해 제시한 두 가지 방식 각각의   장단점을 판단하게 하며 논의를 진행하고 있다 .', '(가 )에서 현행 예선 평가 방법의 장점으로 언급한 내용과  관련해서는 발언에서 제외하도록 논의 내용을 제한하고 있다 .', '(가 )에서 서술한 현행 예선 방식에 대한 불만이 해소될 것을  언급하며 논의의 결론을 제시하고 있다.'], 'answer': ''}",
generation-for-nlp-66,"채권은 어떤 사람이 다른 사람에게 특정 행위를 요구할 수  있는 권리이다.  이 특정 행위를 급부라 하고 ,  특정 행위를 해  주어야 할 의무를 채무라 한다 .  채무자가 채권을 ⓐ가진  이에게   급부를 이행하면  채권에 대응하는 채무는 소멸한다.  급부는 재화나   서비스 제공인 경우가 많지만 그 외의 내용일 수도 있다 . 민법상의 권리는 여러 가지가 있는데 계약 없이 법률로 정해진   요건의 충족으로 발생하기도 하지만 대개 계약의 효력으로 발생 한다 .  계약이란 권리 발생 등에 관한 당사자의 합의로서 ,  계약이   성립하면 합의 내용대로 권리 발생 등의 효력이 인정되는 것이  원칙이다 .  당장 필요한 재화나 서비스는 그 제공을 급부로 하는   계약을 성립시켜 확보하면 되지만 미래에 필요할 수도 있는 재화나   서비스라면 계약을 성립시킬 수 있는 권리를 확보하는 것이 유리 하다 .  이를 위해 ‘예약 ’이 활용된다.  일상에서 예약이라고 할 때와   법적인 관점에서의 예약은 구별된다.  ㉠기차 탑승을 위해 미리  돈을 지불하고 승차권을 구입하는 것 을 ‘기차 승차권을 예약했다’ 고도 하지만 이 경우는 예약에 해당하지 않는 계약이다.  법적 으로 예약은 당사자들이 합의한 내용대로 권리가 발생하는 계약의   일종으로 ,  재화나 서비스 제공을 급부 내용으로 하는 다른 계약인   ‘본계약’을 성립시킬 수 있는 권리 발생을 목적으로 한다 . 예약은 예약상 권리자가 가지는 권리의 법적 성질에 따라   두 가지 유형으로 나뉜다.  첫째는 채권을 발생시키는 예약 이다 .  이 채권의 급부 내용은 ‘예약상 권리자의 본계약 성립   요구에 대해 상대방이 승낙하는 것’ 이다.  회사의 급식 업체  공모에 따라 여러 업체가 신청한 경우 그중 한 업체가 선정 되었다고 회사에서 통지하면 예약이 성립한다 .  이에 따라  선정된 업체가 급식을 제공하고 대금을 ⓑ받기로 하는 본계약   체결을 요청하면 회사는 이에 응할 의무를 진다 .  둘째는  예약 완결권을 발생시키는 예약이다.  이 경우 예약상 권리자가   본계약을 성립시키겠다는 의사를 표시하는 것만으로 본계약이   성립한다.  가족 행사를 위해 식당을 예약한 사람이 식당에  도착하여 예약 완결권을 행사하면 곧바로 본계약이 성립하 므로 식사 제공이라는 급부에 대한 계약상의 채권이 발생 한다. 예약에서 예약상의 급부나 본계약상의 급부가 이행되지 않는  문제가 ⓒ생길  수 있는데,  예약의 유형에 따라 발생 문제의 양상이   다르다.  일반적으로 급부가 이행되지 않아 채권자에게 손해가  발생한 경우 채무자는 자신의 고의나 과실에서 비롯된 것이 아님을   증명하지 못하는 한 채무 불이행 책임을 진다 .  이로 인해 채무의   내용이 바뀌는데 원래의 급부 내용이 무엇이든 채권자의 손해를   돈으로 물어야 하는 손해 배상 채무로 바뀐다 . 만약 타인이 고의나 과실로 예약상 권리자가 가진 권리 실현을   방해했다면 예약상 권리자는 그에게도 책임을 ⓓ물을  수 있다.   법률에 의하면 누구든 고의나 과실에 의해 타인에게 피해를  ⓔ끼치는  행위를 하고 그 행위의 위법성이 인정되면 불법행위  책임이 성립하여,  가해자는 피해자에게 손해를 돈으로 배상할  채무를 지기 때문이다 .  다만 예약상 권리자에게 예약 상대방이나   방해자 중 누구라도 손해 배상을 하면 다른 한쪽의 배상 의무도   사라진다 .  급부 내용이 동일하기 때문이다.","{'question': '윗글에 대한 이해로 적절하지 않은  것은?', 'choices': ['계약상의 채권은 계약이 성립하면 추가 합의가 없어도 발생 하는 것이 원칙이다.', '재화나 서비스 제공을 대상으로 하는 권리 외에 다른 형태의  권리도 존재한다.', '예약상 권리자는 본계약상 권리의 발생 여부를 결정할 수 있다.', '급부가 이행되면 채무자의 채권자에 대한 채무가 소멸된다 .', '불법행위 책임은 계약의 당사자 사이에 국한된다 .'], 'answer': ''}",
generation-for-nlp-856,노엄 촘스키(Noam Chomsky)와 스키너(B. F. Skinner)는 아이들이 언어를 습득하는 방법에 대해 서로 다른 견해를 가지고 있습니다.,"{'question': '다음 개념 중 이들의 이론 간의 차이점과 가장 관련이 있는 것은 무엇입니까?', 'choices': ['음소', '형태소', '언어 상대성 가설', '언어습득장치'], 'answer': ''}",
generation-for-nlp-67,"채권은 어떤 사람이 다른 사람에게 특정 행위를 요구할 수  있는 권리이다.  이 특정 행위를 급부라 하고 ,  특정 행위를 해  주어야 할 의무를 채무라 한다 .  채무자가 채권을 ⓐ가진  이에게   급부를 이행하면  채권에 대응하는 채무는 소멸한다.  급부는 재화나   서비스 제공인 경우가 많지만 그 외의 내용일 수도 있다 . 민법상의 권리는 여러 가지가 있는데 계약 없이 법률로 정해진   요건의 충족으로 발생하기도 하지만 대개 계약의 효력으로 발생 한다 .  계약이란 권리 발생 등에 관한 당사자의 합의로서 ,  계약이   성립하면 합의 내용대로 권리 발생 등의 효력이 인정되는 것이  원칙이다 .  당장 필요한 재화나 서비스는 그 제공을 급부로 하는   계약을 성립시켜 확보하면 되지만 미래에 필요할 수도 있는 재화나   서비스라면 계약을 성립시킬 수 있는 권리를 확보하는 것이 유리 하다 .  이를 위해 ‘예약 ’이 활용된다.  일상에서 예약이라고 할 때와   법적인 관점에서의 예약은 구별된다.  ㉠기차 탑승을 위해 미리  돈을 지불하고 승차권을 구입하는 것 을 ‘기차 승차권을 예약했다’ 고도 하지만 이 경우는 예약에 해당하지 않는 계약이다.  법적 으로 예약은 당사자들이 합의한 내용대로 권리가 발생하는 계약의   일종으로 ,  재화나 서비스 제공을 급부 내용으로 하는 다른 계약인   ‘본계약’을 성립시킬 수 있는 권리 발생을 목적으로 한다 . 예약은 예약상 권리자가 가지는 권리의 법적 성질에 따라   두 가지 유형으로 나뉜다.  첫째는 채권을 발생시키는 예약 이다 .  이 채권의 급부 내용은 ‘예약상 권리자의 본계약 성립   요구에 대해 상대방이 승낙하는 것’ 이다.  회사의 급식 업체  공모에 따라 여러 업체가 신청한 경우 그중 한 업체가 선정 되었다고 회사에서 통지하면 예약이 성립한다 .  이에 따라  선정된 업체가 급식을 제공하고 대금을 ⓑ받기로 하는 본계약   체결을 요청하면 회사는 이에 응할 의무를 진다 .  둘째는  예약 완결권을 발생시키는 예약이다.  이 경우 예약상 권리자가   본계약을 성립시키겠다는 의사를 표시하는 것만으로 본계약이   성립한다.  가족 행사를 위해 식당을 예약한 사람이 식당에  도착하여 예약 완결권을 행사하면 곧바로 본계약이 성립하 므로 식사 제공이라는 급부에 대한 계약상의 채권이 발생 한다. 예약에서 예약상의 급부나 본계약상의 급부가 이행되지 않는  문제가 ⓒ생길  수 있는데,  예약의 유형에 따라 발생 문제의 양상이   다르다.  일반적으로 급부가 이행되지 않아 채권자에게 손해가  발생한 경우 채무자는 자신의 고의나 과실에서 비롯된 것이 아님을   증명하지 못하는 한 채무 불이행 책임을 진다 .  이로 인해 채무의   내용이 바뀌는데 원래의 급부 내용이 무엇이든 채권자의 손해를   돈으로 물어야 하는 손해 배상 채무로 바뀐다 . 만약 타인이 고의나 과실로 예약상 권리자가 가진 권리 실현을   방해했다면 예약상 권리자는 그에게도 책임을 ⓓ물을  수 있다.   법률에 의하면 누구든 고의나 과실에 의해 타인에게 피해를  ⓔ끼치는  행위를 하고 그 행위의 위법성이 인정되면 불법행위  책임이 성립하여,  가해자는 피해자에게 손해를 돈으로 배상할  채무를 지기 때문이다 .  다만 예약상 권리자에게 예약 상대방이나   방해자 중 누구라도 손해 배상을 하면 다른 한쪽의 배상 의무도   사라진다 .  급부 내용이 동일하기 때문이다.","{'question': '㉠에 대한 이해로 가장 적절한 것은?', 'choices': ['기차 탑승은 채권에 해당하고 돈을 지불하는 행위는 그 채권의   대상인 급부에 해당한다.', '기차를 탑승하지 않는 것은 승차권 구입으로 발생한 채권에  대응하는 의무를 포기하는 것이다.', '기차 승차권을 미리 구입하는 것은 계약을 성립시키면서 채권의   행사 시점을 미래로 정해 두는 것이다.', '승차권 구입은 계약 없이 법률로 정해진 요건을 충족하여  서비스를 제공받을 권리를 발생시키는 행위이다 .', '미리 돈을 지불하는 것은 미래에 필요한 기차 탑승 서비스  이용이라는 계약을 성립시킬 수 있는 권리를 확보한 것이다 .'], 'answer': ''}",
generation-for-nlp-1017,"""새 조항과 규정을 제정하여 왕국의 수입을 개선하고 대브리튼과 폐하의 미국 영토 간 항해와 상업을 확장하고 안전을 확보하는 것이 편리합니다. 미국 영토는 평화롭고 순조로이 확장되고 있나이다. 폐하께서 말씀하신 미국 영토에서 세수를 늘리는 것은 폐하의 가장 신실하고 충성스러운 신민인 저희를 방어하고, 보호하고, 안전을 확보하는 데 드는 비용을 조달하기 위해 정당하고 필요한 일이옵니다. 대크리튼의 신민은 의회에 모여 이번 의회 회기에서, 말씀드린 미국의 세수 증대를 위한 일부 규정을 고안하고자 여기 다음 언급된 몇 가지 세율과 관세를 부여하기로 결정했나이다, 폐하. 1764년 설탕법 1764년 설탕법이 영국 식민지 정책에 큰 변화를 가져온 이유는 처음으로 영국이 다음을 시도했기 때문입니다.","{'question': '이 지문에 나타난 정보는 무엇입니까?', 'choices': ['식민지 수출을 통제하려 했습니다.', '식민지 주민에게 의회에 불만을 표할 구실을 제공했습니다.', '식민지가 영국산 제품을 독점 수입하도록 요구했습니다.', '무역 규제가 아닌 세수 증대를 목표로 세금을 부과했습니다.'], 'answer': ''}",
generation-for-nlp-1814,"지난해 의료사고로 인해 접수된 손해배상 청구소송이 사상 최대인 1100건으로 집계됐다.12일 대법원에 따르면 전자 방식 통계 추출이 가능해진 2002년 665건이던 의료소송(소송가액 2000만원 이하 소액사건 제외)은 2003년 700건에서 증가세를 지속, 2012년 1000건 등 최대 기록을 잇달아 경신했다. 지난해 법원이 처리한 의료 소송은 1100건 가운데 944건이었다. 이 중 원고 승소 6건(0.6%), 원고 일부 승소 283건(29.9%) 등 환자 측이 청구한 금액이 일부라도 인정받은 사건은 30.6%인 289건에 달했다. 원고 승소(1건), 원고 일부 승소(120건) 등 환자 측이 일부라도 승소한 경우가 22.2%인 121건이던 2002년 이후 승소율이 꾸준히 높아졌다.서울중앙지법 관계자는 “의료 소송은 환자 측에도 입증 책임이 있어 소송 제기가 까다로웠던 분야”라며 “최근 의사의 과실에 대한 입증이 부족하더라도 환자와 가족의 정신적 손해를 인정하라는 판결이 나오면서 소송 제기율은 물론 전체 승소율도 올라갔다”고 설명했다. 의료 소송 및 승소율 증가는 소송 취하율 하락으로 이어졌다. 2002년 11%였던 전체 처리사건 대비 소 취하율은 그동안 6~7%대에 머물다 지난해 4.98%로 낮아졌다. 전문가 의견 청취가 필수적인 의료 소송 특성상 소송 제기부터 1심 선고까지 보통 2년가량 걸리는 것은 개선돼야 할 점으로 꼽힌다.","{'question': '지난해 의료사고로 인해 접수된 손해배상 청구소송의 건수는 얼마인가?', 'choices': ['665건', '700건', '1000건', '1100건', '1200건'], 'answer': ''}",
generation-for-nlp-86,"(가 )  사람의 몸과 정신이 연결되어 있다는 믿음을 가졌던 전통 사회에서는   질병의 원인을 누군가의 원한이나 주술이라고 생각했기 때문에 아픈   사람을 굿으로 치료하려고 하였다.  반면,  질병의 원인을 과학에 근거 하여 바이러스나 세균에서 찾는 오늘날에는 누구나 아픈 경우에  병원에 가서 치료하려고 한다. (나 )  판소리는 북장단에 맞춰 소리,  아니리,  발림을 섞은 전통 민속악이다.   최근에 판소리는 소리꾼의 소리에 베이스 ,  드럼,  댄스를 더해 남녀 노소가 쉽게 즐기는 퓨전 음악으로 재탄생했다 .  판소리의 이야기가   갖는 서사성은 유지하면서도 중독성 강한 리듬과 흥겨운 춤이 더해져   판소리와 랩의 경계를 넘나드는 새로운 장르로 발전하고 있다 .","{'question': '(가 )와 달리 (나 )에만 부각되는 문화의 속성에 대한 진술로 옳은  것은?', 'choices': ['문화는 상징을 통해 후천적으로 학습된다 .', '문화는 세대를 전승하며 더욱 풍부해진다 .', '문화는 유기적으로 연결된 총체로서 존재한다 .', '문화는 시간이 흐르면서 그 형태나 내용이 변화된다 .', '문화는 구성원들의 사고와 행동에 동질성을 갖게 한다 .'], 'answer': ''}",
generation-for-nlp-1541,"내수(소비·투자)는 추락하고 수출 의존도는 갈수록 높아지는 한국 경제의 ‘외화내빈’이 가속화한 것으로 나타났다. 일자리와 부가가치를 낳는 데는 수출보다 소비가 훨씬 효과적이지만, 서비스업 비중이 경제협력개발기구(OECD) 꼴찌 수준이란 게 문제다. ‘고용 없는 성장’에서 벗어날 열쇠는 결국 안(내수)에 있다는 진단이다.○달갑지 않은 ‘제조업 강국’ 한국은행이 19일 발표한 ‘2010년 산업연관표’에서 국내 경제의 고질적인 문제점이 이렇게 드러나 있다. 산업연관표는 경제활동에서 만들어진 재화와 서비스, 그 생산과 처분내역까지 품목별로 상세하게 담아낸다. 이번 통계는 2010년을 기준년으로 삼아 3만여개 사업장 실측조사 등을 5년 만에 반영한 것이다.2005년과 비교해 2010년 실물경제 규모는 1.6배 불어났다. 산업의 두 축인 제조업과 서비스업 성장세가 엇갈렸다. 제조업 비중은 산출액 기준 45.2%에서 49%로 높아졌다. 정보기술(IT)과 자동차 등 조립가공업 비중이 20.6%에서 23.1%로 커지면서다. 반면 서비스업 비중은 42.3%에서 40.3%로 낮아졌다.이우기 한은 투입산출팀장은 “주요 선진국은 지난 10여년간 서비스업 비중이 커졌지만 한국은 정반대로 움직였다”고 설명했다. OECD에서 부가가치 상위 20개국의 서비스업 비중은 평균 59.4%로 한국이 꼴찌였다. 제조업 비중은 이들 주요국(평균 14.9%) 가운데 한국이 가장 높았다. ○고용창출엔 소비가 즉효서비스업이 제조업 성장세를 따라잡지 못하면서 내수지표에도 빨간불이 켜졌다. 최종수요 가운데 소비 비중은 48.7%에서 43.5%, 투자는 23%에서 21%로 하락했다. 반면 수출 비중은 28.4%에서 35.5%로 7.1%포인트 급등했다. 국내 생산한 조립가공제품의 51.4%(산출액 대비)는 해외로 나갔을 정도였다.수출 성과가 그만큼 좋았던 셈이지만 고용과 성장 효과까지 감안하면 달갑지만은 않다. 산업별 파급효과를 분석한 결과 최종수요가 10억원 발생할 때 직·간접적으로 필요한 취업자수(취업유발계수)는 소비 16.5명, 투자 13.7명으로 수출(8.3명)을 앞질렀다. 같은 가격이면 국내 가계가 소비했을 때 수출길에 올린 것보다 고용 효과가 높았다는 의미다. ○수출·내수 균형 잡아야부가가치 창출과정에서도 소비의 힘이 아쉬웠다. 소비 투자 수출 등으로 최종수요가 한 단위 발생할 때 생기는 부가가치(부가가치유발계수)는 2005년 0.736에서 2010년 0.687로 하락했다. 같은 매출 1000원을 올렸을 때 남는 부가가치가 736원에서 687원으로 줄었다는 의미다. 이우기 팀장은 “원자재 가격이 오르면서 수출 제조업의 부가가치 유발효과가 낮아졌다”고 분석했다. 수출만큼 수입 의존도가 높은 게 국내 제조업의 특징이다. 생산과정에 투입되는 중간재의 국산품 비율(국산화율)은 5년 새 77.1%에서 74.3%로 떨어졌다. 제조업과 서비스업, 수출과 내수의 불균형을 바로잡아야 한다는 주장이 힘을 받는 배경이다. 위축된 소비를 살려 일자리 창출, 산업구조 개선 두 마리 토끼를 잡아야 한다는 진단이다.","{'question': '한국 경제의 고질적인 문제점으로 지적된 서비스업 비중은 OECD에서 어떤 수준인가?', 'choices': ['가장 높은 수준', '가장 낮은 수준', '평균 수준', '상위 20개국 중 중간 수준', '상위 20개국 중 두 번째 수준'], 'answer': ''}",
generation-for-nlp-1903,"올 들어 한반도 날씨가 수상쩍다. 23일 하루 동안 서울 등 중부지방엔 호우특보와 폭염특보가 번갈아 발령되는 이례적인 현상이 나타났다. 올해 최악의 폭염이 찾아오고 스콜성 호우가 내리는 등 한반도가 본격적인 아열대 기후로 접어들었다는 주장이 나온다.서울 경기 등 중부지방엔 이날 오전 시간당 30㎜가 넘는 강한 비가 내리면서 호우특보가 발령됐다. 기상청은 기압골에 동반된 비구름대가 서해상에서 지속적으로 유입되면서 국지성 호우가 내렸다고 설명했다. 비는 오전에 그쳤고, 기온이 오르면서 중부지방엔 곧이어 폭염주의보가 발령됐다. 허진호 기상청 통보관은 “계속되던 무더위가 이날 비가 내려 잠시 주춤했지만 내일부터 또다시 이어질 것으로 예상돼 폭염특보를 발령했다”고 설명했다.하루 동안 호우특보와 폭염특보가 교차 발령된 것은 국내 기상관측 이래 거의 찾아보기 힘들다는 게 기상청의 설명이다. 일각에서는 이런 현상이 점차 가속화하는 한반도의 아열대화에서 비롯됐다고 분석한다. 한반도에 자주 내리는 국지성 호우가 아열대 지방 스콜을 닮아간다는 얘기다. 무더운 날씨가 이어지다가 갑자기 천둥·번개를 동반한 세찬 소나기가 내린 최근의 날씨가 이를 증명한다는 것이다. 이에 대해 기상청 관계자는 “한반도에 내리는 국지성 호우는 하층의 따뜻한 공기와 상층의 찬 공기가 부딪쳐 대기 불안정으로 내리는 비여서 스콜과는 다르다”면서도 “여름철 국지성 호우가 아열대 지역의 스콜을 닮아가는 측면은 있다”고 말했다.학계에서는 제주도와 남부 해안지역은 이미 아열대 기후로 접어들었다고 추정하고 있다. 아열대 기후는 월평균 기온이 10도 이상인 달이 8개월 이상이고, 가장 추운 달의 평균기온이 영하 3도~영상 18도인 지역을 말한다. 이 기준대로라면 남부 해안지역은 이미 아열대 기후대에 진입했고, 서울 등 중부지방은 2100년께 아열대 기후대로 접어들 것이란 관측이다. 기상청에 따르면 2100년 서울의 예상 열대야 일수는 72일로, 최근 10년간 평균치(8.2일)를 9배 가까이 웃돌 전망이다.","{'question': '한반도가 본격적인 아열대 기후로 접어들었다는 주장이 제기된 이유는 무엇인가?', 'choices': ['호우특보와 폭염특보가 번갈아 발령되었기 때문', '기온이 오르면서 폭염주의보가 발령되었기 때문', '국지성 호우가 아열대 지방 스콜을 닮아가고 있기 때문', '서울의 열대야 일수가 증가할 것으로 예상되었기 때문', '기상청의 기압골에 동반된 비구름대 때문'], 'answer': ''}",
generation-for-nlp-1393,"맥도날드와 KFC 등 서방 업체들이 장악한 중국 패스트푸드 시장을 중국의 토종업체가 빠르게 잠식하고 있다. 20년 전 KFC와 맥도날드가 처음 중국에 진출했을 때만 해도 중국에는 작은 국수집, 만두집 정도밖에 없었다. 새로운 음식을 찾는 소비자들은 서방 체인점에 열광했다. 그러나 최근 이런 분위기가 달라지고 있다. 월스트리트저널(WSJ)은 “905억달러(약 99조5228억원)에 달하는 패스트푸드 시장에서 중국업체들이 서방 업체에 빼앗겼던 지분을 빠르게 되찾아가고 있다”고 14일(현지시간) 보도했다.○자본력, 규모 갖춘 토종업체 등장중국 토종업체들은 이미 자본력과 규모 면에서도 글로벌업체와 경쟁하는 수준까지 발전했다. 중국 내 500개 음식점 체인을 보유하고 있는 샤부샤부 케이터링 매니지먼트 홀딩스는 홍콩증권시장에서 1억4700만달러 규모의 기업공개를 준비 중이다. 샤부샤부는 조달한 자금으로 앞으로 4년간 매장 수를 두 배로 늘릴 계획이다. 대만 회사인 팅신인터내셔널그룹의 디코스 프라이드치킨 체인은 2011~2013년 점포를 948개 늘려 현재 2000개 넘는 매장을 운영하고 있다.시장조사기관 유로모니터인터내셔널에 따르면 KFC, 피자헛 등을 운영하는 얌브랜드의 중국 시장점유율은 2012년 6.4%에서 지난해 5.1%로 떨어졌다. 반면 팅신의 시장점유율은 같은 기간 1.6%에서 1.8%로 올랐다. 중국의 많은 지역에서 미국 햄버거 가게는 중국 토종 햄버거 업체인 화라이스와 경쟁하고 있다. 2001년 처음 점포를 낸 화라이스는 점포 수를 2005년 100개, 2006년 200개, 2007년 1000개, 2013년 4800개로 급속히 늘렸다.○메뉴 다양하고 음식 질도 좋아서방 식당이 더 안전하고, 깨끗하다고 여겼던 인식에도 변화가 생겼다. 서방 패스트푸드점은 2012년 성장촉진제와 항생제를 다량 투여한 닭을 사용하고 올해 7월에는 불량 고기를 납품받은 것이 알려지면서 불신을 자초했다. WSJ는 “중국인은 중국 체인점이 더 좋은 음식을 제공한다고 여긴다”며 “그들의 음식이 더 건강하고 인공적인 맛이 나지 않는 것으로 평가한다”고 전했다. 햄버거와 감자튀김, 치킨 등 메뉴가 한정적이고 단조로운 서방 체인에 비해 음식 종류가 다양한 것도 중국 체인점의 장점이다. 쿵푸 케이터링이 다양한 찜 요리를 선보이는 등 중국 체인점은 지역별로 다양한 조리법을 활용해 소비자의 입맛을 사로잡고 있다고 WSJ는 전했다.서방 기업도 이에 대응하기 위해 노력 중이다. 중국에 2000개 이상의 매장을 갖고 있는 맥도날드는 소비자의 불안을 관리하기 위해 핫라인을 설치하고, 납품처에 감시용 카메라를 달았다. 얌브랜드는 품질 관리를 위해서 영세 공급자와의 계약을 줄이고 메뉴와 마케팅 전략을 개편했다. 얌브랜드 대변인은 “중국업체의 부상은 일시적인 현상”이라며 “중국에서의 판매량을 회복할 것”이라고 주장했다. 에스더 라우 민텔 연구원은 “많은 소비자가 중국 스타일의 패스트푸드로 이동하고 있는 사이 서방 브랜드 역시 좋은 입지 조건과 브랜드 이미지 개선 등으로 시장점유율을 회복하기 위해 노력하고 있다”며 “당분간 경쟁은 계속될 것”이라고 전망했다.","{'question': '중국 패스트푸드 시장에서 최근 중국 토종업체들이 서방 업체에 비해 어떤 점에서 경쟁력을 갖추고 있다고 평가되었는가?', 'choices': ['자본력과 규모', '메뉴의 단조로움', '서방 업체의 브랜드 이미지', '낮은 가격', '서방 업체의 품질 관리'], 'answer': ''}",
