id,paragraph,problems,question_plus,hint
generation-for-nlp-682,경제 X는 유연한 환율이 적용되는 개방형 경제입니다. 경제 Y는 폐쇄 경제입니다.,"{'question': '다른 모든 것들이 동등하다면 확장적 통화 정책은?', 'choices': ['정책이 순 수출을 증가시킬 것이기 때문에 X에서 더 효과적이다.', '정책이 순 수출을 감소시킬 것이기 때문에 X에서 더 효과적이다.', 'X와 Y에서 똑같이 효과적이다.', '정책이 순 수출을 감소시킬 것이기 때문에 X에서 덜 효과적이다.'], 'answer': 4}",,"확장적 통화 정책은 중앙은행이 금리를 낮추거나 통화 공급을 늘려 경제 활동을 촉진하는 정책입니다. 경제 X의 경우 유연한 환율제도 하에서 이러한 정책은 자국 통화의 가치 하락을 초래해 수출 경쟁력을 높일 수 있습니다. 반면, 경제 Y의 폐쇄 경제에서는 수출입이 제한되어 환율 변화의 영향을 덜 받지만, 내수 시장이 위축될 위험이 있습니다. 일반적으로 개방 경제인 X에서 확장적 통화 정책이 더 효과적일 수 있습니다."
generation-for-nlp-683,당좌 예금 계좌에 1000달러가 입금되고 초과 준비금이 700달러 증가하면 준비율은 다음과 같아야 합니다.,"{'question': '당좌 예금 계좌에 1000달러가 입금되고 초과 준비금이 700달러 증가하면 준비율은 다음과 같아야 합니다.', 'choices': ['70%.', '30%.', '40%.', '90%.'], 'answer': 2}",,"준비율(Reserve Ratio)은 은행이 예금에 대해 보유해야 하는 법정 준비금의 비율을 의미합니다. 예를 들어, 당좌 예금 계좌에 1000달러가 입금되면 은행은 이 금액의 일부를 중앙은행에 예치해야 합니다. 여기서 초과 준비금이 700달러 증가한다는 것은 은행이 이 금액을 준비금으로 사용할 수 있는 여유가 있다는 것을 나타냅니다. 준비율은 일반적으로 (준비금 / 총예금)로 계산됩니다. 따라서, 이 경우 준비율을 계산하면, 만약 총예금이 1000달러라면 준비율은 (700 / 1000) * 100 = 70%가 됩니다. 이는 금융 안정성과 통화 공급 조절 측면에서 중요한 지표입니다."
generation-for-nlp-684,"I. 생산 II. 생산 과정에서 벌어들인 소득 III. 소비자, 기업, 정부 및 외국인의 지출","{'question': 'GDP 측정 기준으로 옳은 것은?', 'choices': ['I만 정답이다.', 'II만 정답이다.', 'III만 정답이다.', 'I, II 및 III이 정답이다.'], 'answer': 4}",,"GDP(국내총생산)는 한 나라의 경제 활동을 측정하는 중요한 지표로, 다음 세 가지 접근 방식으로 계산됩니다: I. 생산 접근법, II. 소득 접근법, III. 지출 접근법. 제조업체가 상품을 생산함에 따라 발생하는 가치와 이익을 포함한 I, 생산 과정에서 발생한 모든 소득(임금, 이익 등)을 포함한 II, 그리고 소비자, 기업, 정부 및 외국의 총 지출을 반영하는 III가 있습니다. 따라서 질문에 대한 답은 GDP 측정의 세 가지 기준이 모두 옳다는 것입니다."
generation-for-nlp-685,현재 경제는 완전 고용 상태에서 운영되고 있습니다. 임금과 가격이 유연하다고 가정할 때.,"{'question': '총 수요의 감소가 단기적으로 GDP와 물가 수준에, 장기적으로 GDP와 물가 수준에 어떤 영향을 미치겠습니까?', 'choices': ['하락 \xa0\xa0\xa0 하락 \xa0\xa0\xa0 변경 없음 \xa0\xa0\xa0 하락', '하락 \xa0\xa0\xa0 하락 \xa0\xa0\xa0 하락 \xa0\xa0\xa0 하락', '변경 없음 \xa0\xa0\xa0 하락 \xa0\xa0\xa0 변경 없음 \xa0\xa0\xa0 변경 없음', '하락 \xa0\xa0\xa0 하락 \xa0\xa0\xa0 변경 없음 \xa0\xa0\xa0 변경 없음'], 'answer': 1}",,"완전 고용 상태에서의 총 수요 감소는 단기적으로 GDP를 감소시키고 물가 수준을 하락시킬 수 있습니다. 이는 기업들이 생산을 줄이고, 실업이 발생하며, 소비자 수요 감소로 인해 가격 경쟁이 치열해지기 때문입니다. 그러나 장기적으로는 임금과 가격이 유연하므로, 이러한 수요 감소에 따른 조정 과정이 이뤄져 전체 경제가 다시 균형을 이루게 됩니다. 결과적으로 장기적으로 GDP는 회복할 가능성이 높지만, 물가 수준은 상대적으로 안정적일 수 있습니다. 이러한 현상은 케인즈 이론과 아담 스미스의 시장 자율 조정 개념과 관련이 있습니다."
generation-for-nlp-686,I. 고정 금리 대출자 II. 고정 소득을 받는 개인 III. 고정 금리 저축자 IV. 식당 소유자,"{'question': '인플레이션으로 인해 피해를 입은 사람들 중에는 어떤 사람들이 포함되는가?', 'choices': ['I 및 II만 해당', 'II 및 III만 해당', 'II 및 IV만 해당', 'II, III 및 IV만 해당'], 'answer': 4}",,"인플레이션은 물가 상승을 의미하며, 이는 고정 소득을 받는 개인과 고정 금리 저축자에게 직접적인 피해를 줍니다. 고정 소득 개인은 물가 상승으로 실질 구매력이 감소하고, 고정 금리 저축자는 금리가 고정되어 있어 인플레이션이 높아지면 실질 이자 수익이 줄어듭니다. 반면, 고정 금리 대출자는 인플레이션으로 이자 부담이 줄어들어 상대적으로 유리하고, 식당 소유자는 원자재 비용 상승에 영향을 받을 수 있지만, 가격을 올려 매출을 증가시킬 수도 있습니다. 따라서 인플레이션의 피해자는 주로 고정 소득과 고정 금리를 기준으로 하는 집단입니다."
generation-for-nlp-687,할인율      명목 금리      총 수요,"{'question': '긴축 통화 정책이란 할인율, 명목 금리 및 총 수요에 대한 다음 중 어떤 것을 의미합니까?', 'choices': ['감소 \xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0 증가 \xa0\xa0\xa0\xa0 감소', '증가 \xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0 증가 \xa0\xa0\xa0\xa0 감소', '감소 \xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0 감소 \xa0\xa0\xa0\xa0 감소', '증가 \xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0 증가 \xa0\xa0\xa0\xa0 증가'], 'answer': 2}",,"긴축 통화 정책은 중앙은행이 금리를 인상하거나 통화 공급을 줄여 인플레이션을 억제하는 정책입니다. 이 정책은 할인율을 높여서 은행의 대출 비용을 증가시키고, 결과적으로 명목 금리를 상승시킵니다. 이러한 금리 인상은 소비와 투자를 줄여 총 수요를 감소시키는 경향이 있습니다. 예를 들어, 1980년대 미국의 레이건 행정부는 긴축 통화 정책을 통해 인플레이션을 안정시켰습니다. 이러한 과정은 경제 전체의 성장률에 직접적인 영향을 미치므로, 정확한 이해가 필요합니다."
generation-for-nlp-688,총 공급 곡선이 왼쪽으로 이동하면 균형 물가 수준과 균형 산출량은 어떻게 되겠습니까? 총 공급 곡선이 위로 기울어진다고 가정합니다.,"{'question': '총 공급 곡선이 왼쪽으로 이동하면 균형 물가 수준과 균형 산출량은 어떻게 되겠습니까?', 'choices': ['균형 물가 수준은 증가하는 반면 균형 산출량은 감소한다.', '균형 물가 수준은 감소하는 반면 균형 산출량은 증가한다.', '균형 물가 수준과 산출량이 증가한다.', '균형 물가 수준과 산출량이 감소한다.'], 'answer': 1}",,"총 공급 곡선이 왼쪽으로 이동하면, 일반적으로 생산비용 증가나 공급의 감소를 의미합니다. 이 경우 균형 물가 수준은 상승하고 균형 산출량은 감소하게 됩니다. 즉, 물가가 오르고 생산량이 줄어드는 스태그플레이션 현상이 발생할 수 있습니다. 예를 들어, 1970년대의 석유 파동이 이와 유사한 상황을 초래했으며, 공급 충격은 경제를 위축시키고 인플레이션을 발생시켰습니다. 따라서 총 공급 감소는 경제 전반에 부정적 영향을 미칠 수 있습니다."
generation-for-nlp-689,시중 은행이 초과 지급 준비금을 저축하지 않고 지급 준비금 요건이 20%라고 가정합니다.,"{'question': '이 은행이 1000달러의 예금을 받은 후 모든 은행에서 신규 대출로 생성되는 금액은 얼마입니까?', 'choices': ['800달러', '1,000달러', '4,000달러', '5,000달러'], 'answer': 3}",,"이 질문은 은행의 지급준비율과 다중화된 대출 과정을 다루고 있습니다. 지급준비율이 20%라는 것은 은행이 예금의 20%를 중앙은행에 준비금으로 남기고 나머지 80%를 대출할 수 있다는 의미입니다. 1000달러의 예금에서 200달러(20%)는 지급준비금으로 보유되고, 800달러(80%)는 대출 가능 금액입니다. 이후 이 대출금도 다른 예금으로 이어져 추가적인 대출이 생성될 수 있습니다. 이 프로세스는 '금융 승수' 개념에 의해 정리할 수 있으며, 최대 대출 가능 금액은 1000달러를 지급준비율(0.2)로 나눈 값을 통해 계산됩니다. 금융 승수는 1/0.2 = 5로, 초기 예금 1000달러는 최대 5000달러의 대출을 생성할 수 있습니다."
generation-for-nlp-690,지급준비율이 10%라고 가정하겠습니다.,"{'question': '연준이 공개 시장 운영에서 2,900만 달러 상당의 국채를 매각하면 통화 공급량은?', 'choices': ['290만 달러가 증가할 수 있다.', '290만 달러가 감소할 수 있다.', '2억 9천만 달러가 증가할 수 있다.', '2억 9천만 달러가 감소할 수 있다.'], 'answer': 4}",,"지급준비율이 10%일 때, 국채 매각은 통화 공급 감소를 의미합니다. 연준이 2,900만 달러 상당의 국채를 매각하면, 은행의 준비금이 줄어들고 이로 인해 대출 가능 금액도 감소합니다. 지급준비율 10%에 따라 은행은 총 2,900만 달러의 10%인 290만 달러를 준비금으로 유지해야 하므로, 나머지 2,610만 달러는 대출을 통해 경제에 공급될 수 있습니다. 결과적으로 통화 공급량은 2,610만 달러 감소하게 됩니다. 이 원리는 프랙셔널 뱅킹 시스템에서 자주 나타나는 현상입니다."
generation-for-nlp-691,단기 총 공급 곡선이 수평인 경우 그 이유는 다음과 같습니다.,"{'question': '단기 총 공급 곡선이 수평인 경우 그 이유는?', 'choices': ['임금과 물가를 올리지 않고도 생산량을 늘릴 수 있도록 유휴 자원이 많이 존재한다.', '생산량이 증가하면 그에 상응하는 임금과 물가 상승이 필요하다.', '생산량이 증가하면 가격이 상승하지만 임금은 훨씬 덜 빠르게 조정된다.', '금리가 하락하면 재화와 용역에 대한 수요가 증가하여 물가에 대한 상승 압력을 가한다.'], 'answer': 1}",,"단기 총 공급 곡선이 수평인 경우는 주로 경제가 타이트한 노동시장이나 특정 자원 공급 부족 상태에서 발생할 수 있습니다. 이를 '수요-풀 인플레이션'과 관련지어 설명할 수 있습니다. 경제가 생산 능력에 도달하지 않아 가격 상승에 대한 반응 없이 수량을 늘릴 수 있는 상황입니다. 예를 들어, 전후 한국의 산업화 과정에서 인프라와 노동력이 충족되지 않았던 시점에 수평 공급 곡선을 보여왔습니다. 이 시기에 기업은 가격을 올리지 않고 수요에 맞춰 생산을 증가시킬 수 있었습니다."
