id,paragraph,problems,question_plus,hint
generation-for-nlp-514,"이번 담화의 제목을 사람들이 보다 쉽게 이해할 수 있도록 나는 이제부터 얘기하려고 하는 물질의 과학명인 ‘원형질(Protoplasm)’을 ‘생명의 물리학적 기반’으로 번역했다. 생명에 물리학적 기반 혹은 물질이라는 게 있다는 개념이 많은 사람들에게는 낯설 수 있으나 생명이 물질을 통해 작용하는 무언가라는 개념은 널리 퍼져있다. 따라서 우리가 아는 한(그 외의 것에 대해 추측할 권리가 우리에게는 없다), 생명의 물질은 생명력의 조건이라 할 수 있는 끊임없는 죽음의 결과 탄산, 물, 질소 화합물로 분해되며, 이것은 오로지 보통물질이 가진 특성만을 갖고 있을 뿐이다. 토머스 헨리 헉슬리, ""생명의 물리적 기초"", 1868년","{'question': '다음 중 위 글로부터 추정할 수 있는 헉슬리가 의미하는 ‘생명’은 무엇입니까?', 'choices': ['물질을 통해 작용하는 어떤 힘', '본질적으로 철학적 개념', '특정 종류의 물질의 특성일 뿐이다', '초자연적 현상'], 'answer': 3}",,"토머스 헨리 헉슬리(1825-1895)는 19세기 영국에서 활동한 생물학자이자 유물론자인데, 그의 발언은 생명에 대한 과학적 이해가 진화론과 연결됨을 나타냅니다. 헉슬리는 1859년 다윈의 ""종의 기원"" 발표 이후 과학적 해석을 통해 생명을 물질적이고 물리적 현상으로 바라보았습니다. 이는 당시 산업혁명과 과학혁명의 결과로, 인간 존재와 생명의 기원에 대한 전통적 신학적 설명에 도전하는 흐름이었습니다. 따라서 헉슬리가 의미하는 '생명'은 물질에서 발생하는 생명력이며, 이는 물리적, 화학적 과정을 통해 이해될 수 있음을 강조합니다."
generation-for-nlp-515,"로마 세계에 만연했던 다양한 예배 방식 모두를, 사람들은 똑같이 참된 것으로, 철학자는 똑같이 거짓으로, 치안 판사는 똑같이 유용한 것으로 간주하였습니다. 에드워드 기번, <로마제국 쇠망사>, 1776–1788","{'question': '고대 로마의 종교적 숭배에 대한 기번의 해석을 요약한 답은 무엇입니까?', 'choices': ['고대 로마에서 종교적 숭배는 분산적이어서 각자의 사회적 지위에 따라 달랐다.', '고대 로마에서 종교적 숭배는 사회적 긴장과 혼란의 원인인 경우가 많았다.', '고대 로마에서 종교적 숭배는 획일적이고 대단히 중앙집권적이었다.', '고대 로마에서 종교적 숭배는 기독교의 유입으로 완전히 달라졌다.'], 'answer': 1}",,"에드워드 기번의 <로마제국 쇠망사>에서 그는 고대 로마의 다양한 종교적 예배 방식이 서로 다름에도 불구하고, 사람들은 이를 진리로, 철학자들은 이를 위선으로, 경찰은 이를 유용성으로 평가하는 경향이 있음을 설명합니다. 이는 로마가 다신교 사회로서 여러 신앙체계를 허용했지만, 궁극적으로는 신앙적 혼란과 도덕적 쇠퇴를 가져오며 제국 쇠망의 한 원인으로 작용했음을 나타냅니다. 기번의 분석은 계몽시대의 합리주의적 관점이 반영된 것이며, 당시 유럽에서 종교와 이성 간의 갈등을 다룬 시기를 반영합니다."
generation-for-nlp-516,"다음 인용문은 1755년 리스본 지진에 대한 볼테르의 반응입니다. 친애하는 내 벗에게, 자연은 매우 잔인하군요. 운동 법칙이라는 것이 우리 세상에서 어떻게 이렇게 무서운 재앙을 발생시킬 수 있는지 상상조차 하기 힘듭니다. 우리 친구들은 수십만 마리의 개미가 마치 한 번에 개미집에서 짓밟히듯이 이 중 절반이 말로 다할 수 없는 고통 속에 빠져나올 수 없는 잔해에 깔려 있습니다. 유럽 전역에서 가족들이 파멸에 빠졌고 우리 동포인 수백 사업가들의 재산이 리스본의 잔해에 묻혀버렸습니다. 인생 게임이란 얼마나 끔찍한 도박입니까! 종교재판소 궁전이 아직 있다면 설교자들은 무어라 말할까요? 저는 적어도 존경하는 종교 재판관님들은 다른 이들과 마찬가지로 뭉게졌을 것이라고 스스로를 칭찬합니다. 사람은 서로를 박해하지 말라고 가르쳐야 합니다. 일부 성자를 칭하는 악당들이 광신도를 불태우는 동안 지구는 우리 모두를 집어 삼켜버릴테니까요.","{'question': '볼테르가 토로한 위의 생각들은 계몽주의 지식인의 어떤 특징들을 가장 잘 표현하고 있습니까?', 'choices': ['상당수가 일가를 이룬 과학자들로서 우주에 대한 인간의 이해를 넓히는 데 일조했다.', '그들은 살롱이나 저렴한 인쇄 유인물 같은 새로운 도구를 사용해 자신의 생각을 알렸다.', '대부분은 일체의 종교를 거부했으며 무신론을 이성적인 인간의 유일한 신조로 여겼다.', '많은 이들이 새로운 과학적 발견이 사회 및 문화적 문제에 대한 보다 관대하고 객관적인 방법론을 정당화한다고 믿었다.'], 'answer': 4}",,"볼테르의 생각은 계몽주의의 특징인 합리주의, 비판적 사고, 인본주의를 잘 드러냅니다. 18세기 중반, 계몽주의 운동은 인간 이성과 과학을 강조하며, 종교적 믿음과 전통적 권위를 비판했습니다. 리스본 지진(1755)은 자연 재해에 대한 의문을 제기하며, 신의 존재와 선의 문제를 부각시켰습니다. 볼테르는 신의 정의를 의심하고 인간 상호 간의 박해를 반대하며 인도적 메시지를 전달했습니다. 이 시기 유럽은 산업 혁명 전야에 있었고, 다양한 문화와 사상이 충돌하며 현대 민주주의의 초석이 놓였습니다."
generation-for-nlp-517,"그는 모든 저명 인사가 궁정에 계속 알현하기를 기대했으며, 지위가 낮은 자들이 없음을 재빨리 알아차렸다. 지렛대를 쥐고, 소파에서, 식사할 때, 베르사유 정원(일반적으로 신하들이 따라가는 것이 허용된 유일한 장소)에서 눈을 좌우로 돌리곤 했다. 그에게서 벗어날 수 있는 것은 아무것도 없었고 그는 모두를 보았다. 궁정에 습관적으로 상주하는 자가 보이지 않으면 그 이유를 알고 싶다고 주장했다. 아주 짧게 방문하는 사람들도 만족스러운 설명을 해야 했다. 그곳에 좀처럼 나타나지 않거나 전혀 나타나지 않는 자는 누구든지 그의 불쾌감을 부를 것이 분명했다. 그런 자들에게 호의를 베풀어 주십사 하는 요청을 받으면 그는 오만하게 답하곤 했다. “나는 그자를 모른다.” 잘 나타나지 않는 자들에 대해 그는 “그자는 내가 한 번도 본 적이 없다”고 말했으며, 이러한 판단이 한번 내려지면 재고의 여지는 없었다. 호의를 베풀어 호의의 가치를 높이는 기술을 루이 14세보다 더 잘 이해한 사람은 없다. 말 한 마디, 미소, 심지어 눈빛까지 최대한 활용하는 법을 알고 있었다. 모든 면에서 화려함, 웅장함, 풍요로움을 좋아했으며 궁정에서도 비슷한 취향을 장려했다. 장비, 건물, 파티, 카드놀이에 자유롭게 돈을 쓰는 것은 그의 호의를 얻는 확실한 방법이었고, 아마도 명예의 말 한 마디를 얻는 확실한 방법이었으리라. 정책의 동기는 이와 관련이 있었다. 그는 값비싼 습관을 유행으로 만들어 특정 지위에 있는 자의 필수품이 되도록 함으로써 신하들에게 수입 이상으로 생활하도록 강요했고, 수입을 점진적으로 줄여 생계 수단을 자신의 은혜에 의존하도록 하였다.","{'question': '다음 중 위 글에서 발견되는 편견을 가장 잘 설명한 것은 무엇입니까?', 'choices': ['프랑스 귀족의 일원인 공작은 루이왕에 호의적이다.', '프랑스 귀족의 일원인 공작은 루이왕의 귀족 탄압으로 인해 그에게 편견을 갖고 있다.', '프랑스 귀족의 일원인 공작은 중앙집권체제 하에 프랑스 국민에 대한 행정적, 재정적, 군사적, 종교적 통제가 확장되는 것을 지지했다.', '프랑스 귀족의 일원인 공작은 루이왕이 귀족들의 사회적 지위와 법적 특권은 유지하되 그들의 권력은 뺏는 전략을 지지했다.'], 'answer': 2}",,"이 지문은 프랑스의 루이 14세(1638-1715) 시대의 궁정 정치와 권력 구조를 다루고 있으며, 그의 오만함과 권위주의적 성향을 강조하고 있습니다. 루이 14세는 '태양왕'으로 알려져 있으며, 베르사유 궁전을 통해 절대 왕권을 강화했습니다. 왕은 신하들에게 재정적 압박을 가하고, 그의 호의에 의존하게 만듦으로써 권력을 유지했습니다. 이러한 궁정의 사치와 경쟁은 당시 사회경제적 불평등을 심화시켰으며, 신하의 충성을 요구하는 체계적 편견을 드러냅니다. 권력의 상징으로서의 화려함과 사치의 시대배경은 유럽의 절대군주정 시대에 해당하며, 그 영향력은 이후 프랑스 혁명(1789)으로 이어지는 중요한 변화를 불러왔습니다."
generation-for-nlp-518,"1914년 참사의 책임은 독일인에게 있다. … 이 부분에서 안타깝게도 독일은 (원래 위장술이 뛰어남에도 불구하고) 특유의 극단성으로 인해 지나치게 솔직한 민낯을 드러내고 말았다. Deutschland über alles. 가장 위대한 독일! …이것은 역사는 길지만 유치한 인종의 궁극적 틀인 것이다.
조르주 클레망소, 승리의 웅장함과 비참함, 1930년","{'question': '위 글에서 유추할 수 있는 클레망소의 생각은 무엇입니까?', 'choices': ['인기 가요(결국 독일의 국가(國歌)가 된) ‘Deutschland über alles’의 가사는 독일이 전쟁을 시작한 이유다.', '인기 가요(결국 독일의 국가(國歌)가 된) ‘Deutschland über alles’의 가사는 독일의 공격적인 태도의 근거다.', '독일이 전쟁에서 진 이유는 내부로부터의 배신 때문이다.', '독일이 현대 전쟁의 궁극적 틀을 제시했다.'], 'answer': 2}",,"조르주 클레망소는 제1차 세계대전(1914-1918)에서의 독일의 역할과 책임을 비판하고, 독일의 민족주의적이고 공격적인 성향을 강하게 지적하고 있습니다. 'Deutschland über alles'는 독일 제국의 국가로, 극단적 민족주의를 함축하고 있습니다. 클레망소는 전후 유럽의 평화와 안정에 위협이 되는 독일의 태도를 경계하며, 이로 인해 유럽 내의 인종적 및 정치적 긴장이 지속될 것이라 우려했을 것입니다. 이는 또한 자신이 프랑스의 대표로서 전후 세계 질서를 재정립하고자 했던 맥락과 관련이 있습니다."
generation-for-nlp-519,"플로렌스는 당신네들의 베니스보다 훨씬 아름답고 540년이나 더 유서 깊은 도시입니다. … 플로렌스 주변에는 귀족과 상인, 시민과 장인들이 소유한 3천 개의 영지가 있으며 여기에서 매년 나는 빵과 고기, 와인과 오일, 야채와 치즈, 건초와 나무는 현금으로 치면 9천 두카트에 달하지요. … 플로렌스가 주력으로 삼는 두 무역 거래는 베니스의 네 개 거래를 합한 것보다 규모가 더 큰데, 바로 양모와 실크입니다. … 아름다운 플로렌스의 도시 안에는 … 양모 길드에 속한 상점이 270개나 되며, 이곳의 물건이 로마와 마르셰로, 나폴리와 시칠리아로, 콘스탄티노플 … 그리고 터키 전역으로 뻗어 나갑니다. 실크 길드의 풍요롭고 화려한 창고도 83개에 달합니다.","{'question': '이 글에서 알 수 있는 르네상스 이탈리아의 부 측정 기준은 무엇입니까?', 'choices': ['영지의 크기', '개인이 소유한 영지의 개수', '재화의 금전적 가치', '보유하고 있는 금의 양'], 'answer': 3}",,"르네상스 이탈리아의 부 측정 기준은 상업 및 무역의 규모, 특히 주요 물품인 양모와 실크의 생산과 거래를 통해 이해할 수 있습니다. 플로렌스는 다양한 상인과 장인 계층의 활동으로 번성하며, 그 경제적 영향력은 주요 무역 도시인 베니스보다 크다는 점에서 부를 나타냅니다. 또한 복잡한 길드 시스템과 소유한 영지의 가치, 연간 수익이 부의 척도로 사용됩니다. 15세기 플로렌스는 메디치 가문과 같은 강력한 후원자를 통해 문화와 예술이 발전한 시기로, 이러한 경제적 번영은 르네상스의 문화적 성숙에 기여했습니다."
generation-for-nlp-520,"아래의 두 발췌문은 각각 탐험가 크리스토퍼 콜럼버스와 멕시코 치아파스의 도미니카 주교 바톨로뮤 데 라스 카사스가 쓴 것입니다.
본문 1
인디언들은 판매자가 요구하는 무엇이든 줄 것이다. . . . 그리하여 바보처럼 면화와 금을 활 조각, 유리, 병, 항아리와 물물교환했다. 나는 부당한 일이라고 금한 뒤 가져온 아름답고 좋은 물건을 주고 아무것도 돌려받지 않았다. 이들과 좀더 쉽게 어울리고 기독교인이 되도록 유도하며 왕과 왕비, 우리 왕자와 모든 스페인 사람들에게 호감을 표하도록 하고자 했다. 이들은 많이 가지고 있지만 우리에게 꼭 필요한 것들만을 찾아 모아 우리에게 전달하는 데 관심이 있다.
—크리스토퍼 콜럼버스: 라파엘 산체스에게 보낸 편지, 1493년
본문 2
이 온화한 양들에게 달린 일이었다. . . 스페인인들은 눈을 맞춘 첫 날부터 마치 맹렬한 늑대 혹은 며칠을 굶은 사자와 호랑이처럼 달려들었다. 처음부터 구성된 행동 패턴은 오늘날까지 변하지 않고 있으며 스페인인들은 여전히 원주민들을 잘게 찢고 살해해 말못할 고통과 괴로움, 절망을 안겨주며 고문하고 괴롭히며 무자비하게 박해하는 일만 반복하고 있다. 때가 되면 우리는 이들이 고문을 위해 발명해 개량한 수 많은 독창적인 방법 중 일부를 설명할 것이지만 피해자의 숫자 만으로도 얼마나 이들의 고문 방식이 효과적이었는지 알 수 있다. 스페인인들이 처음 도착했을 때 히스파니올라 섬의 원주민 인구는 약 3백만이었으나 지금은 200명만 살아남았다. 이토록 많은 수의 사람들을 죽이고 파괴한 이유는 그리스도교인들의 궁극의 목적이 금을 획득해 빠른 시간 안에 부를 획득해 자신들이 저지른 짓에 비추어 볼 때 말도 안되는 지위에 오르기 위함이었다.
–바톨로뮤 데 라스 카사스: 인디스 파괴에 대한 간략한 설명, 1542년","{'question': '두 이야기에서 묘사된 스페인인과 원주민 사이의 교류 차이를 가장 잘 설명한 것은 무엇입니까?', 'choices': ['데 라 카사스는 아프리카계 노예의 시작을 뒷받침하기 위해 과장하고 있다.', '컬럼버스는 자기가 돋보이도록 글을 쓰고 있다.', '컬럼버스의 사람들은 이후 후발 탐험대 사람들보다 원주민들에게 더 친절했다.', '데 라 카사스는 스페인 사람들이 아메리카 대륙을 떠나기를 바랐다.'], 'answer': 2}",,"콜럼버스의 편지에서는 원주민들이 스페인인의 요구에 수동적이었고, 교류가 물물교환 형태로 나타났습니다. 반면, 데 라스 카사스는 스페인 정복자들이 원주민에 대해 폭력적이고 착취적이었다고 강조합니다. 이는 스페인의 제국주의적 확장을 반영하며, 당시 경제적 동기는 금과 자원의 착취에 집중되었음을 보여줍니다. 16세기 스페인은 대항해 시대를 맞아 식민지 개척과 원주민에 대한 고문 및 학살로 비난받았으며, 이는 식민지 확장에 대한 도덕적 논쟁을 일으켰습니다."
generation-for-nlp-521,"얼레빗질 기계(Scribbling-Machines)로 인해 수천 명의 청원자가 일자리를 잃었고 그로 인해 엄청난 고통에 빠졌으며, 더 이상 가족을 부양할 수 없게 되었고, 아이들을 노동 인력으로 키워내기 위한 기회를 박탈당했다. 리즈 지역을 시작으로 그로부터 남서쪽으로 약 17마일 떨어진 곳까지 존재하는 얼레빗질 기계의 수는 믿을 수 없게도 총 170여 개에 달한다! 10명의 남성이 12시간 동안 꼬박 수작업으로 해야 하는 일을 기계 한 대가 같은 시간 내에 끝낼 수 있고, … 20명을 고용해서 해야 할 일을 [기계가] 하루 만에 끝낼 수 있으니 … 4천 명의 사람이 각자 살 길을 찾아야 하고, 만일 적절한 시기에 구제되지 않는다면 교구에 의존할 수밖에 없게 될 것이다. … 이렇게 일자리를 잃은 이 사람들은 가족을 어떻게 부양해야 할 것인가. 아이들에게 어떤 도제교육을 시킬 수 있을까. 다음 세대를 나태하게 빈둥거리는 방랑자로 만들지 않으려면 어떤 일을 시켜야 할까? … 더 많은 폐해를 나열할 수도 있겠지만, 우리는 사익에 눈이 멀지 않은 분별력 있는 사람들이 이 사태의 지속이 가져올 끔찍한 추세를 똑바로 보길 바란다. 인구감소는 당연히 따라올 것이고, 그러면 거래가 사라지고, 지주들은 맨 마지막으로 잡아먹힌다는 것 외에는 어떤 만족도 느끼지 못할 것이다.","{'question': '이 문서는 무엇의 증거로 사용될 수 있습니까?', 'choices': ['18세기 영국 노동자 계급 사이에 퍼진 혁명적 사상', '18세기 영국에서 시작된 러다이트 운동', '영국의 18세기 산업혁명 때 기계가 기존 노동자들을 대체 ', '18세기 영국에서 증가한 아동노동'], 'answer': 3}",,"이 문서는 산업 혁명에 따른 기술 발전이 노동시장에 미친 부정적인 영향을 증명하는 데 활용될 수 있습니다. 특히 18세기 후반부터 19세기 중반까지 영국 리즈 지역에서 작업 기계의 도입으로 손쉬운 생산이 가능해지면서 수많은 장인들이 일자리를 잃었습니다. 이러한 변화는 빈곤과 사회적 불안정을 초래하며, 노동 계층의 삶을 위협했습니다. 이 시기에 노동 조합과 사회 개혁 운동이 발생하게 되는데, 이는 노동자들의 권리를 보호하고 경제적 안정을 재건하기 위한 노력의 일환이었습니다."
generation-for-nlp-522,"플로렌스는 당신네들의 베니스보다 훨씬 아름답고 540년이나 더 유서 깊은 도시입니다. … 플로렌스 주변에는 귀족과 상인, 시민과 장인들이 소유한 3천 개의 영지가 있으며 여기에서 매년 나는 빵과 고기, 와인과 오일, 야채와 치즈, 건초와 나무는 현금으로 치면 9천 두카트에 달하지요. … 플로렌스가 주력으로 삼는 두 무역 거래는 베니스의 네 개 거래를 합한 것보다 규모가 더 큰데, 바로 양모와 실크입니다. … 아름다운 플로렌스의 도시 안에는 … 양모 길드에 속한 상점이 270개나 되며, 이곳의 물건이 로마와 마르셰로, 나폴리와 시칠리아로, 콘스탄티노플 … 그리고 터키 전역으로 뻗어 나갑니다. 실크 길드의 풍요롭고 화려한 창고도 83개에 달합니다. 베네데토 데이, ‘베네치아인에게 보내는 편지,’ 1472","{'question': '이 글이 드러내는 르네상스 시대의 문화적 특징은 무엇입니까?', 'choices': ['탁월한 용병술에 대한 자부심', '기사도', '시민 자부심', '예술 후원'], 'answer': 3}",,"지문은 르네상스 시대의 이탈리아, 특히 플로렌스의 경제적 번영과 상업적 중요성을 강조합니다. 르네상스(14세기~17세기)는 고대 그리스와 로마 문화를 재조명하며, 인문학, 예술, 과학에서 혁신이 일어난 시기입니다. 플로렌스는 메디치 가문의 후원 아래 예술과 학문의 중심지로 성장하며, 다빈치와 미켈란젤로와 같은 위대한 예술가들이 활동했습니다. 플로렌스의 양모 및 실크 무역은 도시의 경제적 기반을 이루었고, 유럽 전역과의 상업적 연결을 통해 르네상스 여러 사상과 예술 형식이 확산되었습니다. 이러한 배경은 당시의 사회적 지위와 부를 재편성하며, 문화적 가능성을 확대했습니다."
generation-for-nlp-523,"정부가 빈곤층에 대한 구원투수의 직책을 맡는 일은 정부는 지키는 것 이상의 일을 할 수 없다는 원칙에 의해 필연적으로 금지된다. 국민에게 고통 완화를 위한 금전적 기여를 요구함으로써 정부는 그 기능이 역전되고 있다. 기본법을 집행해 모든 사람이 다른 사람의 평등한 자유를 침해하지 않는 한 원하는 바를 이룰 자유를 보장해야 한다. 하지만 이는 누군가의 만족을 보장하는 것과는 별도의 문제이다.
무능한 이의 가난, 섣부른 자의 곤경, 게으른 자의 굶주림과 강자에게 약자를 떠넘기는 일은 보다 크고 앞을 내다보는 자비에 의한 결정이다. 이를 분리해서 생각하지 않고 인류 공통의 이익과 연결지어 생각해 보면 이런 가혹한 운명도 커다란 은혜로 가득하다고 볼 수 있다.
허버트 스펜서, 사회적 통계: 인류에 적용되는 적자생존, 1851년","{'question': '위 글을 바탕으로 추정할 때 스펜서가 옹호한 사회철학은 무엇입니까?', 'choices': ['공상적 사회주의', '사회보수주의', '낭만주의', '사회진화론'], 'answer': 4}",,"허버트 스펜서는 사회 다윈주의의 철학을 옹호했습니다. 이는 진화론을 사회와 경제에 적용한 것으로, 개인의 경쟁력이 사회의 발전을 이끈다고 주장합니다. 19세기 중반 산업혁명 이후, 유럽에서는 자본주의가 활성화되고 사회적 불평등이 확대되어, 이에 대한 반향으로 스펜서의 사상이 주목받았습니다. 그는 정부가 경제적 구호를 제공하지 말고 개인의 자율적 경쟁을 촉진해야 한다고 믿었습니다. 이는 특히 빈곤층에 대한 정부의 개입을 반대하는 맥락에서 나타나며, 당시 사상가들 사이에서 논의된 개인주의와 자유주의의 일환으로 볼 수 있습니다."
