id,paragraph,problems,question_plus
generation-for-nlp-1152,"평화를 수호하는 일보다 더 시급한 일은 없습니다. 평화가 없다면 우리의 독립은 의미가 없습니다. 국가를 재건하고 다시 세우는 일 역시 의미가 없을 것입니다. 우리의 혁명은 제 목표를 달성하지 못할 것입니다. 우리는 무엇을 할 수 있을까요? 많은 것을 할 수 있습니다! 세계 정세에 이성의 목소리를 더할 수 있습니다. 아시아와 아프리카의 모든 영적, 도덕적, 정치적 힘을 평화를 위해 동원할 수 있습니다. 그렇습니다, 우리는 할 수 있습니다! 14억명에 달하는 우리 아시아와 아프리카 사람들은 강인합니다. 인도네시아 대통령 수카르노가 반둥 회의에서 한 기조 연설, 1955","{'question': '위의 글과 가장 관계 깊은 것은 무엇입니까?', 'choices': ['비동맹 운동의 형성', '글로벌 군비축소와 핵 비확산', '농업계의 녹색혁명', '범아시아 이데올로기의 확산'], 'answer': 1}",
generation-for-nlp-1153,"이 질문은 다음 정보를 참조한다.
그는 나를 붙잡고 어둠의 집으로 끌고갔다…
한 번 들어가면 아무도 돌아오지 못하는 그 집으로,
돌아오지 못하는 길을 따라서,
빛이 없는 곳을 거니는 자들이 있는 집으로,
흙을 마시고, 진흙을 먹는 곳으로…
빛이 들지 않는 곳. 그들은 어둠 속을 거닐며,
문과 잠금쇠 위에는 먼지가 쌓여 있다.
길가메쉬 서사시 7장, 수메르, 기원전 2100년 경
진실은 선하고 그 가치는 영원하다.
그것은 신께서 세상을 창조하실 때부터 변하지 않은 진실이요,
그 진리를 어기는 사람은 처벌을 받게 된다.
아무것도 모르는 자의 앞에도 길은 펼쳐지기 마련이다.
범법 행위는 그 어떤 이득도 가져다 주지 못하니…
신께서 인도하는 자들은 스스로를 잃지 않는다.
그 길을 걷지 아니하는 자들은 결코 생명의 강을 건너지 못하리라.
현자 프타호텝의 교훈, 이집트, 기원전 2400년 경","{'question': '다음 중 위 두 개의 글이 가장 잘 뒷받침하는 결론은 무엇입니까?', 'choices': ['고대 이집트인들이 생각하는 사후세계는 고대 수메르인들보다 덜 우울했다.', '고대 이집트인들은 정치적 복종을 도덕적으로 적절하다고 생각하는 경향이 고대 수메르인들보다 더 강했다.', '고대 이집트인들은 젠더 관계에 있어 고대 수메르인들보다 훨씬 가부장적이었다.', '고대 이집트인들의 사회계층은 고대 수메르인들보다 훨씬 더 경직되었다.'], 'answer': 1}",
generation-for-nlp-1155,"이 질문은 다음 정보를 참조한다.
그는 나를 붙잡고 어둠의 집으로 끌고갔다…
한 번 들어가면 아무도 돌아오지 못하는 그 집으로,
돌아오지 못하는 길을 따라서,
빛이 없는 곳을 거니는 자들이 있는 집으로,
흙을 마시고, 진흙을 먹는 곳으로…
빛이 들지 않는 곳. 그들은 어둠 속을 거닐며,
문과 잠금쇠 위에는 먼지가 쌓여 있다.
길가메쉬 서사시 7장, 수메르, 기원전 2100년 경
진실은 선하고 그 가치는 영원하다.
그것은 신께서 세상을 창조하실 때부터 변하지 않은 진실이요,
그 진리를 어기는 사람은 처벌을 받게 된다.
아무것도 모르는 자의 앞에도 길은 펼쳐지기 마련이다.
범법 행위는 그 어떤 이득도 가져다 주지 못하니…
신께서 인도하는 자들은 스스로를 잃지 않는다.
그 길을 걷지 아니하는 자들은 결코 생명의 강을 건너지 못하리라.
현자 프타호텝의 교훈, 이집트, 기원전 2400년 경","{'question': '다음 중 두 번째 글의 고대 사회에 대한 종교적 신념의 영향에 대한 가설을 가장 잘 반영하는 것은 무엇인가?', 'choices': ['고대 이집트 사회는 연민을 최고의 미덕으로 삼았다.', '고대 이집트인들은 윤리적인 행동이 사후의 운명을 결정한다고 믿었다.', '고대 이집트 성직자들은 철저하게 ""눈에는 눈""이라는 윤리 강령을 장려했다.', '고대 이집트의 숭배자들은 정교한 의식을 수행하고 제물을 바쳤다.'], 'answer': 2}",
generation-for-nlp-1157,"가나 도시는 두 개의 마을로 이루어져 있다. 그중 하나는 무슬림들이 사는 동네로 12개의 모스크와 유급직인 이맘(imam)과 무엣진(muezzin), 법관과 학자들이 살고 있다. 근방에는 담수가 샘솟는 우물이 있어 사람들은 이 물을 식수로 사용하고 채소를 기르는 데 사용하기도 한다. . . . 왕의 통역관을 비롯해 재정 담당 관리 및 대부분의 대신이 무슬림이다. 오직 왕족만이 바느질한 옷을 입을 수 있다. 다른 사람들은 각자 형편대로 면이나 실크 또는 비단으로 만든 로브를 입었다. . . . 왕은 목걸이를 착용하고 팔찌를 차는 등 여성처럼 외모를 꾸몄다. . . . 그는. . . 돔 형태의 파빌리온에 앉아 있으며 그 주위를 열 마리의 말이 에워싸고 있다. 왕과 종교가 같은 사람들은 그가 가까이 다가오면 환영의 의미로 무릎을 꿇고 모래를 자기 머리 위에 뿌린다. 무슬림의 경우 왕을 맞이할 때 손뼉을 칠 뿐이다. [사람들의] 종교는 이교사상으로 우상을 숭배한다. . . . 당나귀에 실리는 소금 한 포대당 왕은 수입에는 1금화 디나르를, 수출에는 2금화 디나르를 세금으로 부과했다. 구리 한 포대당 왕의 몫은 5미스칼이고 다른 상품은 10미스칼이다. . . . 나라 안의 모든 광산에서 나오는 금덩어리는 왕의 것이고 그 외 사람들은 오직 사금만을 가질 수 있었다. 하지만 이를 위해 사람들은 금이 제 가치를 잃을 때까지 그저 모으기만 하고 있었을 것이다. 이 나라 너머에는 말랄이라 불리는 나라가 있었는데, 그곳의 왕은 이슬람에 진심으로 심취해 있었으나 일반 백성들은 여전히 다신교도였다. 그때 이후로 이곳의 통치자들은 알 무슬마니(al-musulmani)라는 칭호를 얻게 되었다.","{'question': '위 글에서 가나인들이 직적접으로 혹은 간접적으로 아시아와 교역했다는 증거로 볼 수 있는 것은 무엇입니까?', 'choices': ['그들이 궁정에서 키운 말은 분명 몽골에서 왔을 것이다.', '가나 왕은 머리를 조아리는 중국의 전통(kow-tow)을 받아들였다.', '왕이 금과 보석으로 외모를 치장하는 풍습은 인도에서 유래했을 가능성이 크다.', '그의 궁정에 사는 사람들은 실크 로브를 입었다.'], 'answer': 4}",
generation-for-nlp-1158,"평화를 수호하는 일보다 더 시급한 일은 없습니다. 평화가 없다면 우리의 독립은 의미가 없습니다. 국가를 재건하고 다시 세우는 일 역시 의미가 없을 것입니다. 우리의 혁명은 제 목표를 달성하지 못할 것입니다. 우리는 무엇을 할 수 있을까요? 많은 것을 할 수 있습니다! 세계 정세에 이성의 목소리를 더할 수 있습니다. 아시아와 아프리카의 모든 영적, 도덕적, 정치적 힘을 평화를 위해 동원할 수 있습니다. 그렇습니다, 우리는 할 수 있습니다! 14억명에 달하는 우리 아시아와 아프리카 사람들은 강인합니다. 인도네시아 대통령 수카르노가 반둥 회의에서 한 기조 연설, 1955.","{'question': '아프리카, 아시아, 중동의 수많은 지도자들과 마찬가지로 수카르노 역시 중립을 지키기 위해 노력했으나 완벽하게 성공하지는 못했는데, 그 시기는 언제입니까?', 'choices': ['아랍-이스라엘 분쟁.', '한국전쟁.', '냉전.', '베트남 전쟁.'], 'answer': 3}",
generation-for-nlp-1159,본스틸의 주된 구상은 소련이 받아들일 수 있는 제일 북단에 항복 구역을 세우는 것이었다. 그는 러시아 군대가 미국군보다 먼저 한국의 남단에 도착할 수 있다는 사실을 알았다. 또한 러시아군이 한국으로 들어오기 직전이라는 사실 혹은 이미 들어왔을 수 있다는 사실 역시 알고 있었다. 한국에서 가장 가까운 미국군 주둔지는 600마일 떨어져 있는 오키나와였다. 따라서 그의 문제는 러시아가 수용할 수 있으면서 동시에 러시아군이 한국 전역을 점령하는 것도 막을 수 있는 항복 협정을 고안하는 것이었다. 만일 러시아가 이를 거부하고 북한으로 진격할 경우 미국은 그들을 막을 방법이 없었다. . . . 그리하여 그는 가상의 선인 38선을 그어 한국에 주둔 중인 일본군이 지정된 미국 혹은 러시아 당국에 항복하는 구역을 정했다. —1940년대 본스틸 대령의 결정에 대한 미국 육군 폴 C. 맥그라스 중위의 기록에서 각색,"{'question': '여기에서 묘사된 사건은 한국인에게 어떤 영향을 미쳤습니까?', 'choices': ['한국은 일본의 식민지가 되었다.', '미국이 모든 한국인을 자유롭게 했다.', '한국 경제는 절대 회복하지 못했다.', '한국은 38선을 기준으로 여전히 두 개 나라로 나뉘어 있다.'], 'answer': 4}",
generation-for-nlp-1160,"다음의 정보를 바탕으로 답을 고르시오. 아래 두 저자는 모두 프랑스 혁명에 대해 이야기하고 있다. 최고의 시절이자 최악의 시절, 지혜의 시대이자 어리석음의 시대였다. 믿음의 세기이자 의심의 세기였으며, 빛의 계절이자 어둠의 계절이었다. 희망의 봄이자 절망의 겨울이었다. 우리 앞에는 모든 것이 있었지만 한편으로 아무것도 없었다. 우리는 모두 천국으로 향해 가고자 했지만 우리는 엉뚱한 방향으로 걸었다. 말하자면, 지금과 너무 흡사하게, 그 시절 목청 큰 권위자들 역시 좋든 나쁘든 간에 오직 극단적인 비교로만 그 시대를 규정하려고 했다. 영국의 왕좌에는 턱이 큰 왕과 못생긴 왕비가 앉아 있었고, 프랑스의 왕좌에는 턱이 큰 왕과 아름다운 왕비가 앉아 있었다. 두 나라 모두 분명하게… 영원히 안정되었다는 사실이 분명해 졌다. - 찰스 디킨스, 두 도시 이야기 그 새벽에 살아 있음이 축복이었지만, 젊다는 건 바로 천국이었네. —서곡, 윌리엄 워즈워스","{'question': '프랑스 혁명에 대한 디킨스와 워즈워스의 상반된 견해는 각각 어떤 형용사로 묘사할 수 있겠습니까?', 'choices': ['낭만적인, 고무된', '이해하는, 받아들이는', '냉소적인, 열정적인', '진지한, 체념한'], 'answer': 3}",
generation-for-nlp-1161,"여성들이여, 깨어나라. 이성의 종소리가 우주 전체에 울려 퍼지노니, 당신의 권리를 찾아라. 노예가 된 남성은 자신의 힘을 몇 배로 키웠으나, 자유의 몸이 되고 난 뒤에는 자신의 동반자를 부당하게 대했다. 오, 여성들이여, 여성들이여! 그대들은 언제 눈을 뜰 것인가? 그대들이 혁명으로부터 얻은 이익은 무엇인가? 더욱 두드러진 냉소, 더욱 확실한 경멸. 지도자들이 계속해서 고집한다면, 우월성을 주장하는 그들의 공허한 가식에 이성의 힘으로 용기 있게 맞서라. 어떤 장애물이 당신 앞을 가로막든, 스스로를 해방할 힘은 본인에게 있다! 올랭프 드 구주, “여성과 여성 시민의 권리 선언”, 1791 독립? 내가 원했던 그 어떤 것도 성취되지 않았습니다. 내 아이들이 교육 받을 기회가 있으리라 기대했건만 그들은 교육 받지 못했습니다. 우리는 과거에도 가난한 소작농이었고, 지금도 가난한 소작농입니다. 변한 건 아무 것도 없습니다. 모든 게 똑같습니다. 우리가 자유롭고, 전쟁이 끝났으며, 두려움 없이 일할 수 있다는 사실. 오직 그것 말고는 변한 게 아무 것도 없습니다. 할리마 곰리, 알제리 독립 전쟁 이후 1970년대 인터뷰","{'question': '첫 번째 글에서 알 수 있는 혁명과 젠더에 관한 사실은 무엇입니까?', 'choices': ['혁명적 진보주의가 언제나 성평등을 염두에 두는 건 아니다.', '혁명 시대에 여성은 일반적으로 지도자 역할을 맡는다.', '여성은 혁명을 거의 지지하지 않기 때문에 혁명으로부터 받은 이점이 없다.', '혁명운동은 일반적으로 여성의 권리에 관심이 없다.'], 'answer': 1}",
generation-for-nlp-1162,"“아프리카 저개발의 책임이 누구, 그리고 무엇에 있느냐는 질문은 두 가지 차원에서 답할 수 있다. 첫째, 아프리카의 부를 유출하고, 대륙의 자원을 보다 빨리 개발할 수 없게 만든 제국주의 체제가 아프리카 경제발전 미비의 주요 원인이라는 것이 하나의 답이다. 둘째, 체제를 자기 멋대로 이용한 자들 및 해당 체제의 대리인이나 무의식적 공범들을 살펴야 한다. 서유럽의 자본주의자들은 착취의 손길을 유럽 내부에서 아프리카 전체로 확장시킨 자들이다.” 월터 로드니, 역사가, 유럽은 어떻게 아프리카를 뒤처지게 만들었는가, 1974","{'question': '서기 1450년부터 1750년까지 유럽과의 교역이 사하라 사막 이남 아프리카인들에게 얼마나 중요했는지를 가장 잘 설명한 것은 무엇입니까?', 'choices': ['사하라 사막 이남 아프리카인들은 유럽 상인들을 통해 신세계의 식량을 지속적으로 수입함으로써 인구 증가를 유지했다.', '사하라 사막 이남 아프리카인들은 유럽과의 화기 교역을 통해 새로운 국가와 왕국을 공고히 했다.', '사하라 사막 이남 아프리카인들에게 유럽 상인은 유일한 노예 구매자였다.', '사하라 사막 이남 아프리카인들은 유럽 열강과 손을 잡고 무슬림과 아랍 상인 왕자들이 주권을 침해하지 못하도록 좇아냈다.'], 'answer': 2}",
generation-for-nlp-1163,"“불가능한 상황을 평화로운 시정으로 해결해야 한다면서 평화로운 시정을 계속해서 거부하는 건 불가능한 요구입니다. 이러한 시정을 이행하는 자가 법을 위반하고 있다고 말하는 것 역시 말이 되지 않습니다. 베르사유의 ‘명령(Dikta)’은 우리에게 법이 아니기 때문입니다. 그들은 우리 머리에 총구를 들이대며, 수백만 국민의 기아를 인질로 삼으며 서명을 강요했습니다. 그리고 그렇게 어쩔 수 없이 서명한 이 서류는 엄숙한 법으로 선언되었습니다.” 아돌프 히틀러, 독일제국의회에서의 연설, 1939년 9월 1일

“우리는 항복하거나 패배하지 않을 것입니다. 우리는 끝까지 싸울 것입니다. 우리는 프랑스에서 싸울 것입니다. 우리는 바다와 대양에서 싸울 것입니다. 우리는 자신감과 힘을 길러 하늘에서 싸울 것입니다. 어떤 대가를 치르더라도 우리의 땅을 지켜 낼 것입니다 우리는 해변에서 싸울 것입니다. 우리는 상륙지점에서 싸울 것입니다. 우리는 들판과 거리에서 싸울 것입니다. 우리는 언덕에서 싸울 것입니다. 우리는 절대로 항복하지 않을 것입니다.” 윈스턴 처칠, 하원 연설, 1940년 6월 4일","{'question': '본문 1에서 언급된, 아돌프 히틀러가 베르사유 조약을 비난한 역사적 배경은 무엇입니까?', 'choices': ['히틀러는 폴란드의 영토 경계가 침범되어서는 안 된다고 생각함', '인종적, 정치적 소수 집단에 대한 편협함이 커짐', '제1차 세계 대전이 끝났을 때 독일이 부당한 대우를 받았다는 독일 내 만연한 믿음', '이탈리아 지도자 베니토 무솔리니와의 협력을 꾀한 히틀러'], 'answer': 3}",
