id,paragraph,problems,question_plus,hint
generation-for-nlp-425_aug,"상소하여 아뢰기를 , “신이 좌참 찬 송준길이 올린 차자를 보았는데 , 상복(喪服) 절차에 대하여 논한 것이 신과는 큰 차이가 있었습니다 . 장자를 위하여 3년을 입는 까닭은 위로 ‘정체(正體)’가 되기 때문이고 또 전 중(傳重: 조상의 제사나 가문의 법통을 전함)하기 때문입니다 . …(중략) … 무엇보다 중요한 것은 할아버지와 아버지의 뒤를 이은 ‘정체’이지, 꼭 첫째이기 때문에 참 최 3년 복을 입는 것은 아닙니다 .”라고 하였다 .－현종실록 ","{'question': '상복 절차에 대한 송준길의 주장은 무엇을 강조하고 있나요?', 'choices': ['첫째 아들이 상복을 입는 것이 중요하다.', '3년 동안 상복을 입는 전통의 중요성을 설명하고 있다.', '상복 입는 과정은 개인의 감정에 따라 다르다.', ""아버지와 할아버지를 잇는 '정체'의 중요성을 강조한다."", '상복은 단순한 의복이라고 주장한다.'], 'answer': 4}",,송준길은 상복을 입는 이유를 가문의 법통과 조상의 의미와 관련하여 설명하고 있습니다. 이에 따라 상복 입는 의의는 '정체'와 관련이 깊다는 점에 주목해야 합니다.
generation-for-nlp-427_aug,나는 삼한(三韓) 산천의 음덕을 입어 대업을 이루었다.(가)는/은 수덕(水德)이 순조로워 우리나라 지맥의 뿌리가 되니 대업을 만대에 전할 땅이다. 왕은 춘하 추동네 계절의 중간달에 그곳에 가 100일 이상 머물러서 나라를 안녕케 하라. － 고려사－,"{'question': '고려시대에 왕이 특정 지역에서 대업을 이루기 위해 100일 이상 머물러야 한 이유로 옳은 것은?', 'choices': ['이곳의 기후가 농업에 적합했기 때문이다.', '이곳이 지리적으로 방어에 유리한 위치였기 때문이다.', '이곳의 물이 깨끗하여 왕의 건강에 좋았기 때문이다.', '이곳의 음덕이 국가의 안녕과 번영에 기여했기 때문이다.', '이곳이 상업의 중심지였기 때문이다.'], 'answer': 4}",,단락에 언급된 '삼한 산천의 음덕'과 '대업을 이루었다'는 내용을 통해 왕이 특정 지역에서 머물러야 하는 이유를 찾을 수 있습니다.
generation-for-nlp-428_aug,"이 날 소정방이 부총관 김인문 등과 함께 기 벌포에 도착하여 백제 군사와 마주쳤다. …(중략) …소정방이 신라군이 늦게 왔다는 이유로 군문에서 신라 독군 김문영의 목을 베고자 하니, 그가 군사들 앞에 나아가 “황산 전투를 보지도 않고 늦게 온 것을 이유로 우리를 죄 주려 하는구나. 죄도 없이 치욕을 당할 수는 없으니, 결단코 먼저 당나라 군사와 결전을 한 후에 백제를 쳐야겠다.”라고 말하였다.","{'question': '이 사건에서 소정방이 대면한 군대는 어떤 군대인가?', 'choices': ['고구려 군대', '백제 군대', '가야 군대', '신라 군대', '발해 군대'], 'answer': 2}",,"단락에는 소정방이 백제 군사와 마주쳤다는 내용이 있으므로, 대면한 군대는 백제 군대입니다."
generation-for-nlp-429_aug,"선비들 수만 명이 대궐 앞에 모여 만 동묘와 서원을 다시 설립할 것을 청하니, (가)이/가 크게 노하여 한성부의 조례(皂隷)와 병졸로 하여 금 한 강 밖으로 몰아내게 하고 드디어 천여 곳의 서원을 철폐하고 그 토지를 몰수하여 관에 속하게 하였다.－대한계년사 －","{'question': '(가) 인물의 조치로 인해 어떤 결과가 발생했는가?', 'choices': ['세금을 인하하여 농민의 부담을 줄였다.', '서원과 동묘를 보호하기 위한 법이 제정되었다.', '많은 서원이 철폐되고 그 토지가 정부에 편입되었다.', '병사들의 급여가 인상되었다.', '한성부의 인구가 증가하였다.'], 'answer': 3}",,"단락에서 서원과 동묘의 설립 요청에 대한 인물의 반응이 언급되며, 많은 서원이 철폐되고 그 토지가 정부 소유로 바뀌었다는 내용을 확인하세요."
generation-for-nlp-431_aug,"(가)의 사신 고제덕 등이 일본에 와서 왕이 보낸 국서를 전하였다. 그 국서에 이르기를 “나(대무 예)는 큰 나라를 맡아 여러 주변국을 다스렸으며, 고구려의 옛 땅을 회복하였고 부여의 풍속을 이었다.”라고 하였다.","{'question': '(가)에서 대무 예가 주장한 내용 중 포함된 고구려와 관련된 사항은 무엇인가요?', 'choices': ['고구려의 한민족 정체성을 강조하였다.', '고구려의 옛 땅을 회복하였다고 서술하였다.', '고구려의 국력이 쇠퇴하였다고 언급하였다.', '고구려의 외교 정책에 대한 비판이 담겼다.', '고구려의 문화유산을 계승하겠다고 선언하였다.'], 'answer': 2}",,"단락에서 고구려와의 관계를 직접적으로 언급한 부분을 찾아보면, 고구려의 옛 땅을 회복하였다는 내용을 알 수 있습니다."
generation-for-nlp-432_aug,(가)신라의 한강 유역 확보 (나)관산성 전투(다) 백제의 웅진 천도 (라)고구려의 평양 천도,"{'question': '다음 사건 중 고구려와 백제 간의 세력 변화와 관련이 없는 것은?', 'choices': ['신라의 한강 유역 확보', '관산성 전투', '백제의 웅진 천도', '고구려의 평양 천도', '신라의 대가야 정복'], 'answer': 1}",,이 문제는 사건들이 주로 고구려와 백제 간의 세력 변화와 관련된 것인지 확인하는 것입니다. 신라의 한강 유역 확보는 이들 사이의 세력 변화에 직접적인 영향을 주지 않았습니다.
generation-for-nlp-433_aug,"신돈이 (가)을/를 설치하자고 요청하자, …(중략)…이 제 도감이 설치되었다. …(중략)… 명령이 나가자 권세가 중에 전민을 빼앗은 자들이 그 주인에게 많이 돌려주었으며, 전국에서 기뻐하였다.－고려사－","{'question': '신돈이 요청한 도감의 결과로 기대할 수 있었던 효과는 무엇인가?', 'choices': ['농민들에게 필요한 자원을 직접 지원하였다.', '권세가들이 반환한 재산으로 국가 재정이 개선되었다.', '새로운 무역로를 개척하여 세수가 증가하였다.', '군사력이 강화되어 외침에 대비할 수 있게 되었다.', '교육 제도가 새로이 도입되어 국민의 수준이 향상되었다.'], 'answer': 2}",,"단락에서 신돈의 요청에 따른 도감 설치가 여러 가지 긍정적인 결과를 낳았음을 암시하고 있습니다. 특히, 권세가들이 주인에게 재산을 돌려주었다는 부분에 주목하세요."
generation-for-nlp-435_aug,"올해 초가을에 비로소 저는 책을 완성하여 그 이름을 성학집요 라고 하였습니다. 이 책에는 임금이 공부해야 할 내용과 방법, 정치하는 방법, 덕을 쌓아 실천하는 방법과 백성을 새롭게 하는 방법이 실려 있습니다. 또한 작은 것을 미루어 큰 것을 알게 하고 이것을 미루어 저것을 밝혔으니, 천하의 이치가 여기에서 벗어나 지 않을 것입니다. 따라서 이것은 저의 글이 아니라 성현의 글이 옵니다.","{'question': ""'성학집요'의 주요 내용으로 올바른 것은 무엇인가?"", 'choices': ['유교 경전을 설명하는 방식으로 쓰여 있다.', '정치와 덕을 쌓는 방법에 대한 설명이 포함되어 있다.', '전통적인 무술에 대한 기술을 다룬다.', '경제 정책에 관한 구체적인 사례를 제시한다.', '외교 관계의 역사적 배경을 설명한다.'], 'answer': 2}",,"단락에서는 '성학집요'가 정치와 덕을 쌓는 방법, 백성을 새롭게 하는 방법에 대해 다루고 있다고 언급하고 있습니다. 이를 바탕으로 정답을 선택할 수 있습니다."
generation-for-nlp-436_aug,"(가)은/는 의병계열과 애국계몽 운동 계열의 비밀결사가 모여 결성된 조직으로, 총사령 박상진을 중심으로 독립군 양성을 목적으로 하였다.","{'question': '(가)의 주요 목표로 알맞은 것은?', 'choices': ['외세의 지원을 통한 즉각적인 독립 선언', '병합된 조선의 일제 통치 방지', '독립군의 양성과 독립 운동의 조직화', '자본주의 체제 수립을 위한 경제 발전', '민속 문화를 보존하는 운동 추진'], 'answer': 3}",,"(가)는 독립군 양성을 목적으로 하며, 의병 계열과 애국계몽 운동 계열의 협력을 통해 조직된 특징이 있습니다."
generation-for-nlp-437_aug,1929년에 통학열차를 이용하던 한 일본인 학생이 한국인 여학생을 희롱한 사건이 일어났다. 이에 분노한 한국인 학생은 일본인 학생에 맞서 싸웠다. 이 때 일제 경찰은 일본인 학생 만두둔하고 나섰다. 광주의 학생들은 이에 대응해 시위를 벌였다. 일제의 차별정책에 맞서 일어난 이 운동은 전국으로 퍼졌고 곳곳에서 동맹휴학 투쟁이 연이어 벌어졌다.,"{'question': '1929년의 통학열차 사건이 후에 어떤 사회적 반향을 일으켰는가?', 'choices': ['학생들이 일본어를 배우기 시작했다.', '한국의 독립운동이 침체기를迎했다.', '일본의 교육 정책이 강화되었다.', '한국 학생들이 자발적으로 동맹휴학 시위를 벌였다.', '한국의 대중문화가 일본에 수출되었다.'], 'answer': 4}",,"해당 사건은 한국 학생들에게 큰 충격을 주었으며, 그 결과로 많은 학생들이 일제의 차별 정책에 반대하는 행동을 취하게 되었습니다."
