id,paragraph,problems,question_plus,hint
generation-for-nlp-817,에이브라함 매슬로우(Abraham Maslow)는 어떤 동기가 다른 동기보다 생존에 더 중요하다는 개념을 제안했습니다.,"{'question': '다음 접근 방식 중 에이브라함 매슬로우가 제안한 어떤 동기가 다른 동기보다 생존에 더 중요하다는 개념을 표현하는 것은 무엇입니까?', 'choices': ['항상성 조절', '목표설정', '기대치', '욕구단계설'], 'answer': 4}",,"에이브라힘 매슬로우는 인간의 동기를 피라미드 형태로 제시한 '욕구 위계 이론'으로 유명합니다. 이 이론에 따르면 생리적 요구(식사, 수면 등)가 가장 기본적이며, 그 다음으로 안전, 사랑과 소속, 존중, 자아실현의 단계가 있습니다. 생존에 가장 중요한 동기는 생리적 요구에서 시작하며, 이 요구가 충족되지 않으면 다른 높은 단계의 욕구는 우선시되지 않습니다. 예를 들어, 기아 상태에서는 안전이나 사회적 관계의 요구가 중요성을 잃게 됩니다. 이는 심리적 장애와 치료 접근에도 영향을 미치며, 기본적인 필요가 충족되지 않으면 치료 효과가 감소할 수 있습니다."
generation-for-nlp-818,"전미학교심리학자협회(National Association of School Psychologists, NASP)에서 출판한 ‘학교 심리학에서의 슈퍼비전(Supervision in School Psychology)’에 대한 입장문에 따르면.","{'question': '다음 중 교육구(school district)에서 슈퍼비전을 수행할 학교심리학자(school psychologist)와 관련하여 가장 정확한 설명은 무엇입니까?', 'choices': ['완전한 인증이나 허가가 없는 학교심리학자와 학교 심리학 인턴에게만 슈퍼비전(supervision)을 제공해야 합니다.', '전문적이지만 행정적이지 않은 슈퍼비전을 제공해야 합니다.', '학교심리학자로 1년 이상의 경험이 있어야 슈퍼바이저(supervisor)로서 역할을 수행할 자격이 주어집니다.', '국가 공인 학교심리학자 자격증 또는 주립 학교심리학자 자격증을 보유해야 합니다.'], 'answer': 4}",,"학교심리학자가 교육구에서 수행하는 슈퍼비전은 그들의 전문성 개발과 서비스의 질 향상에 필수적입니다. 슈퍼비전은 임상 기술, 사례 관리, 평가 및 개입 전략에 관한 지침을 제공하며, 이는 교육 환경에서 학생들의 심리적 및 정서적 필요를 충족하는 데 중요합니다. 또한, 슈퍼비전은 학교심리학자가 지속적으로 윤리적 기준을 준수하고, 개발적 단계(예: 초심자, 중급, 고급)에 맞는 지원을 받을 수 있도록 도와줍니다. 이 과정은 전문적 성장뿐만 아니라, 심리적 장애를 가진 학생들을 위한 효과적인 치료와 개입 방안을 설계하는 데 중요한 역할을 합니다."
generation-for-nlp-819,시나리오: 후반기 자신의 고전적 조건화 실험에서 파블로프(Ivan Pavlov)의 개는 초인종 소리나 누군가 실수로 물잔을 부딪히는 소리 등 종소리와 유사한 소리를 들을 때마다 침을 흘리기 시작했습니다.,"{'question': '다음 시나리오를 가장 잘 설명하는 ‘고전적 조건화’(classical conditioning) 용어는 무엇입니까?', 'choices': ['변별', '자발적 회복', '흔적조건화', '일반화'], 'answer': 4}",,"지문에서 설명하는 현상은 고전적 조건화(classical conditioning)의 한 예로, ‘조건 자극(conditioned stimulus, CS)’와 ‘무조건 자극(unconditioned stimulus, US)’의 관계를 보여줍니다. 파블로프의 개는 음식을 보았을 때(US) 침을 흘리며, 종소리(CS)를 음식과 연관 지어 학습합니다. 이 과정에서 종소리가 개에게 침 분비를 유도하게 되며, 이는 조건 반응(conditioned response, CR)으로 나타납니다. 고전적 조건화는 행동 수정 및 치료 방법(예: 애완 동물 훈련, 공포증 치료)에서 널리 적용됩니다."
generation-for-nlp-820,Sal은 처음으로 Petunia를 만납니다. 그녀는 외향적이고 재미있는 성격입니다. Sal은 Petunia가 재미있는 사람이라는 생각을 가지고 헤어지지만 실제로 Petunia는 방금 복권에 당첨되었기 때문에 일시적으로 기뻐하는 것입니다.,"{'question': 'Petunia가 재미있다는 Sal의 생각은 다음으로 가장 잘 설명됩니다.', 'choices': ['단순노출효과.', '자기위주 편향.', '등위성.', '기본적 귀인 오류.'], 'answer': 4}",,"Sal이 Petunia를 재미있는 사람으로 인식한 것은 첫인상 이론에 의해 설명될 수 있습니다. 첫인상은 사람들 사이의 초기 만남에서 형성되는 인지적 평가로, 대개 긍정적인 상호작용에 강한 영향을 미칩니다. Petunia의 외향적인 성격은 Sal에게 긍정적인 인상을 주지만, 그녀의 긍정적인 감정은 복권 당첨에 의해 일시적인 것이므로, 이는 카멜레온 효과와 관련이 있습니다. 즉, 사람들은 다른 이의 감정을 반영하여 자신도 비슷한 감정을 느끼게 되는 경향이 있습니다. 이로 인해 Sal은 Petunia를 재미있게 느낀 것이며, 이는 비합리적인 일반화의 예로 볼 수 있습니다."
generation-for-nlp-821,교육평가(universal screening) 자료에 따르면 ‘학교의 학업성취목표’(school competencies)를 제대로 충족하는 학생이 거의 없는 경우 다음 중 무엇을 수행해야 합니까?,"{'question': '학교의 학업성취목표를 제대로 충족하는 학생이 거의 없는 경우 다음 중 무엇을 수행해야 합니까?', 'choices': ['핵심 교과과정 제공에서 변화가 있어야 합니다.', '학업성취목표를 충족하지 못하는 학생에게는 전략적 또는 보충 교육을 제공해야 합니다.', '학생들에게 학업성취목표을 개발할 수 있는 더 많은 시간을 제공해야 합니다.', '학업성취목표를 충족하지 못하는 학생은 학습장애 평가를 받아야 합니다.'], 'answer': 1}",,"학교의 학업성취목표를 충족하지 못하는 학생들이 많을 경우, 심리적 접근이 필요합니다. 이는 동기 이론, 특히 자기결정 이론(self-determination theory)을 통해 학생들의 내적 동기와 자율성을 향상시키는 것이 중요합니다. 또한, 학습 장애나 불안 장애와 같은 심리적 장애가 있을 수 있으므로 대처 방법을 제공하는 것이 필요합니다. 별도의 지원 프로그램(예: 상담, 튜터링)과 함께 정서적 지원(정신적 안정감 제공)도 고려해야 합니다. 이러한 통합적 접근은 학습 성과를 개선할 수 있습니다."
generation-for-nlp-822,모든 공공기관은 다음 윤리지침을 모두 준수합니다.,"{'question': '여기에 해당하지 않는 것은 무엇입니까?', 'choices': ['인간에 대한 불필요한 기만 회피', '인간과 다른 동물에게 불필요한 고통 방지', '컴퓨터를 사용할 수 있는 경우 동물 사용 방지', '기밀성 보호'], 'answer': 3}",,"이 질문은 윤리적 원칙과 인간 행동의 상관관계를 탐구하는 데 중요한 맥락을 제공합니다. 윤리 지침은 공공기관에서 직원들이 올바른 결정을 내리도록 돕는 역할을 합니다. 이는 사회적 기준과 규범을 형성하는 데 기여하며, 도덕적 판단 및 인지적 불일치 이론(cognitive dissonance)과 관련이 있습니다. 또한, 비윤리적 행동은 심리적 장애인 반사회적 행동(antisocial behavior)과 연결될 수 있습니다. 따라서 윤리적 지침을 준수하지 않는 행위는 개인의 인지 과정과 감정 조절에 부정적인 영향을 줄 수 있습니다. 이는 조직의 신뢰성과 지속 가능성에도 영향을 미칩니다."
generation-for-nlp-823,"Susan은 자신의 자리에 가만히 앉아 있지 못하기 때문에 학교심리학자에게 의뢰된 1학년 학생입니다. 그녀의 선생님은 Susan이 ""항상 일어나서 교실을 돌아다닌다""고 보고합니다.","{'question': '해당 의뢰 문제와 관련성이 가장 낮은 관찰 데이터는 무엇입니까?', 'choices': ['빈도', '지속시간', '강도', '또래 비교'], 'answer': 3}",,"Susan의 행동은 주의력 결핍 과잉 행동 장애(ADHD)와 관련이 있을 수 있습니다. 이 장애는 주의 집중의 어려움, 과잉 행동, 충동성을 특징으로 하며, 어린이에게서 흔히 나타납니다. 교실 내에서 잦은 이동은 주의력 결핍의 징후일 수 있습니다. 따라서, 해당 의뢰 문제와 가장 관련성이 낮은 관찰 데이터는 Susan의 과거 학업 성취도나 지적 능력과 같은 정보일 가능성이 높습니다. 이는 그녀의 행동 문제를 직접적으로 이해하는 데 도움이 되지 않습니다."
generation-for-nlp-824,공원에서 달리기를 하는 사람들은 다른 사람이 달리는 모습을 보게 되면 달리는 속도를 높이는 것으로 나타났습니다.,"{'question': '이러한 발견은 다음의 현상을 설명합니다.', 'choices': ['사회적 촉진.', '동조.', '몰개성화.', '규범.'], 'answer': 1}",,"이 발견은 '사회적 촉진(social facilitation)' 현상으로 설명될 수 있습니다. 사회적 촉진은 다른 사람이 함께 있는 상황에서 개인이 더 잘 수행하거나, 반대로 더 못 수행하게 되는 경향을 의미합니다. 이는 동기 부여와 자극 강화의 결과로, 타인의 존재가 개인의 성과에 긍정적인 영향을 미치는 것을 보여줍니다. 특히, 달리기와 같은 단순하고 잘 익숙한 행동에서는 사회적 촉진이 두드러져 나타나는 경향이 있습니다. 연구에 따르면, 이러한 현상은 자존감과 경쟁심으로 인해 개인의 인지적 자원을 극대화하여 달리는 속도를 높이는 데 기여합니다."
generation-for-nlp-825,"한 연구자는 연령과 문제해결에 관한 연구를 위해 10세 20명, 20세 20명, 30세 20명의 시험참여자를 대상으로 문제해결능력을 시험합니다.","{'question': '이 연구자는 어떤 연구 방법을 사용하고 있습니까?', 'choices': ['종단적', '단계', '전개식', '횡단적'], 'answer': 4}",,"이 연구자는 집단 간 비교 연구 방법을 사용하고 있습니다. 각 연령대(10세, 20세, 30세)의 참여자들을 동일한 문제해결 능력 시험에 노출시켜 연령에 따른 차이를 분석하는 방식입니다. 이 연구는 발달 심리학적 관점에서 중요한데, 아동기, 청년기, 성년기의 인지적 발달 단계와 문제 해결 전략의 차이를 이해하는 데 기여합니다. 또한, 이 연구는 Piaget의 인지 발달 이론이나 Vygotsky의 사회문화적 접근법에 기초하여 연령에 따른 사고의 차이를 탐구할 수 있습니다. 이러한 접근은 인지 심리학에서 매우 핵심적인 요소입니다."
generation-for-nlp-826,Bessie는 1/4티스푼의 물을 0.5갤런의 물에 섞은 물병에서 물 한 모금을 미셨을 때 단맛을 거의 느낄 수 없었습니다.,"{'question': '맛과 관련하여 이는 Bessie의 다음에 해당합니다.', 'choices': ['절대역', '차이역', '역하자극', '원격자극'], 'answer': 1}",,"Bessie의 경험은 연관 감각의 원리와 관련이 있습니다. 즉, 맛을 느끼는 것은 특정 농도와 상관관계가 있습니다. 작은 양의 설탕이 대량의 물에 희석되면, 맛의 강도가 감소하게 됩니다. 이는 '변별역(threshold)' 개념에 해당합니다. 감각 심리학에서 말하는 변별역은 자극을 인지하기 위해 필요한 최소한의 자극 강도입니다. 또한, 개인의 감각적 민감도에 따라 맛의 인지가 다를 수 있으며, 감정 상태나 피로도 등도 맛의 지각에 영향을 미칠 수 있습니다."
