id,paragraph,problems,question_plus
generation-for-nlp-817,에이브라함 매슬로우(Abraham Maslow)는 어떤 동기가 다른 동기보다 생존에 더 중요하다는 개념을 제안했습니다.,"{'question': '다음 접근 방식 중 에이브라함 매슬로우가 제안한 어떤 동기가 다른 동기보다 생존에 더 중요하다는 개념을 표현하는 것은 무엇입니까?', 'choices': ['항상성 조절', '목표설정', '기대치', '욕구단계설'], 'answer': 4}",
generation-for-nlp-818,"전미학교심리학자협회(National Association of School Psychologists, NASP)에서 출판한 ‘학교 심리학에서의 슈퍼비전(Supervision in School Psychology)’에 대한 입장문에 따르면.","{'question': '다음 중 교육구(school district)에서 슈퍼비전을 수행할 학교심리학자(school psychologist)와 관련하여 가장 정확한 설명은 무엇입니까?', 'choices': ['완전한 인증이나 허가가 없는 학교심리학자와 학교 심리학 인턴에게만 슈퍼비전(supervision)을 제공해야 합니다.', '전문적이지만 행정적이지 않은 슈퍼비전을 제공해야 합니다.', '학교심리학자로 1년 이상의 경험이 있어야 슈퍼바이저(supervisor)로서 역할을 수행할 자격이 주어집니다.', '국가 공인 학교심리학자 자격증 또는 주립 학교심리학자 자격증을 보유해야 합니다.'], 'answer': 4}",
generation-for-nlp-819,시나리오: 후반기 자신의 고전적 조건화 실험에서 파블로프(Ivan Pavlov)의 개는 초인종 소리나 누군가 실수로 물잔을 부딪히는 소리 등 종소리와 유사한 소리를 들을 때마다 침을 흘리기 시작했습니다.,"{'question': '다음 시나리오를 가장 잘 설명하는 ‘고전적 조건화’(classical conditioning) 용어는 무엇입니까?', 'choices': ['변별', '자발적 회복', '흔적조건화', '일반화'], 'answer': 4}",
generation-for-nlp-820,Sal은 처음으로 Petunia를 만납니다. 그녀는 외향적이고 재미있는 성격입니다. Sal은 Petunia가 재미있는 사람이라는 생각을 가지고 헤어지지만 실제로 Petunia는 방금 복권에 당첨되었기 때문에 일시적으로 기뻐하는 것입니다.,"{'question': 'Petunia가 재미있다는 Sal의 생각은 다음으로 가장 잘 설명됩니다.', 'choices': ['단순노출효과.', '자기위주 편향.', '등위성.', '기본적 귀인 오류.'], 'answer': 4}",
generation-for-nlp-821,교육평가(universal screening) 자료에 따르면 ‘학교의 학업성취목표’(school competencies)를 제대로 충족하는 학생이 거의 없는 경우 다음 중 무엇을 수행해야 합니까?,"{'question': '학교의 학업성취목표를 제대로 충족하는 학생이 거의 없는 경우 다음 중 무엇을 수행해야 합니까?', 'choices': ['핵심 교과과정 제공에서 변화가 있어야 합니다.', '학업성취목표를 충족하지 못하는 학생에게는 전략적 또는 보충 교육을 제공해야 합니다.', '학생들에게 학업성취목표을 개발할 수 있는 더 많은 시간을 제공해야 합니다.', '학업성취목표를 충족하지 못하는 학생은 학습장애 평가를 받아야 합니다.'], 'answer': 1}",
generation-for-nlp-822,모든 공공기관은 다음 윤리지침을 모두 준수합니다.,"{'question': '여기에 해당하지 않는 것은 무엇입니까?', 'choices': ['인간에 대한 불필요한 기만 회피', '인간과 다른 동물에게 불필요한 고통 방지', '컴퓨터를 사용할 수 있는 경우 동물 사용 방지', '기밀성 보호'], 'answer': 3}",
generation-for-nlp-823,"Susan은 자신의 자리에 가만히 앉아 있지 못하기 때문에 학교심리학자에게 의뢰된 1학년 학생입니다. 그녀의 선생님은 Susan이 ""항상 일어나서 교실을 돌아다닌다""고 보고합니다.","{'question': '해당 의뢰 문제와 관련성이 가장 낮은 관찰 데이터는 무엇입니까?', 'choices': ['빈도', '지속시간', '강도', '또래 비교'], 'answer': 3}",
generation-for-nlp-824,공원에서 달리기를 하는 사람들은 다른 사람이 달리는 모습을 보게 되면 달리는 속도를 높이는 것으로 나타났습니다.,"{'question': '이러한 발견은 다음의 현상을 설명합니다.', 'choices': ['사회적 촉진.', '동조.', '몰개성화.', '규범.'], 'answer': 1}",
generation-for-nlp-825,"한 연구자는 연령과 문제해결에 관한 연구를 위해 10세 20명, 20세 20명, 30세 20명의 시험참여자를 대상으로 문제해결능력을 시험합니다.","{'question': '이 연구자는 어떤 연구 방법을 사용하고 있습니까?', 'choices': ['종단적', '단계', '전개식', '횡단적'], 'answer': 4}",
generation-for-nlp-826,Bessie는 1/4티스푼의 물을 0.5갤런의 물에 섞은 물병에서 물 한 모금을 미셨을 때 단맛을 거의 느낄 수 없었습니다.,"{'question': '맛과 관련하여 이는 Bessie의 다음에 해당합니다.', 'choices': ['절대역', '차이역', '역하자극', '원격자극'], 'answer': 1}",
