id,paragraph,problems,question_plus
generation-for-nlp-975,"""넓고 무한한 미래는 위대한 미국의 시대가 될 것이다. 많은 나라로 구성된 나라는 거대한 공간과 시간의 영역에서 인류에게 신성한 원칙의 탁월함을 현시하고, 가장 고귀하며 거룩하고 참된 자를 숭배하고자 역대 바쳐진 가장 고귀한 성전을 지상에 세우는 운명을 부여받았다. 그 바닥은 반구가 될 것이다. 그 지붕은 별 가득한 하늘의 창공이 될 것이며, 그 집합은 행복한 수백만으로 구성되고 주인을 부르지 않고 형제애의 법칙이자 '인간 사이의 평화와 선의'의 법인 신의 자연과 도덕적 평등 법칙에 따라 통치하는 많은 공화국의 동맹이 되리라."" 존 L. 오설리번, ""미래의 위대한 국가"", 1839년","{'question': '미국이 오리건 영토를 점령한 방법은 무엇입니까?', 'choices': ['미국은 전후 프랑스와의 조약으로 이 영토를 부여받았습니다.', '미국은 그곳을 거주하던 아메리카 원주민으로부터 구입했습니다.', '이 지역에 가장 먼저 도착한 미국 정착민이 자신의 나라를 위해 주장했습니다.', '영국은 교섭한 조약의 일환으로 이 지역을 미국에 양도했습니다.'], 'answer': 4}",
generation-for-nlp-976,"종교적 직업과 예배에서 양심의 자유가 제한된다면 시민의 자유를 최대한 누리더라도 진정으로 행복할 수 있는 자는 없기 때문입니다. 그리고 전능하신 하나님은 양심의 유일한 주이시며, 빛과 영의 아버지이자, 지성인을 계몽하고 사람들의 이해를 설득하고 확신을 주는 모든 신성한 지식, 신앙, 예배의 입안자이자 대상이십니다. 저는 이로써 이 지역에 거주하는 그 누구도, 세계의 창조자, 유지자, 통치자이신 전능하신 하나님께 고백하고 믿으며, 시민 정부 아래서 조용히 생활할 의무가 있다고 공언하는 자는, 어떤 경우에도 자신의 양심적인 설득이나 관행으로 인해 자신의 인격이나 재산이 타락하거나 피해를 입어서는 안 되며, 종교적 예배, 장소, 사역을 빈번히 하거나 유지할 것을 자신의 정신에 반대하여 강요받아서는 안 됨을 인정하고 선언합니다.","{'question': '펜의 특권 헌장으로 펜실베이니아는 어떤 변화를 맞았습니까?', 'choices': ['영국령 아메리카에서 종교적 다양성이 가장 높은 식민지가 되었습니다.', '미국에서 종교적 다양성이 낮은 편인 식민지가 되었씁니다.', '마녀사냥과 대중적인 미신으로 악명이 높아졌습니다.', '전통적 종교 관습에 대한 적대감으로 유명해졌습니다.'], 'answer': 1}",
generation-for-nlp-977,"""우리는 공교육 분야에서 '분리하되 평등'이라는 원칙이 설 자리가 없다는 결론을 내렸다. 분리된 교육시설은 본질적으로 불평등하다. 따라서 우리는 이로 인해 소송을 제기한 원고 및 기타 유사한 상황에 처한 사람들은 분리로 인해 수정헌법 제14조로 보장된 법률의 동등한 보호를 받지 못한다고 판단한다."" 브라운(Brown) 대 교육위원회, 1954년","{'question': '학교의 인종분리 철폐는 부분적으로 다음 중 어떤 계획이 약속대로 이행되지 않은 데 대한 대응이었습니까?', 'choices': ['위대한 사회', '공정 정책', '뉴딜', '재건'], 'answer': 4}",
generation-for-nlp-978,"""300여년 전 식민지 시대 미국 연방의 기반이 놓인 이래 우리 해안에 새로 온 사람을 대상으로 끊임없는 불만과 다소 격렬한 박해가 이루어져 왔다. 또한 1840년경 의회 보고서에는 영국인, 스코틀랜드인, 웨일스인 이민자를 극빈자, 범죄자 등이라며 비난하는 내용이 가득하다. 아일랜드계와 독일계 디트로이트 노인들은 1840년부터 수십 년 동안 고국의 시민적, 인종적, 종교적 박해를 피해 건너온 아일랜드계와 독일계의 거대한 물결에 맞서 맹렬하고 장황한 비난과 선전을 벌였다고 했다. 큐 클럭스 클랜의 직계 조상인 ""무지당(Know-Nothings)""은 아일랜드인과 독일인을 잡종, 쓰레기, 외국인, 우리 기관에 대한 위협이라며 영광스러운 역사와 조상을 자랑하는 다른 훌륭한 코카서스 인종의 일족이 오늘날 비난을 받고 있는 것과 마찬가지로 신랄히 비난했다…. 그러나 오늘날 인종적 나병환자는 이탈리아인, 스페인인, 폴란드인, 유대인, 그리스인, 러시아인, 발칸인 등이다…. 이 법안에서 우리는 최악의 인종차별을 발견한다. 10년마다 실시하는 인구 조사에서 84년 전으로 돌아가려는 고의적인 시도인데, 특히 최근 세계대전 동맹국인 폴란드와 이탈리아에 타격을 가하고자 동유럽과 남부 유럽 민족을 겨냥한 듯하다."" 로버트 H. 클랜시(Robert H. Clancy), 의회 기록, 68차 의회, 1차 회기, 1924년","{'question': '다음 입법안 중 토착주의 사례로 가장 가까운 것은 무엇입니까?', 'choices': ['1935년 와그너법', '1798년 외국인 및 선동법', '1917년 간첩법', '1965년 이민 및 국적법'], 'answer': 2}",
generation-for-nlp-979,“나는 한 때 억압의 도구였고 바보처럼 녹색이었다 독점 기업들은 담합해 나 같은 촌뜨기를 짓밟았다. “철도 기업과 오랜 당 간부들은 달콤한 합의를 이루었다 그리고 나 같은 촌뜨기를 짓밟는 일은 쉬울 거라고 생각했다. ––“촌뜨기”,"{'question': '이 노래와 연결된 운동이 강조하는 1800년대 후반 보다 광범위한 사회의 발전은 다음 중 무엇입니까?', 'choices': ['특히 대기업 관련 정부 부패로 대중은 대중 통제 강화와 지방, 주, 중앙 정부 개혁을 요구하였습니다.', '고통을 겪는 아프리카계 미국인과 백인 농민, 도시 공장 노동자의 대규모 운동은 연방 법률에 상당한 영향력을 행사할 수 있었습니다.', '이 시대 양당체제가 무너지고 창당 10년 이내 의회를 장악할 수 있는 주요 정당이 추가로 등장했습니다.', '1890년대 개척지에서 아메리칸 인디언과 전투가 계속되어 서부 농부들이 두려워하고 고통받았습니다.'], 'answer': 1}",
generation-for-nlp-981,"대형 신발 공장 파업 중 헐 하우스에서 열린 소녀 노동자 모임에서 진행된 토론을 통해, 가장 쉽게 겁먹고 항복한 파업 노동자는 당연히 식비를 내는 소녀들이었으며, 지나치게 뒤처지면 퇴출될까봐 두려웠음이 분명해졌다. 특별한 고난이 있었던 사건을 낭독한 후 그중 하나는 이렇게 외쳤다. ""우리만의 기숙 클럽이 있어 이럴 때 서로 돕는다면 좋지 않을까?"" 그 후 사건은 빠르게 진행되었다. 우리는 ... 그러한 사업의 어려움과 장점을 모두 논했고, 1891년 5월 1일 헐 하우스 근처에 두 개의 편안한 아파트를 임대하고 가구를 놓았다. 복지관은 가구를 책임지고 첫 달 임대료를 지불했지만, 이후에는 회원들이 직접 클럽을 관리했다.… 3년차 말, 클럽은 원래 건물에 있던 아파트 6개를 모두 점유했으며 회원 수는 50명이었다.","{'question': '다음 중 정착 시설 직원이 동기를 부여받을 가능성이 가장 높은 것은?', 'choices': ['사회복음주의', '사회다윈주의', '공산주의', '도시 정치기구의 지원'], 'answer': 1}",
generation-for-nlp-982,"""링컨은 노예제를 강력하게 반대했으나 노예제 폐지론자나 급진 공화당원도 아니었고 자신이 그렇다고 주장한 적도 없다. 링컨은 ‘어디에 있건 모든 사람은 자유로울 수 있다’는 개인적 소망을 자주 언급했으나 남부의 노예 재산권을 인정한 헌법 및 법률 체제에서 자신의 입법자, 의원이자 대통령으로서의 공식적인 의무와 소망의 구분을 명확히 했습니다. 노예해방 선언문을 발표한 후에도 점진적 폐지를 선호한다는 입장을 계속 밝혔다. 그의 인종적 견해는 남북전쟁 중 바뀌었으나 결코 프레더릭 더글러스나 웬델 필립스 같은 노예폐지론자, 찰스 섬너 같은 급진적 공화당원처럼 원칙을 지키는 평등주의자였던 적이 없다. —에릭 포너, 불타는 재판, 2010년","{'question': '링컨 대통령의 노예해방 선언으로 남북전쟁의 과정이 어떻게 변경되었습니까?', 'choices': ['선언문으로 인해 남부연합이 자신들의 대의가 무익함을 깨달아 전쟁은 신속하게 종결되었습니다.', '선언문으로 인해 영국이 북부연방 편에 서서 전투에 참여하게 되어 전쟁 규모가 커졌습니다.', '남부연합의 제퍼슨 데이비스 대통령은 노예해방을 위한 북부연방의 노력에 대규모 저항을 맹세했습니다.', '미국의 전쟁 목표가 더는 북부연방 보존에만 집중되지 않았습니다.'], 'answer': 4}",
generation-for-nlp-983,"""오명으로 남을 어제 1941년 12월 7일 미국은 일본 제국의 해공군으로부터 갑작스럽고 고의적인 공격을 받았습니다. 미국은 일본과 평화를 유지했고 일본 요청에 따라 태평양 평화 유지를 위해 일본 정부 및 천황과 여전히 대화를 나누는 중이었습니다. 실제 일본 공군 비행대의 폭격 개시 한 시간 후… 주미 일본 대사와 그 동료는 최근 미국의 전언에 대한 공식 답변을 국무장관에게 전달했습니다. 이 답변에는 기존 외교 협상을 계속하는 일이 무익해 보인다고 명시는 되어 있지만 전쟁이나 무력 공격에 대한 위협이나 암시는 포함되어 있지 않고… 어제의 공격은… 미 해군과 군대에 심각한 피해를 입혔습니다. 매우 많은 미국인이 생명을 잃었습니다. 또한 미국 선박이 공해에서 어뢰로 격침당했다는 보고를 받았습니다.... 저는 육해군의 총사령관으로서 조국 방어를 위해 모든 조치를 취할 것을 지시했습니다."" 프랭클린 D. 루즈벨트 대통령, 라디오 연설, 1941년 12월 8일","{'question': '다음 중 위에서 설명한 전쟁 선포의 경제적 결과를 가장 잘 설명한 것은 무엇입니까?', 'choices': ['아시아 국가들과의 무역 감소로 미국과 유럽 모두의 경기 침체가 나타났습니다.', '아시아와 유럽이 전쟁으로 황폐화되어 미국은 지구상에서 가장 번영하는 국가 중 하나로 부상할 수 있었습니다.', '냉전의 긴장으로 인해 소련과 미국 경제가 고립되어 두 국가 모두 경제적 어려움을 겪었습니다.', '이후 일본은 미국에 배상금을 지불해야 하여 장기 불황에 빠졌습니다.'], 'answer': 2}",
generation-for-nlp-984,"""이 법이 통과된 이후 누구든 흑인이나 흑인 혼혈을 평생 노예나 하인으로 부릴 목적, 혹은 어떤 용어를 사용하든 무력이나 폭력으로 판매 또는 처분하거나, 판매의 원인이 되거나, 구류 또는 억류하거나, 구류나 억류의 원인이 되게 할 목적 또는 의도로 납치하거나, 이동하거나, 납치당하게 하거나, 이동당하게 하거나, 사기나 허위로 유혹하거나, 유혹당하게 하거나, 또는 탑치하거나, 이동하거나, 유혹하려는 목적으로 여하한 흑인이나 흑인 혼혈을 이 영연방 일부에서 여하한 다른 지역이나 이 영연방 외부로 데려간다면 그러한 사람 모두는 물론 조력자나 방조자 역시 적절한 관할권이 있는 영연방 법원에서 중범죄로 유죄 판결을 받는다."" —1826년 펜실베니아 법률 발췌","{'question': '이 펜실베니아 법의 통과와 시행이 반영하는 당시의 갈등은 무엇입니까?', 'choices': ['농촌과 도시의 이익', '연방법과 주법', '점진적인 해방을 선호하는 사람과 즉각적인 해방을 선호하는 사람', '정부의 상업규제를 지지하는 사람과 반대하는 사람'], 'answer': 2}",
generation-for-nlp-985,"""넓고 무한한 미래는 위대한 미국의 시대가 될 것이다. 많은 나라로 구성된 나라는 거대한 공간과 시간의 영역에서 인류에게 신성한 원칙의 탁월함을 현시하고, 가장 고귀하며 거룩하고 참된 자를 숭배하고자 역대 바쳐진 가장 고귀한 성전을 지상에 세우는 운명을 부여받았다. 그 바닥은 반구가 될 것이다. 그 지붕은 별 가득한 하늘의 창공이 될 것이며, 그 집합은 행복한 수백만으로 구성되고 주인을 부르지 않고 형제애의 법칙이자 '인간 사이의 평화와 선의'의 법인 신의 자연과 도덕적 평등 법칙에 따라 통치하는 많은 공화국의 동맹이 되리라."" 존 L. 오설리번, ""미래의 위대한 국가"", 1839년","{'question': '다음 중 위에 묘사된 원리를 가장 잘 설명한 것은 무엇입니까?', 'choices': ['식민지 주민들은 신세계와 영국 사이 거리 때문에 대영제국을 떠날 운명이었습니다.', '여성은 생물학적으로 자녀양육과 가사노동이라는 삶을 살도록 예정되어 있습니다.', '미국의 서해안 확장은 불가피했으며 신의 허가를 받았습니다.', '미국에서 노예제도가 폐지된 것은 노예제도가 부도덕했기 때문입니다.'], 'answer': 3}",
