id,topic,prior_knowledge_needed,paragraph,question_plus,problems
generation-for-nlp-498,한국사,필요 없음,(가)농민군이 정부와 전주화약을 맺었다. (나) 농민군이 우금치에서 전투를 벌였다. (다) 농민군이 황토현에서 관군을 물리쳤다. (라) 전봉준 등이 농민을 모아 고부 관아를 습격하였다.,,"{'question': '이를 시기 순으로 바르게 나열한 것은?', 'choices': ['국가에서 저화를 만들어 유통하였다 .', '강경포 , 원산포 등의 포구들이 상업의 중심지로 성장하였다 .', '객주나 여각은 상품 매매를 중개하고 , 운송ᆞ보관ᆞ숙박 등의 영업도 하였다 .', '국가가 동전을 대량으로 발행하지만 유통화폐가 부족해지는 전황이 일어나기도 하였다 .'], 'answer': 1}"
generation-for-nlp-514,독해,필요 없음,"이번 담화의 제목을 사람들이 보다 쉽게 이해할 수 있도록 나는 이제부터 얘기하려고 하는 물질의 과학명인 ‘원형질(Protoplasm)’을 ‘생명의 물리학적 기반’으로 번역했다. 생명에 물리학적 기반 혹은 물질이라는 게 있다는 개념이 많은 사람들에게는 낯설 수 있으나 생명이 물질을 통해 작용하는 무언가라는 개념은 널리 퍼져있다. 따라서 우리가 아는 한(그 외의 것에 대해 추측할 권리가 우리에게는 없다), 생명의 물질은 생명력의 조건이라 할 수 있는 끊임없는 죽음의 결과 탄산, 물, 질소 화합물로 분해되며, 이것은 오로지 보통물질이 가진 특성만을 갖고 있을 뿐이다. 토머스 헨리 헉슬리, ""생명의 물리적 기초"", 1868년",,"{'question': '다음 중 위 글로부터 추정할 수 있는 헉슬리가 의미하는 ‘생명’은 무엇입니까?', 'choices': ['물질을 통해 작용하는 어떤 힘', '본질적으로 철학적 개념', '특정 종류의 물질의 특성일 뿐이다', '초자연적 현상'], 'answer': 3}"
generation-for-nlp-515,세계사,필요 없음,"로마 세계에 만연했던 다양한 예배 방식 모두를, 사람들은 똑같이 참된 것으로, 철학자는 똑같이 거짓으로, 치안 판사는 똑같이 유용한 것으로 간주하였습니다. 에드워드 기번, <로마제국 쇠망사>, 1776–1788",,"{'question': '고대 로마의 종교적 숭배에 대한 기번의 해석을 요약한 답은 무엇입니까?', 'choices': ['고대 로마에서 종교적 숭배는 분산적이어서 각자의 사회적 지위에 따라 달랐다.', '고대 로마에서 종교적 숭배는 사회적 긴장과 혼란의 원인인 경우가 많았다.', '고대 로마에서 종교적 숭배는 획일적이고 대단히 중앙집권적이었다.', '고대 로마에서 종교적 숭배는 기독교의 유입으로 완전히 달라졌다.'], 'answer': 1}"
generation-for-nlp-519,경제,필요 없음,"플로렌스는 당신네들의 베니스보다 훨씬 아름답고 540년이나 더 유서 깊은 도시입니다. … 플로렌스 주변에는 귀족과 상인, 시민과 장인들이 소유한 3천 개의 영지가 있으며 여기에서 매년 나는 빵과 고기, 와인과 오일, 야채와 치즈, 건초와 나무는 현금으로 치면 9천 두카트에 달하지요. … 플로렌스가 주력으로 삼는 두 무역 거래는 베니스의 네 개 거래를 합한 것보다 규모가 더 큰데, 바로 양모와 실크입니다. … 아름다운 플로렌스의 도시 안에는 … 양모 길드에 속한 상점이 270개나 되며, 이곳의 물건이 로마와 마르셰로, 나폴리와 시칠리아로, 콘스탄티노플 … 그리고 터키 전역으로 뻗어 나갑니다. 실크 길드의 풍요롭고 화려한 창고도 83개에 달합니다.",,"{'question': '이 글에서 알 수 있는 르네상스 이탈리아의 부 측정 기준은 무엇입니까?', 'choices': ['영지의 크기', '개인이 소유한 영지의 개수', '재화의 금전적 가치', '보유하고 있는 금의 양'], 'answer': 3}"
generation-for-nlp-520,세계사,필요 없음,"아래의 두 발췌문은 각각 탐험가 크리스토퍼 콜럼버스와 멕시코 치아파스의 도미니카 주교 바톨로뮤 데 라스 카사스가 쓴 것입니다.
본문 1
인디언들은 판매자가 요구하는 무엇이든 줄 것이다. . . . 그리하여 바보처럼 면화와 금을 활 조각, 유리, 병, 항아리와 물물교환했다. 나는 부당한 일이라고 금한 뒤 가져온 아름답고 좋은 물건을 주고 아무것도 돌려받지 않았다. 이들과 좀더 쉽게 어울리고 기독교인이 되도록 유도하며 왕과 왕비, 우리 왕자와 모든 스페인 사람들에게 호감을 표하도록 하고자 했다. 이들은 많이 가지고 있지만 우리에게 꼭 필요한 것들만을 찾아 모아 우리에게 전달하는 데 관심이 있다.
—크리스토퍼 콜럼버스: 라파엘 산체스에게 보낸 편지, 1493년
본문 2
이 온화한 양들에게 달린 일이었다. . . 스페인인들은 눈을 맞춘 첫 날부터 마치 맹렬한 늑대 혹은 며칠을 굶은 사자와 호랑이처럼 달려들었다. 처음부터 구성된 행동 패턴은 오늘날까지 변하지 않고 있으며 스페인인들은 여전히 원주민들을 잘게 찢고 살해해 말못할 고통과 괴로움, 절망을 안겨주며 고문하고 괴롭히며 무자비하게 박해하는 일만 반복하고 있다. 때가 되면 우리는 이들이 고문을 위해 발명해 개량한 수 많은 독창적인 방법 중 일부를 설명할 것이지만 피해자의 숫자 만으로도 얼마나 이들의 고문 방식이 효과적이었는지 알 수 있다. 스페인인들이 처음 도착했을 때 히스파니올라 섬의 원주민 인구는 약 3백만이었으나 지금은 200명만 살아남았다. 이토록 많은 수의 사람들을 죽이고 파괴한 이유는 그리스도교인들의 궁극의 목적이 금을 획득해 빠른 시간 안에 부를 획득해 자신들이 저지른 짓에 비추어 볼 때 말도 안되는 지위에 오르기 위함이었다.
–바톨로뮤 데 라스 카사스: 인디스 파괴에 대한 간략한 설명, 1542년",,"{'question': '두 이야기에서 묘사된 스페인인과 원주민 사이의 교류 차이를 가장 잘 설명한 것은 무엇입니까?', 'choices': ['데 라 카사스는 아프리카계 노예의 시작을 뒷받침하기 위해 과장하고 있다.', '컬럼버스는 자기가 돋보이도록 글을 쓰고 있다.', '컬럼버스의 사람들은 이후 후발 탐험대 사람들보다 원주민들에게 더 친절했다.', '데 라 카사스는 스페인 사람들이 아메리카 대륙을 떠나기를 바랐다.'], 'answer': 2}"
generation-for-nlp-527,사회,필요 없음,"""공산주의라는 유령 하나가 유럽을 떠돌고 있다. 교황과 차르, 메테르니히와 기조, 프랑스 급진주의자와 독일 경찰 스파이를 포함한 구 유럽의 모든 강대국은 이 유령을 쫓아내고자 신성한 동맹을 맺었다. 이 사실로 두 결과가 발생한다. I. 이미 유럽 모든 강대국이 공산주의 자체가 하나의 세력임을 인정하고 있다. II. 이제 공산주의자는 전 세계에 맞서 견해, 목표, 경향을 공개 발표하고 공산당 자체 선언문으로 공산주의 유령이라는 동화에 대응해야 한다."" 칼 마르크스와 프리드리히 엥겔스, 공산당 선언, 1848년",,"{'question': '이 글에서 마르크스와 엥겔스가 천착하고 있는 것으로 보이는 것은 무엇입니까?', 'choices': ['두려움을 유발해 독자들로 하여금 행동하게 만드는 것', '운동 전체를 수포로 만들 위험이 있는 극단적 공산주의자들을 공격하는 것', '타인을 실제로 이해하고 있음을 입증하는 것', '공산주의 반대자들이 틀린 이유를 설명하는 것'], 'answer': 4}"
generation-for-nlp-529,문학,필요 없음,"먼저 우주가 구형이라는 점에 주목해야 한다. 부분적으로는 연결점이 필요 없는 완전한 전체 형태기 때문이고, 부분적으로는 모든 것을 담고 보존하는 데 가장 적합한, 가장 넓은 형태를 만들기 때문이다. 또는 우주를 구성하는 모든 부분인 태양, 달, 행성이 이런 형태로 나타나기 때문이다. 또는 물방울과 기타 유체가 스스로 모양을 만드는 것처럼 모든 것이 이 형태를 얻으려 하기 때문이다. 그러므로 이 형태가 천체에 속함을 아무도 의심하지 않을 것이다. … 그러므로 지구도 구형이라는 사실은 의문의 여지가 없는데, 지구는 중심을 모든 면에서 압박하기 때문이다. 비록 산이 높고 골짜기가 움푹하여 완벽한 원형으로 이해되지는 않으나 지구가 구형이라는 일반적 특성에 영향을 미치지는 않는다. … 지구가 구형을 갖고 있음이 이미 밝혀졌듯, 운동도 이 형태와 일치하는지, 우주에서 지구가 차지하는 위치는 무엇인지 고심해야 한다. ... 물론 저자 대다수는 지구가 여전히 우주의 중심이라는 점에 동의하며, 반대를 가정하는 것은 상상할 수 없으며 우스꽝스럽다고 생각한다. 그러나 문제를 사려깊게 고려하면 질문이 아직 해결되지 않았기에 결코 가볍게 여겨서는 안 됨을 알게 될 것이다. 관찰되는 모든 장소의 변화는 관찰되는 대상이나 관찰자의 움직임, 또는 둘 다의 움직임이 원인으로 발생한다. … 지구에서 하늘의 공전을 관찰하면 우리 눈에 보인다. 그러므로 지구가 움직이지 않는다면 이 운동은 지구 외부의 모든 것에서 일어나야 하며, 지구상의 모든 것이 움직이는 경우와는 반대 방향으로 일어나야 하며, 이러한 종류는 일상의 혁명이다. 그러므로 이는 우주 전체, 즉 지구 자체를 제외한 지구 밖 모든 것에 영향을 미치는 것으로 보인다. 그러나 이 운동이 하늘에만 고유하지 않고, 지구가 서쪽에서 동쪽으로 돈다는 것을 인정하고, 이것이 해, 달, 별이 뜨고 지는 것처럼 보이는 것과 관련하여 주의 깊게 고려된다면, 이것이 실제 상황임을 알게 될 것이다.",,"{'question': '위 글을 보았을 때 구체 형태의 우주에 관한 코페르니쿠스의 주장은 무엇을 근거로 하고 있습니까?', 'choices': ['관찰과 귀납', '과거 기록의 권위', '실험', '제1원칙으로부터 추론'], 'answer': 1}"
generation-for-nlp-531,세계사,필요 없음,"아래의 두 발췌문은 각각 탐험가 크리스토퍼 콜럼버스와 멕시코 치아파스의 도미니카 주교 바톨로뮤 데 라스 카사스가 쓴 것입니다.
본문 1
인디언들은 판매자가 요구하는 무엇이든 줄 것이다. . . . 그리하여 바보처럼 면화와 금을 활 조각, 유리, 병, 항아리와 물물교환했다. 나는 부당한 일이라고 금한 뒤 가져온 아름답고 좋은 물건을 주고 아무것도 돌려받지 않았다. 이들과 좀더 쉽게 어울리고 기독교인이 되도록 유도하며 왕과 왕비, 우리 왕자와 모든 스페인 사람들에게 호감을 표하도록 하고자 했다. 이들은 많이 가지고 있지만 우리에게 꼭 필요한 것들만을 찾아 모아 우리에게 전달하는 데 관심이 있다.
—크리스토퍼 콜럼버스: 라파엘 산체스에게 보낸 편지, 1493년
본문 2
이 온화한 양들에게 달린 일이었다. . . 스페인인들은 눈을 맞춘 첫 날부터 마치 맹렬한 늑대 혹은 며칠을 굶은 사자와 호랑이처럼 달려들었다. 처음부터 구성된 행동 패턴은 오늘날까지 변하지 않고 있으며 스페인인들은 여전히 원주민들을 잘게 찢고 살해해 말못할 고통과 괴로움, 절망을 안겨주며 고문하고 괴롭히며 무자비하게 박해하는 일만 반복하고 있다. 때가 되면 우리는 이들이 고문을 위해 발명해 개량한 수 많은 독창적인 방법 중 일부를 설명할 것이지만 피해자의 숫자 만으로도 얼마나 이들의 고문 방식이 효과적이었는지 알 수 있다. 스페인인들이 처음 도착했을 때 히스파니올라 섬의 원주민 인구는 약 3백만이었으나 지금은 200명만 살아남았다. 이토록 많은 수의 사람들을 죽이고 파괴한 이유는 그리스도교인들의 궁극의 목적이 금을 획득해 빠른 시간 안에 부를 획득해 자신들이 저지른 짓에 비추어 볼 때 말도 안되는 지위에 오르기 위함이었다.
–바톨로뮤 데 라스 카사스: 인디스 파괴에 대한 간략한 설명, 1542년",,"{'question': '본문 2에서 데 라스 카사스가 가장 중요하다고 생각했을 법한 탐험의 동기는 무엇입니까?', 'choices': ['원주민들을 기독교로 개종', '부의 축적', '개인적 영광', '새 친구 찾기'], 'answer': 1}"
generation-for-nlp-532,ETC,필요 없음,"오랫동안 교육 받은 독일인들은 처음에는 특별한 독일의 사명을 주장함으로써, 1945년 패망 이후에는 독일의 서구로부터의 이탈을 비판함으로써 그것에 긍정적으로 응답했다. 오늘날은 부정적인 견해가 지배적이다. 현재 우세한 견해에 따르면 독일은 ‘독일만의 고유한 길’이라고 말하는 것을 정당화할 만큼 유럽 강대국들과 별반 다르지 않았다. 그리고 어떤 경우든 지구상의 어떤 국가도 ‘일반적인 길’을 걸었다고 말할 수는 없다. 하인리히 아우구스트 빙클러, 독일 서부로 가는 긴 길 1권, 2006년",,"{'question': '위 글을 보았을 때 독일은 고유한 역사적 사명을 띠고 있다는 믿음과 관련해 옳은 내용은 무엇입니까?', 'choices': ['독일의 제2차 세계대전 패망에서 기인한 것이다', '독일의 제2차 세계대전 패망에 영향을 받지 않았다', '독일의 제2차 세계대전 패망으로 인해 옳다는 게 입증되었다', '독일의 제2차 세계대전 패망으로 인해 믿지 않게 되었다'], 'answer': 4}"
generation-for-nlp-538,독해,필요 없음,"유대인으로서 나는 집단책임을 믿지 않습니다. 유죄인 자만이 유죄인 것입니다. 살인자의 자녀는 살인자가 아닌 그저 아이들일 뿐입니다. 나는 히틀러 세대가 저지른 입에 담기도 힘든 범죄를 두고 오늘날의 세대를 심판할 마음도, 권한도 없습니다. 하지만 우리는 책임을 질 수 있고 또 져야 합니다. 과거가 아닌, 과거를 기억하는 방식에 대해서 말입니다. 과거에 대한 기억을 어떻게 쓸 것인지에 대해서 말입니다. 기억한다는 것은 여러분 나라의 국민들이 역사를 떠도는 유령을 물리치는 데 일조하는 것입니다. 기억하십시오. 죽은자와 화해하지 못한 집단은 살아있는 자를 고통스럽게 만듭니다. 우리는 비록 아우슈비치가 지난 일이고 공포스러운 것임에도 불구하고, 전 세계는 구원(salvation)할 가치가 있으며, 구속(redemption)과 마찬가지로 구원은 오직 기억 속에서만 찾을 수 있다고 생각하기 때문에 이를 기억하고 그것이 상징하는 모든 것들을 기억합니다. 엘리 위젤, “생존자의 성찰”, 1987년",,"{'question': '이 구절 보고, 위젤은 홀로코스트를 기억하는 것이', 'choices': ['독일인들의 치유과정을 방해해 온 ', '자신들의 역사화 화해하고', '그런 일이 다시는 일어나지 않도록 하고', '유대인들이 독일인들을 용서하는 데 있어서 필요했다고 주장했음을 유추할 수 있습니다'], 'answer': 1}"
