id,topic,prior_knowledge_needed,paragraph,question_plus,problems
generation-for-nlp-2007,경제,필요 없음,기획재정부는 2일 예산 낭비를 막고 재정수입을 늘리는 데 기여한 민간인과 공무원에게 총 2억5600만원의 성과금을 지급하기로 했다. 기재부 산하 예산성과금심사위원회는 심의 결과 735억원의 지출 절감과 9533억원의 수입 증대로 총 1조268억원의 재정 개선에 기여한 14개 기관 59건의 사례에 이처럼 성과금을 지급하기로 결정했다.이 중 민간인 A씨는 경기도의 한 지방자치단체가 2006년 실시한 하천 복원 사업을 지난해 다른 지자체가 다시 공사하고 있다며 예산 낭비 사례로 기재부에 신고했다. 정부는 해당 하천의 1500m 구간에서 동일 사업이 진행되고 있다고 판단해 사업 축소를 결정했고 덕분에 예산 5억3900만원을 절약했다. A씨는 이 같은 예산 낭비 사례 신고 덕분에 이번에 500만원의 성과금을 받게 됐다.박수현 서울지방국세청 국제거래조사국 사무관 외 두 명은 지난해 국내에서 탄소배출권 거래 사업을 하는 외국 기업에 처음으로 세금 529억8600만원을 물려 총 1500만원의 성과금을 손에 쥐게 됐다. 해군 군수사령부 정비창에 근무하는 박래홍 사무관 외 한 명은 잠수함 디젤엔진 정비 기법을 개선해 29억4700만원을 절감한 공로로 2500만원의 성과금을 받게 됐다.,,"{'question': '기획재정부가 성과금을 지급하기로 결정한 총 금액은 얼마인가?', 'choices': ['2억5600만원', '735억원', '9533억원', '1조268억원', '5억3900만원'], 'answer': 1}"
generation-for-nlp-2012,경제,필요 없음,100엔당 1000원 선이 무너졌다. 원화값이 고공행진하며 올초의 엔저 우려를 재연하고 있다. 13일 원·엔 환율은 오후 3시58분 현재 100엔당 998원14전(외환은행 고시기준)까지 내렸다(원화값 상승). 지난 1월2일(995원63전) 이후 최저치다. 이달 초 100엔당 1004~1014원대였던 원·엔 환율은 이날 오후 1000원 선을 깨고 세 자릿수에 진입했다. 원·엔 환율은 지난 2일에도 장중 999원90전으로 내려간 적이 있지만 곧 1000원대로 복귀했다.글로벌 달러 약세 속에 원화가치는 꾸준히 오르고 있다. 원화값은 달러당 1022원10전(13일 기준)으로 1년 전보다 8.2% 급등했다. 경상수지 흑자가 계속되면서 달러 매도가 활발해진 영향도 컸다.반면 엔화값은 달러당 102엔대에 머물러 같은 기간 1.7% 하락했다. 일본 중앙은행이 경기 침체를 극복하기 위해 양적완화 정책을 이어가고 있는 데 따른 것이다. 원화 강세 속도가 엔화에 대해서도 빨라지면서 수출전선에 먹구름이 끼고 있다. 현대경제연구원에 따르면 원·엔 환율이 1% 내릴 때 수출은 0.92% 감소하는 것으로 나타났다. 특히 철강(-1.31%) 석유화학(-1.13%) 기계(-0.94%) 수출에 큰 타격을 입힌다는 분석이다. 올해 원·엔 환율이 연평균 1000원일 경우 총수출은 작년보다 7.5% 감소할 것으로 연구원은 내다봤다.당국은 외환시장 쏠림 현상에 강력히 대응하겠다는 뜻을 밝힌 상태다. 하지만 원·엔 환율은 원화와 엔화의 상대적인 가치에 따라 결정되기 때문에 외환당국의 대응도 쉽지 않다.,,"{'question': '원·엔 환율이 1000원 선을 깨고 세 자릿수에 진입한 날짜는 언제인가?', 'choices': ['1월 2일', '1월 13일', '2월 13일', '3월 1일', '12월 31일'], 'answer': 2}"
generation-for-nlp-2018,사회,필요 없음,"마크 리퍼트 주한 미국 대사의 수술을 진행한 신촌세브란스병원은 “다음주 월요일이나 화요일께 얼굴의 실밥을 제거하고 상처 상태나 회복 정도를 하루 이틀 더 지켜본 뒤 (대사의) 퇴원을 결정하겠다”고 6일 발표했다. 관통상을 입은 왼팔의 실밥은 퇴원 열흘 뒤 제거할 것으로 보인다.윤도흠 세브란스병원장은 이날 오전 병원 교수회의실에서 “리퍼트 대사는 다소 늦은 시간인 오전 3시께 잠이 들었지만 병실에서 자유롭게 걸어 다니는 등 괜찮은 편”이라고 말했다. 리퍼트 대사는 4시간 정도 수면을 취했지만 주치의들에게 “달콤하게 잘 잤다”고 말했다고 의료진은 전했다.리퍼트 대사는 전날 오전 서울 세종문화회관 세종홀에서 열린 민족화해협력범국민협의회 주최 조찬 강연회장에서 김기종 우리마당독도지킴이 대표(55)가 휘두른 흉기에 자상을 입었다. 세브란스병원의 유대현 성형외과 교수와 최윤락 정형외과 교수 집도로 얼굴에 80여 바늘을 꿰매고 왼팔에 신경접합술을 받았다. 리퍼트 대사는 수술 뒤 병원 본관 20층 특실인 2001호에 입원했다.윤 원장은 “오전 회진한 결과 얼굴 부위의 통증은 거의 없는 상태”라며 “관통상을 입은 왼팔 아래쪽과 손가락 쪽에 통증, 저림 증상을 호소하고 있지만 2~3일 후면 차차 통증이 줄어들 것으로 보인다”고 설명했다. 또 “수술 뒤 열이 37.7도까지 올라 의료진도 약간 걱정했지만 오늘 오전에는 37.1도로 거의 정상”이라며 “오늘 수술 부위 소독을 했고 상처도 비교적 깨끗한 것으로 판단하고 있다”고 말했다. 리퍼트 대사는 얼굴 봉합수술을 받았지만 이날 오전 샐러드와 토스트로 아침을 먹는 데도 큰 지장이 없었다고 병원 측은 전했다.추후 치료 일정에 대해 윤 원장은 “일단 체온 등을 살피며 염증 반응이 있는지 지켜볼 예정이고 상처 드레싱(소독) 및 식사에 불편이 없는지 볼 것”이라며 “상처에서 열이 나는지 등 일반적인 부분을 점검하고 상처 치료를 중점적으로 할 것”이라고 말했다.",,"{'question': '마크 리퍼트 대사가 수술을 받은 병원은 어디인가?', 'choices': ['세종병원', '신촌세브란스병원', '서울대병원', '삼성서울병원', '한양대병원'], 'answer': 2}"
generation-for-nlp-2049,부동산,필요 없음,"“문의도 많고 매도호가(집주인이 팔고 싶어 하는 가격)도 올랐습니다. 무주택자와 1주택자들의 매수 의향이 강해진 것 같습니다.”집 소유자가 은행 등에서 돈을 빌릴 때 적용되는 총부채상환비율(DTI)과 담보인정비율(LTV)이 지난 1일 각각 60%와 70%로 상향 조정된 뒤 맞은 첫 주말. 강남권을 중심으로 서울 주요 아파트 지역 중소업소엔 주택 구매 희망자들의 문의가 크게 늘었다. 주택담보대출 규제 완화로 투자자들의 자금 운용폭이 넓어지면서 강남 재건축 아파트가 먼저 주목받을 것이란 분석도 나왔다. 여름 휴가철이 지난 뒤 서울 강북과 수도권 신도시 등으로 거래 움직임이 확산될 것으로 전망되고 있다.○호가 뛴 서울 강남 재건축 단지지난달 초중반 주택담보대출 규제 완화가 기정사실로 받아들여진 뒤 서울 강남권 재건축 아파트 매매호가는 먼저 움직였다. 2주 전 6억7900만원에 거래된 강남구 개포동 개포주공1단지 전용 41㎡는 이달 들어 호가가 2000만원 뛰었다. 개포동 에이스공인 관계자는 “개포동과 잠실동 중개업소들이 지난주 휴가였는데 착신 전화를 통해 금융권 대출 규모와 가격 변동 문의가 이어졌다”고 말했다.대치동 은마아파트 전용 76㎡도 최근 2주 사이 8억7000만원에서 9억원으로 상승했다. 신대치공인 관계자는 “매수 희망자들이 향후 집값이 더 떨어지지는 않을 것으로 생각하고 있다”며 “저금리와 정부의 부동산 부양책 영향으로 융자를 끼고 집을 매입하는 것에 대한 두려움이 크게 줄었다”고 전했다.송파구 잠실 일대 재건축 아파트 호가도 크게 올랐다. 재건축을 추진 중인 잠실주공5단지 전용 76㎡는 지난달 중순 10억9000만원 선에 거래됐는데 최근 호가는 11억2000만~11억5000만원으로 높아졌다. 잠실동 잠실박사 관계자는 “지난달 하순부터 문의가 크게 늘었으나 호가가 단기간에 급등해 거래는 잘 이뤄지지 않고 있다”며 “휴가철 이후 적정 거래가격을 찾아갈 것”으로 내다봤다.○“전세입자, 매수 전환 문의 많아”서울 불광동 중계동 등 강북과 일산 등 신도시는 휴가철 영향으로 아직 큰 변화는 나타나지 않고 있다. 불광동 그린공인 관계자는 “급매물은 지난달 초부터 꾸준히 손바뀜했다”며 “집주인은 물론 세입자도 집값이 더 떨어지지 않을 것으로 생각해 거래 전망은 밝아 보인다”고 말했다.경기 광명시 KTX광명역세권 일대는 전세에서 매수로 전환하기 위한 문의 전화가 많다는 게 중개업소의 설명이다. 소하동 휴먼공인 관계자는 “가격이 오른 상황은 아니다”며 “주변 아파트 단지의 전세 만기가 돌아오고 있는 데다 LTV가 70%로 높아지면서 차입 여력이 커져 내 집을 마련하려는 세입자가 나타나고 있다”고 설명했다. 곽창석 ERA코리아부동산연구소장은 “휴가철임에도 강남권 재건축 단지를 중심으로 매수자 발길이 늘어났다”며 “저금리 기조가 유지될 가능성이 높아 하반기엔 수도권 외곽 저가주택 중심으로 거래가 증가할 것”으로 전망했다.",,"{'question': '주택담보대출 규제 완화 이후 서울 강남권 재건축 아파트의 매매호가는 어떻게 변화했는가?', 'choices': ['매매호가가 하락했다.', '매매호가가 변동이 없었다.', '매매호가가 크게 상승했다.', '매매호가가 일정하게 유지되었다.', '매매호가가 급격히 하락했다.'], 'answer': 3}"
generation-for-nlp-2053,경제,필요 없음,"수도요금과 생산 원가의 격차가 최근 10년래 가장 큰 것으로 나타났다. 이에 따라 수도 요금 인상 필요성이 높아지는 것으로 조사됐다.환경부가 10일 발표한 ‘2011년 상하수도 통계’에 따르면 2011년 수도요금은 1㎥(1000ℓ)당 619.3원으로 전년 대비 9.1원 올랐으나 생산 원가는 36.2원 오른 813.4원을 기록, 원가 대비 요금 비율(요금현실화율)이 78.5%에서 76.1%로 떨어졌다. 생산 원가 대비 수도요금 비율은 2003년 89.3%를 정점으로 계속 떨어지고 있다. 특히 2011년 요금현실화율 76.1%는 최근 10년래 가장 낮은 비율이다. 하수도의 경우도 마찬가지였다. 하수도 전국 평균 요금은 t당 289.4원으로 평균 하수처리원가(807.1원)의 35.8%(요금현실화율)에 불과했다.비용 부담으로 인해 수도를 담당하는 지자체의 재정도 악화되고 있다. 서울시의 경우 수도 관련 부채가 2011년 현재 3227억원에 달해 지자체 중 가장 많았다. 이어 전남(1152억원), 경기(787억원), 대구(771억원) 등의 순이었다. 반면 인천과 부산은 부채가 하나도 없었다. 비용이 증가하는 이유는 수도 관리에 필요한 전기요금이 상승하는 반면 요금 인상은 제대로 이뤄지지 않고 있기 때문이다. 현재 상하수도 관리는 각 지자체가 하고 있으며 요금은 시의회의 승인을 받아 지자체 장이 결정하는 구조로 돼 있다.",,"{'question': '2011년 수도요금의 요금현실화율은 얼마였는가?', 'choices': ['76.1%', '78.5%', '89.3%', '35.8%', '100%'], 'answer': 1}"
generation-for-nlp-2058,독해,필요 없음,"◇지중해 삼국지=의사 출신으로 서양사의 궤적을 좇아 온 저자가 고대 그리스 이후 로마제국이 성립되기 전 헬레니즘 시대를 그린 역사서를 내놨다. 저자는 헬레니즘 시대를 페르시아제국의 패권을 물려받은 시리아, 그리스를 장악한 마케도니아, 북아프리카 강자 이집트의 ‘삼국지’로 분석하며 세 나라 간의 지중해 패권 다툼 300여년의 이야기를 그렸다. ‘전쟁사’가 아닌 ‘통치자들의 가족사’와 ‘땅의 역사’라는 관점으로 들여다보는 것이 신선하다. (김승철 지음, 알트, 436쪽, 2만8000원) ◇무엇이 세상을 바꾸는가=세계를 급격히 변화시킬 가능성이 큰 글로벌 트렌드를 분석하고 시민 개개인이 직면한 문제에 합리적 판단을 내릴 수 있도록 돕는 책. 39조달러에 이르는 공공부채로 인한 상시적 경제위기, 중국과 인도로 서서히 이동하는 세계 권력, 물과 식량 부족, 에너지 고갈과 자연 재해 등 세계를 위협하는 12가지 문제를 분석한다. 저자가 교수로 있는 스페인 IESE 경영대학원에 개설한 ‘빅 픽처(The Big Picture)’ 과정의 내용을 담았다. (아드리안 돈 지음, 위선주 옮김, 미래의창, 440쪽, 1만8000원)◇강남엄마의 정보력=‘교육특구’로 불리는 강남의 학부모들은 어떻게 정보를 얻고 활용할까. 매년 바뀌는 교과과정과 정보의 홍수 속에서 아이의 성향에 맞는 정보를 찾아내는 방법과 적절한 교육 로드맵을 소개한다. 10년 넘게 강남에서 ‘교육 도우미’로 활동했던 저자가 내놓은 ‘강남엄마’ 시리즈의 세 번째 책이다. 저자는 자신의 이야기와 직접 발로 뛰며 찾아낸 수많은 성공과 실패 사례를 바탕으로 학부모들에게 “무조건적인 조기 교육과 ‘학원 순례’만으로는 아이에게 도움이 될 수 없다”고 말한다. (김소희 지음, 북라이프, 288쪽, 1만4000원)",,"{'question': '저자가 헬레니즘 시대를 분석한 역사서의 주제는 무엇인가?', 'choices': ['세 나라 간의 지중해 패권 다툼', '로마제국의 성립 과정', '고대 그리스의 문화', '페르시아제국의 역사', '북아프리카의 경제 발전'], 'answer': 1}"
generation-for-nlp-2078,사회,필요 없음,"기초연금 정국이 더 꼬여갈 조짐을 보이고 있다. 청와대는 재정·연금 전문가인 문형표 한국개발연구원(KDI) 선임연구원을 보건복지부 장관 후보자로 지명, 국민연금과 연계한 기초연금 도입 방안을 밀어붙이겠다는 뜻을 분명히 했다. 이에 대해 민주당은 “문 후보자는 복지부 장관으로 적합하지 않다”고 못박고 다음달 인사청문회에서부터 문 후보자의 정책적 성향을 집중 공격하겠다고 밝히고 있다. ○“입장 변화 없다”는 문 후보자이에 따라 정부 내에서조차 연내 기초연금법의 국회 통과가 어려울 것이라는 전망이 나오고 있다. 법 시행일인 내년 7월1일 직전에 실시되는 6월 지방선거에서 최대 정치쟁점으로 부상할 수도 있다는 관측이다. 문 후보자는 장관 내정 직후 한국경제신문과의 통화에서 “국민연금과 기초연금 연계 방안이나 국민연금 보험료율 인상 등의 현안과 관련해 기존 입장이 변한 것은 없다”고 말했다. 그가 말한 기존 입장은 국민연금을 기초연금과 연계하는 것이 바람직하며, 국민연금 보험료율을 대폭 인상해야 한다는 것이다. 문 후보자는 국내 최고의 연금전문가로 손꼽히는 인물. 하지만 최근 10여년간 가장 강조한 것은 재정 건전성이다. 즉 연금이 국가재정을 흔드는 것을 막아야 한다는 주장을 일관되게 펼쳐왔다. 이를 위해 “국민연금 등 공적연금의 가장 큰 과제는 적게 내고 많이 받는 저부담-고급여 체계를 개선하는 것”이라고 말해왔다. 야당은 문 후보자의 이 같은 성향을 단단히 벼르고 있다. 국회 보건복지위원회 소속 이목희 민주당 의원은 “재정을 중시한다는 것은 결국 복지 확대에 반대한다는 얘기다. 이런 사람은 복지부 장관으로 적합하지 않다”고 말했다. 11월 중순 청문회에서 기초연금 도입안에 찬성한 문 후보자의 입장을 집중적으로 물고 늘어지겠다는 뜻도 밝혔다. 정부 일각에서는 문 후보자가 이런 야당을 설득하고 타협을 이끌어 낼 수 있는 인물인지에 대한 회의론도 나온다. 익명을 요구한 한 관계자는 “지금 복지부 장관에게 필요한 덕목은 정치권을 설득해 타협안을 만들어낼 수 있는 정무적 감각일 수도 있는데, 학자 출신인 문 후보자가 자신의 소신을 꺾을 가능성은 높지 않아 보인다”고 말했다. ○올해 법안 통과 어려울 수도 청와대가 야당의 반발을 예견하면서도 문 후보자를 내세운 데는 고도의 정치적 계산이 깔려 있다는 분석도 나오고 있다. 정치권의 한 인사는 “청와대가 야당이 기초연금 도입 방안에 무조건 반대하다가 나중에 여론의 역풍을 맞을 것이라고 내다봤을 수 있다”고 설명했다. 월 20만원을 받을 수 있는데도 국회의 법안 통과 지연으로 절반밖에 받지 못할 경우 노인들의 대부분은 야당 쪽에 불만을 갖게 될 것이라는 판단이 작용했다는 것이다.사실 여당의 일방독주를 차단한 국회선진화법 때문에 야당이 끝까지 반대할 경우 기초연금법의 국회 통과는 불가능하다. 청와대가 조금도 물러서지 않고 버티면 이 법안은 올해 정기국회는 물론 최악의 경우 기초연금 시행 직전까지 국회에 계류될 수도 있다. 이 경우 내년 6월 지방선거에서 “대통령은 약속을 지켜라”는 야당의 공격과 “야당의 반대로 기초연금을 못 줄 지경”이라는 여당의 반격이 첨예하게 전개될 가능성이 높다.",,"{'question': '문형표 후보자가 강조한 연금의 가장 큰 과제는 무엇인가?', 'choices': ['재정 건전성 유지', '국민연금 보험료율 인상', '저부담-고급여 체계 개선', '기초연금 도입', '정치적 타협 이끌기'], 'answer': 3}"
generation-for-nlp-2087,사회,필요 없음,"국립과학수사연구원이 ‘성 접대 동영상’에 나오는 남성이 김학의 전 법무부 차관일 가능성을 배제할 수 없다는 분석 결과를 경찰에 공문으로 통보했다.25일 경찰에 따르면 국과수는 이날 건설업자 윤모씨(52)의 강원 원주시 별장에서의 성 접대 의혹과 관련, “해상도가 낮아 동일성 여부를 논하는 것이 곤란하지만 동영상에 나오는 인물이 김 전 차관의 얼굴 형태 윤곽선과 비슷해 보인다”며 “(김 전 차관과) 동일 인물일 가능성을 배제할 수 없다”고 분석했다. 국과수는 성폭행 피해자 권모씨(52)에게서 확보한 2분30초짜리 동영상에 나온 인물과 김 전 차관의 사진을 대조한 결과 이 같은 결론을 내린 것으로 전해졌다. 이 동영상은 원래 촬영된 원본 동영상을 휴대폰으로 다시 촬영한 것으로 알려졌다. 국과수는 그러나 “동영상에 나온 성문(聲紋·목소리지문)분석의 경우 음악 소리와 주변 잡음 때문에 녹음 상태가 매우 불량해 검사 자체를 할 수 없었다”고 설명했다. 이에 대해 김 전 차관은 “국과수의 검사 결과가 왜 이렇게 나왔는지 알 수 없다. 문제의 별장이 어디에 있는지 알지 못하고 별장에 간 사실 자체가 없다”고 관련 의혹을 강하게 부인했다. 이와 함께 경찰은 윤씨가 병원장과의 친분을 이용해 수주한 것으로 의심받는 수도권 모 병원 암센터 증축 공사의 비리 가능성에 대해 본격적인 조사에 착수한 것으로 확인됐다. 해당 병원장은 윤씨의 성 접대 연루자 명단에 올라 있다. ▶본지 3월25일자 A33면 참조 경찰청 관계자는 이날 “공사를 수주하는 과정에서 어떤 특혜를 받았는지 규명하기 위해 현재 공사 관련 입찰 서류를 병원으로부터 제출받아 조사하는 등 의혹 확인 작업을 하고 있다”고 밝혔다. 경찰은 지난주 해당 병원에 방문해 공사 입찰 관련 자료를 임의제출 형식으로 확보한 것으로 알려졌다. 경찰은 윤씨의 강원 원주시 별장을 드나들며 친분을 맺은 것으로 알려진 병원장이 공사 입찰 과정에서 윤씨에게 특혜를 제공했는지 중점적으로 살펴보고 있다.한편 경찰은 건설 브로커로 활동한 윤씨의 각종 공사 수주나 인·허가 관련 비리 가능성이 의심되는 사회 고위층 인사의 소환조사를 본격적으로 시작했다. 경찰은 지난 22일 성 접대 의혹에 연루된 인물 중 처음으로 정부 국장급 출신 인사를 참고인 신분으로 소환조사했다.",,"{'question': '국립과학수사연구원이 분석한 동영상에 나오는 남성의 신원에 대한 가능성을 배제할 수 없는 인물은 누구인가?', 'choices': ['김학의 전 법무부 차관', '윤모씨', '병원장', '성폭행 피해자 권모씨', '경찰청 관계자'], 'answer': 1}"
generation-for-nlp-2088,사회,필요 없음,"서울시는 신논현역부터 종합운동장역을 잇는 지하철 9호선 2단계 구간이 오는 3월28일부터 본격적으로 운행된다고 26일 발표했다. 2008년 6월 착공한 지 6년9개월 만이다.이에 따라 3월부터 김포공항에서 종합운동장까지 지하철을 이용하면 이동시간이 기존 60분대에서 30분대로 줄어든다. 현재 김포공항역에서 2호선 종합운동장역까지 가장 빨리 가려면 공항철도를 이용해 2호선 홍대입구역에서 환승, 종합운동장역에 도착하기까지 65분이 걸린다. 그러나 9호선 급행열차를 타면 환승 없이 38분 만에 도착할 수 있다.4829억원의 시 예산이 투입된 2단계 구간의 총 길이는 4.5㎞다. 분당선과 이어지는 선정릉역, 2호선과 맞닿은 종합운동장역 등 두 개 환승역을 포함해 언주역, 삼성중앙역, 봉은사역 등 총 5개역으로 구성됐다. 앞서 지하철 9호선 1단계(개화역~신논현역) 구간은 2009년 7월 개통됐다. 시는 9호선 2단계가 개통되면 언주역, 선정릉역, 삼성중앙역, 봉은사역, 종합운동장역 주변 지역에 대한 접근성이 크게 개선될 것으로 기대하고 있다.시는 본격적인 운행을 앞두고 이달 31일부터 시운전에 들어갈 계획이다. 시는 시운전으로 인한 승객 대기시간을 최소화하기 위해 일반열차와 급행열차의 비율을 기존 2 대 1에서 1 대 1로 조정할 예정이다.",,"{'question': '지하철 9호선 2단계 구간의 개통일은 언제인가?', 'choices': ['2008년 6월', '2015년 3월28일', '2014년 3월28일', '2016년 3월28일', '2013년 3월28일'], 'answer': 2}"
generation-for-nlp-2090,교육산업,필요 없음,"미국 텍사스주 휴스턴에 있는 라이스대. 이 대학은 지난 8월 수백만달러 규모의 기업가 육성 계획안을 발표했다. 소셜네트워크서비스(SNS)업체 페이스북을 창업한 마크 저커버그처럼 전도유망한 창업자를 적극적으로 키워내겠다는 취지에서다.뉴욕타임스(NYT)는 미국 대학이 ‘제2의 저커버그’를 키우기 위해 앞다퉈 기업가 양성 과정을 개설하고 스타트업(신생 벤처기업) 지원센터 건립에 나서고 있다고 28일(현지시간) 보도했다. NYT에 따르면 일리노이주 시카고에 있는 노스웨스턴대가 올해 스타트업센터를, 뉴욕대가 지난해 기업가연구소를 설립했다. 2011년 혁신연구소를 세웠던 하버드대는 그동안 75개 기업의 창업을 도왔다.NYT는 취업이 어려운 데다 실리콘밸리 억만장자의 성공신화에 영감을 받은 수십만명의 학생이 대학에서 창업교육을 받길 원하고 있다고 전했다. 미국에선 2013년 기준 약 40만명의 대학생이 기업가 양성과정을 수강했다.이미 기업가 과정을 운영하는 대학들도 규모를 키우고 있다. 프린스턴대는 창업 관련 프로그램을 늘리고 학생들의 창업 인큐베이터 역할을 해온 기업가허브센터 규모를 종전보다 6배 정도 확대키로 결정했다. 스탠퍼드대, 매사추세츠공대(MIT) 등도 창업인재 육성 프로그램과 지원센터 등을 갖추고 창업을 독려하고 있다.",,"{'question': '미국 대학들이 기업가 양성 과정을 개설하는 주된 이유는 무엇인가?', 'choices': ['취업이 어려워서', '학생들이 창업을 원해서', '실리콘밸리 억만장자의 성공신화에 영감을 받아서', '전도유망한 창업자를 키우기 위해서', '모든 대학이 의무적으로 해야 해서'], 'answer': 5}"
