id,paragraph,problems,question_plus
generation-for-nlp-498_aug,(가)농민군이 정부와 전주화약을 맺었다. (나) 농민군이 우금치에서 전투를 벌였다. (다) 농민군이 황토현에서 관군을 물리쳤다. (라) 전봉준 등이 농민을 모아 고부 관아를 습격하였다.,"{'question': '농민군이 전주화약을 맺게 된 직접적인 계기는 무엇이었을까?', 'choices': ['고부 관아를 습격하여 농민들의 힘을 보여주었기 때문이다.', '황토현에서 관군을 물리치고 승리하여 사기를 높였기 때문이다.', '우금치에서 전투를 벌여 정부군과의 힘겨움을 실감했기 때문이다.', '농민들이 전국적으로 들고 일어나 정부가 더 이상 농민군을 억누를 수 없었기 때문이다.', '전봉준이 농민들을 모아 봉기를 일으킨 후 농민군의 세력이 커졌기 때문이다.'], 'answer': 3}",
generation-for-nlp-514_aug,"이번 담화의 제목을 사람들이 보다 쉽게 이해할 수 있도록 나는 이제부터 얘기하려고 하는 물질의 과학명인 ‘원형질(Protoplasm)’을 ‘생명의 물리학적 기반’으로 번역했다. 생명에 물리학적 기반 혹은 물질이라는 게 있다는 개념이 많은 사람들에게는 낯설 수 있으나 생명이 물질을 통해 작용하는 무언가라는 개념은 널리 퍼져있다. 따라서 우리가 아는 한(그 외의 것에 대해 추측할 권리가 우리에게는 없다), 생명의 물질은 생명력의 조건이라 할 수 있는 끊임없는 죽음의 결과 탄산, 물, 질소 화합물로 분해되며, 이것은 오로지 보통물질이 가진 특성만을 갖고 있을 뿐이다. 토머스 헨리 헉슬리, ""생명의 물리적 기초"", 1868년","{'question': '헉슬리는 이 글에서 ""생명""에 대해 어떤 주장을 하고 있습니까?', 'choices': ['생명은 물질적 기반과 별개의 초자연적인 현상이다.', '생명은 철학적 개념으로 물질과는 무관하다.', '생명은 물질적인 특성만을 가진 현상이며, 물질로 구성되어 있다.', '생명은 물질과 정신의 결합으로 이루어진 복잡한 현상이다.', '생명은 탄산, 물, 질소 화합물로만 이루어진 단순한 현상이다.'], 'answer': 3}",
generation-for-nlp-515_aug,"로마 세계에 만연했던 다양한 예배 방식 모두를, 사람들은 똑같이 참된 것으로, 철학자는 똑같이 거짓으로, 치안 판사는 똑같이 유용한 것으로 간주하였습니다. 에드워드 기번, <로마제국 쇠망사>, 1776–1788","{'question': '기번에 따르면 고대 로마 사회에서 다양한 종교적 숭배 방식은 어떻게 여겨졌을까요?', 'choices': ['모두가 똑같이 참된 것으로 여겨졌다.', '철학자들만 참된 것으로 여겼다.', '치안 판사들만 유용한 것으로 여겼다.', '각자의 사회적 지위에 따라 달랐다.', '기독교의 유입으로 인해 모두 거짓으로 여겨졌다.'], 'answer': 1}",
generation-for-nlp-519_aug,"플로렌스는 당신네들의 베니스보다 훨씬 아름답고 540년이나 더 유서 깊은 도시입니다. … 플로렌스 주변에는 귀족과 상인, 시민과 장인들이 소유한 3천 개의 영지가 있으며 여기에서 매년 나는 빵과 고기, 와인과 오일, 야채와 치즈, 건초와 나무는 현금으로 치면 9천 두카트에 달하지요. … 플로렌스가 주력으로 삼는 두 무역 거래는 베니스의 네 개 거래를 합한 것보다 규모가 더 큰데, 바로 양모와 실크입니다. … 아름다운 플로렌스의 도시 안에는 … 양모 길드에 속한 상점이 270개나 되며, 이곳의 물건이 로마와 마르셰로, 나폴리와 시칠리아로, 콘스탄티노플 … 그리고 터키 전역으로 뻗어 나갑니다. 실크 길드의 풍요롭고 화려한 창고도 83개에 달합니다.","{'question': '플로렌스의 경제력을 가장 잘 보여주는 요소는 무엇인가요?', 'choices': ['영지의 규모', '생산되는 재화의 종류', '도시의 아름다움', '길드의 활발함', '귀족과 상인의 수'], 'answer': 4}",
generation-for-nlp-527_aug,"""공산주의라는 유령 하나가 유럽을 떠돌고 있다. 교황과 차르, 메테르니히와 기조, 프랑스 급진주의자와 독일 경찰 스파이를 포함한 구 유럽의 모든 강대국은 이 유령을 쫓아내고자 신성한 동맹을 맺었다. 이 사실로 두 결과가 발생한다. I. 이미 유럽 모든 강대국이 공산주의 자체가 하나의 세력임을 인정하고 있다. II. 이제 공산주의자는 전 세계에 맞서 견해, 목표, 경향을 공개 발표하고 공산당 자체 선언문으로 공산주의 유령이라는 동화에 대응해야 한다."" 칼 마르크스와 프리드리히 엥겔스, 공산당 선언, 1848년","{'question': '마르크스와 엥겔스가 공산주의 반대자들을 어떻게 묘사하고 있을까?', 'choices': ['공산주의를 두려워하는 겁쟁이들로 묘사한다.', '사회를 유지하기 위해 필수적인 세력으로 인정한다.', '공산주의의 위험성을 제대로 인식하지 못하는 무지한 사람들로 묘사한다.', '공산주의를 위협으로 여기고 억압하려는 자들로 묘사한다.', '공산주의의 이념을 이해하지 못하는 사람들로 묘사한다.'], 'answer': 4}",
generation-for-nlp-531_aug,"아래의 두 발췌문은 각각 탐험가 크리스토퍼 콜럼버스와 멕시코 치아파스의 도미니카 주교 바톨로뮤 데 라스 카사스가 쓴 것입니다.
본문 1
인디언들은 판매자가 요구하는 무엇이든 줄 것이다. . . . 그리하여 바보처럼 면화와 금을 활 조각, 유리, 병, 항아리와 물물교환했다. 나는 부당한 일이라고 금한 뒤 가져온 아름답고 좋은 물건을 주고 아무것도 돌려받지 않았다. 이들과 좀더 쉽게 어울리고 기독교인이 되도록 유도하며 왕과 왕비, 우리 왕자와 모든 스페인 사람들에게 호감을 표하도록 하고자 했다. 이들은 많이 가지고 있지만 우리에게 꼭 필요한 것들만을 찾아 모아 우리에게 전달하는 데 관심이 있다.
—크리스토퍼 콜럼버스: 라파엘 산체스에게 보낸 편지, 1493년
본문 2
이 온화한 양들에게 달린 일이었다. . . 스페인인들은 눈을 맞춘 첫 날부터 마치 맹렬한 늑대 혹은 며칠을 굶은 사자와 호랑이처럼 달려들었다. 처음부터 구성된 행동 패턴은 오늘날까지 변하지 않고 있으며 스페인인들은 여전히 원주민들을 잘게 찢고 살해해 말못할 고통과 괴로움, 절망을 안겨주며 고문하고 괴롭히며 무자비하게 박해하는 일만 반복하고 있다. 때가 되면 우리는 이들이 고문을 위해 발명해 개량한 수 많은 독창적인 방법 중 일부를 설명할 것이지만 피해자의 숫자 만으로도 얼마나 이들의 고문 방식이 효과적이었는지 알 수 있다. 스페인인들이 처음 도착했을 때 히스파니올라 섬의 원주민 인구는 약 3백만이었으나 지금은 200명만 살아남았다. 이토록 많은 수의 사람들을 죽이고 파괴한 이유는 그리스도교인들의 궁극의 목적이 금을 획득해 빠른 시간 안에 부를 획득해 자신들이 저지른 짓에 비추어 볼 때 말도 안되는 지위에 오르기 위함이었다.
–바톨로뮤 데 라스 카사스: 인디스 파괴에 대한 간략한 설명, 1542년","{'question': '크리스토퍼 콜럼버스와 바톨로뮤 데 라스 카사스는 아메리카 대륙 탐험에 대한 어떤 면에서 서로 다른 시각을 가지고 있습니까?', 'choices': ['콜럼버스는 원주민과의 무역을 강조하며 경제적 이익을 추구했지만, 라스 카사스는 원주민에 대한 폭력과 착취를 비난했다.', '콜럼버스는 원주민을 기독교로 개종시키는 데 초점을 맞추었지만, 라스 카사스는 원주민의 문화와 전통을 존중했다.', '콜럼버스는 새로운 땅을 발견한 영광을 추구했지만, 라스 카사스는 스페인의 식민지 정책을 비판했다.', '콜럼버스는 원주민을 친구로 여겼지만, 라스 카사스는 원주민을 적대시했다.', '콜럼버스는 원주민의 삶을 개선하기 위해 노력했지만, 라스 카사스는 원주민의 고통을 무시했다.'], 'answer': 1}",
generation-for-nlp-532_aug,"오랫동안 교육 받은 독일인들은 처음에는 특별한 독일의 사명을 주장함으로써, 1945년 패망 이후에는 독일의 서구로부터의 이탈을 비판함으로써 그것에 긍정적으로 응답했다. 오늘날은 부정적인 견해가 지배적이다. 현재 우세한 견해에 따르면 독일은 ‘독일만의 고유한 길’이라고 말하는 것을 정당화할 만큼 유럽 강대국들과 별반 다르지 않았다. 그리고 어떤 경우든 지구상의 어떤 국가도 ‘일반적인 길’을 걸었다고 말할 수는 없다. 하인리히 아우구스트 빙클러, 독일 서부로 가는 긴 길 1권, 2006년","{'question': '이 글에서 현재 독일의 역사적 사명에 대한 지배적인 견해는 무엇입니까?', 'choices': ['독일은 다른 유럽 강대국들과 다르게 독특한 역사적 사명을 가지고 있다.', '독일은 유럽의 다른 강대국들과 유사한 역사적 과정을 겪었다.', '독일은 세계 역사에서 특별한 역할을 맡아야 한다.', '독일은 다른 나라와 비교할 수 없는 독특한 역사적 경험을 가지고 있다.', '독일은 모든 국가와 다르게 독특한 운명을 가지고 있다.'], 'answer': 2}",
generation-for-nlp-538_aug,"유대인으로서 나는 집단책임을 믿지 않습니다. 유죄인 자만이 유죄인 것입니다. 살인자의 자녀는 살인자가 아닌 그저 아이들일 뿐입니다. 나는 히틀러 세대가 저지른 입에 담기도 힘든 범죄를 두고 오늘날의 세대를 심판할 마음도, 권한도 없습니다. 하지만 우리는 책임을 질 수 있고 또 져야 합니다. 과거가 아닌, 과거를 기억하는 방식에 대해서 말입니다. 과거에 대한 기억을 어떻게 쓸 것인지에 대해서 말입니다. 기억한다는 것은 여러분 나라의 국민들이 역사를 떠도는 유령을 물리치는 데 일조하는 것입니다. 기억하십시오. 죽은자와 화해하지 못한 집단은 살아있는 자를 고통스럽게 만듭니다. 우리는 비록 아우슈비치가 지난 일이고 공포스러운 것임에도 불구하고, 전 세계는 구원(salvation)할 가치가 있으며, 구속(redemption)과 마찬가지로 구원은 오직 기억 속에서만 찾을 수 있다고 생각하기 때문에 이를 기억하고 그것이 상징하는 모든 것들을 기억합니다. 엘리 위젤, “생존자의 성찰”, 1987년","{'question': '위젤은 왜 홀로코스트를 기억하는 것이 중요하다고 생각할까요?', 'choices': ['과거의 잘못을 반복하지 않기 위해서', '유대인들의 고통을 잊지 않기 위해서', '독일인들에게 죄책감을 느끼게 하기 위해서', '유대인들의 정체성을 유지하기 위해서', '과거를 통해 미래를 구원할 수 있기 때문'], 'answer': 5}",
generation-for-nlp-551_aug,"페레스트로이카[개혁]는 우리 사회주의 사회의 심오한 발전 과정에서 발생하는 긴급한 필요다. 이 사회는 변화의 시기가 무르익었다. 오랫동안 갈망해 왔다. 페레스트로이카 시작이 조금이라도 지연되면 가까운 장래 내부 상황이 악화될 수 있었고, 솔직히 말하면 심각한 사회, 경제, 정치적 위기를 겪게 되었으리라. 미하일 고르바초프, 페레스트로이카: 조국과 세계를 위한 신사고, 1987년","{'question': '다음 중 페레스트로이카의 지연으로 인해 소련이 겪게 될 위기는 무엇인가?', 'choices': ['사회주의 사회의 붕괴', '경제적 침체', '정치적 불안정', '국민들의 저항', '모든 위기가 동시에 발생'], 'answer': 5}",
generation-for-nlp-557_aug,"1848년은 독일과 유럽 역사에 있어 결정적인 해로, 독일의 과거를 요약하고 독일의 미래에 영감을 주었다. … 사상의 힘에 대한 무한한 믿음에서 그토록 영감을 받은 혁명은 결코 없었고, 결과를 놓고 사상의 힘을 그토록 불신한 혁명도 없었다. 혁명의 성공은 보수 사상을 불신하게 만들었고, 혁명의 실패는 자유주의 사상을 불신하게 만들었다. 이후에는 힘이라는 개념 외에는 아무것도 남지 않았고, 이 개념은 그때부터 독일 역사의 중심이 되었다. 1521년 이후 처음으로 독일 국민은 독일 무대 중앙에 올라섰으나 또 한 번 신호를 놓쳤다. 독일의 역사는 전환점에 이르렀으나 전환하지 못했다. 이것이 1848년의 운명적 본질이었다. A. J. P. 테일러, 독일 역사 과정, 1945년","{'question': '1848년 독일 혁명 이후 독일 역사의 중심에 자리 잡은 개념은 무엇인가요?', 'choices': ['혁명 이후 독일은 급진적인 변화를 거쳤다.', '1848년 혁명은 독일의 통일을 앞당겼다.', '혁명은 독일에서 사상의 힘에 대한 믿음을 강화시켰다.', ""혁명 이후 독일 역사의 중심에는 '힘'이라는 개념이 자리 잡았다."", '혁명은 독일에서 자유주의 사상의 발전을 이끌었다.'], 'answer': 4}",
