번호(Q_no),문제유형(Q_form),질문(Q_string),보기()E_string,보기()E_string,보기()E_string,보기()E_string,정답(A_ans),정답 이형태(A_synonym),정답 근거(AP_sent),위키피디아 제목(AP_title),정답 출처(AP_origin),
1,객관식,판소리를 할 때 고수가 연주자의 흥을 돋우기 위해 '좋지' '좋다' '얼씨구' 등의 말을 하는 것은 무엇일까?,아니리,단가,추임새,발림,추임새,,"고수는 연주 도중에 때때로 '얼씨구', '좋다' 등과 같은 추임새를 넣어서 창자(唱者)의 흥을 돋아주고 연주장의 분위기를 고조시킨다.",고수 (판소리),한국어 위키피디아,
2,객관식,꽃은 알려진 것만 약 25만 종이 있다고 한다. 식물학의 관점에서 꽃이라고 부르려면 4개의 요소가 반드시 있어야 하는데 네 개의 기본 요소가 아닌 것은 무엇일까?,꽃잎,수술,꽃받침,밑씨,밑씨,,"꽃은 종자식물에서만 볼 수 있으며, 생식에 관계되는 부분과 관계되지 않는 부분이 모여 있는데, 크게는 꽃잎·꽃받침·암술·수술로 이루어져 있다고 할 수 있다.",꽃,한국어 위키피디아,
3,객관식,이것은 꾸밈음의 종류 중 '떨리다'라는 뜻으로 같은 음을 빠르게 규칙적으로 반복하는 것이다. 주로 악기에서 쓰는 연주법은 무엇일까?,트레몰로,돈꾸밈음,잔결꾸밈음,글리산도,트레몰로,,"Tremolo 이탈리아어의 tremare(떨리다)에서 유래한 말로서, 음을 급속히 반복하는 주법이다.",사용자:Enigma7seven/작업장03,한국어 위키피디아,
4,객관식,현재 1초의 정의는 어떤 원자의 복사선이 진동하는 데 걸리는 시간을 의미할까?,소듐,세슘,저마늄,베릴륨,세슘,세슘-133 원자,1967년 제13차 CGPM의 회의에서 시간의 정의를 세슘-133 원자의 복사를 기준으로 한 표준으로 바꾸었다.,초 (시간),한국어 위키피디아,
5,객관식,금속은 나무나 플라스틱보다 녹는점이 높다. 녹는점이 가장 높은 금속은 무엇일까?,철,타이타늄,알루미늄,텅스텐,텅스텐,,"난융 금속은 녹는점이 철의 녹는점 1,539℃보다 높은 금속의 총칭이다. 내화 금속이라고도 한다. 내열합금은 니켈이나 코발트의 합금이며 약 1,100℃까지 사용되지만 1300℃ 이상도 견디는 것만을 취급하는 재료이다. 니오브·바나듐·탄탈·타이타늄·지르코늄·하프늄·몰리브덴·레늄·텅스텐 등이 이 부류에 속한다.",난융 금속,한국어 위키피디아,
6,객관식,대한제국 시기에 등장한 신문으로 강력한 의병 활동에 우호적인 기사를 쓰는 등 항일 논조로 많은 독자층을 확보했다. 양기탁이 영국인 베델과 함께 한글과 영문으로 발간한 신문은 무엇일까?,대한매일신보,한성순보,독립신문,대한민보,대한매일신보,,그는 이듬해 국한문 혼용체로 발행되는 《대한매일신보》(주필 박은식)를 창간하는데 참여했다. 영국인 베델을 사장으로 내세워 검열을 피했던 이 신문은 항일 의식을 고취하는 내용을 실을 수 있었다.,양기탁,한국어 위키피디아,
7,객관식,"해구는 심해저에서 움푹 들어간 좁고 긴 곳을 가리키는 말로 해구의 수심은 보통 6,000m 이상이다. 태평양에 있으며 가장 깊은 곳의 수심이 1만 미터 이상인 해구는 어디일까?",푸에르토리코 해구,마리아나 해구,사우스샌드위치 해구,자바 해구,마리아나 해구,"마리아나,
마리아나해구","마리아나 해구는 지구에서 가장 깊은 해구로, 지구의 지각 표면 위에서 가장 깊은 위치에 있는 대양이다. 이곳의 최대 깊이는 11,034m 즉, 약 11km (6.8 마일) 로, 북태평양의 서쪽 대양에 위치해 있으며, 동쪽과 남쪽에는 마리아나 제도, 가까이에는 괌이 위치해 있다.",마리아나 해구,한국어 위키피디아,
8,객관식,"이 민요는 주로 빠른 곡에서는 자진굿거리장단이 쓰이며 느린 곡에서는 중모리장단을 사용하는 특징이 있다. 대표 민요로 '몽금포 타령', '산염불'등이 있는데 어느 지역의 민요일까?",강원도 민요,경기도 민요,황해도 민요,전라도 민요,황해도 민요,황해도,"황해도에서 불리는 민요들은 중모리 장단, 빠른 것은 자진굿거리 장단으로 친다. 가락은 수심가형이 많으나 목 구성이 다르고 어떤 것은 경기도 경복궁타령이나 한강수타령과 비슷한 데가 보이기도 한다. 평안도 민요처럼 처절하지 않고, 보다 밝고 서정적이며, 한편 구성진 가락도 보인다. 산염불·자진염불·긴난봉가·자진난봉가·사리원난봉가·병신난봉가·몽금포타령·수천난봉가 등이 있다. 산염불, 긴난봉가가 대표적이라 하겠다.",한국의 민요,한국어 위키피디아,
9,객관식,소득이 늘어남에 따라 가계 지출 총액에서 차지하는 식료품 비의 비율이 낮아진다는 법칙은 무엇일까?,파레토 법칙,슈바베 법칙,엥겔 법칙,롱테일 법칙,엥겔의 법칙,"엥겔 법칙, 엥겔법칙","경제학에서, 총지출에서 식료품비 지출이 차지하는 비율을 계산한 값을 엥겔 계수라고 하며, 이 값이 저소득 가계에서 높고 고소득 가계에서 낮다는 통계적 법칙을 엥겔의 법칙(-法則, 독일어: Engelsches Gesetz)이라 한다.",엥겔의 법칙,한국어 위키피디아,
10,객관식,유전 정보를 저장하거나 전달하는 고분자 화합물은 무엇일까?,셀룰로스,액포,지질,핵산,핵산,,"핵산(核酸)은 뉴클레오타이드가 긴 사슬 모양으로 중합된 고분자 유기물의 한 종류이다.
뉴클레오타이드로 구성된 생명체의 유전 물질로, 가장 잘 알려진 핵산으로 DNA와 RNA가 있다. 
데옥시리보 핵산(-核酸, Deoxyribonucleic acid, DNA, 디옥시리보핵산)는 핵산의 일종이며, 주로 세포의 핵 안에서 생물의 유전 정보를 저장하는 물질이다. ","핵산,
DNA",한국어 위키피디아,
